offset_hex,line,layout,max_len,source_en,fr_text,fr_len,overflow
0x030467,6040,,16,000000000000<B0C2><B1A1>,Oui / Non,9,
0x030479,146,,11,Which move?,Quelle attaque?,15,YES
0x030485,5822,,6,And...,Et...,5,
0x03048C,147,,13, Greatly Rose, Monte bcp! ,12,
0x03049A,148,,11,000Learned ,000Apprend ,11,
0x0304AB,149,,22,00000000 Did not learn,00000000 N'apprend pas,22,
0x0304C2,6042,,12,<BAB7><B6B8><B0F8><B6C6><BBA7><B0E4>,concentre la lumière du soleil !,32,YES
0x0304CF,6043,,11,<0A><B6C6><BBA7><B0E4><BBA8><B0A4>,libère l'énergie solaire !,26,YES
0x0304DB,6044,,11,<0A><BBA9><B0DB><B0F8><B3BB><B0F9>,s'enfouit sous terre !,22,YES
0x0304E7,6045,,9,<0A><BBA4><B9D4><B4AB><B4AC>,attaque rapidement !,20,YES
0x0304F1,6046,,9,<0A><BBAA><B6B8><B0E3><B3EC>,accumule de l'énergie !,23,YES
0x0304FB,6047,,9,<0A><B6C0><B0E3><B1D1><B4AC>,frappe de toutes ses forces !,29,YES
0x030505,6048,,9,<0A><BBAA><B6B8><B0E3><B3EC>,accumule de l'énergie !,23,YES
0x03050F,6049,,9,<0A><B6C0><B0E3><B1D1><B4AC>,frappe de toutes ses forces !,29,YES
0x030519,6050,,9,<0A><BBAA><B6B8><B0CF><B4F1>,cesse d'accumuler de l'énergie !,32,YES
0x030523,6051,,9,<0A><B1AC><B1E5><B8AF><B1A2>,s'envole haut dans le ciel !,28,YES
0x03052D,6052,,9,<0A><BBAB><B4B9><B1D1><B4AC>,frappe au péril de sa vie !,27,YES
0x030537,6053,,9,<0A><BBAA><B6B8><B6DD><B0E3>,concentre une force mystique !,30,YES
0x030541,6054,,9,<0A><B6DD><B0E3><BBA8><B0A4>,libère sa force mystique !,26,YES
0x03054B,6055,,9,<0A><B6EC><B2D7><B3E5><B0FC>,prévoit une attaque !,21,YES
0x030555,6056,,17,<0A><B4A9><B0DB><B6EC><B2D7><B3E5><B0FC><B4AB><B4AC>,subit l'attaque Prescience !,28,YES
0x030567,6057,,7,<0A><B9B3><B8AB><B0F8>,dévore le rêve de,17,YES
0x03056F,6058,,5,<0A><B0BC><B1D6>, !,2,
0x030575,6059,,7,<0A><B2F4><BAF0><B0F8>,entre en colère !,17,YES
0x03057D,6060,,9,<0A><B4A9><B0DB><B9BA><B9BB>,est maudit !,12,YES
0x030588,166,,5,Fight,Att. ,5,
0x03058E,167,,5, Item,Objet,5,
0x030594,168,,4,PKMN,PKMN,4,
0x030599,169,,3, Ru, Fu,3,
0x0305E8,175,,6,Send  ,Envoi ,6,
0x0305F5,5426,,9,   00Item,   00Objet,10,YES
0x030602,176,,5,Balls,Balle,5,
0x030608,177,,8,00TM/HMs,00CT/CS ,8,
0x030611,5823,,6,KeyItm,ObjClé,6,
0x030618,5427,,7,00PWR :,00PUI :,7,
0x030621,5824,,5,Acc.:,Préc.:,6,YES
0x03062E,5825,,5,Wild ,Sauv. ,6,YES
0x030634,178,,6,Enemy ,Ennemi,6,
0x03063B,5421,,9,Critical!,Critique!,9,
0x030646,179,,18,Send another PKMN?,Envoyer un Pokémon?,19,YES
0x030659,180,,6,Yes No,Oui Non,7,YES
0x030660,150,,28,0000000000000Switch Pok@mon?,0000000000000Changer Pokémon,28,
0x03067D,151,,16,000Grew to level,000Monte au niv. ,17,YES
0x03068E,5422,,15,0000000already ,0000000déjà     ,16,YES
0x03069F,5809,,6,Attack,Att.,4,
0x0306A6,5826,,7,Defense,Défense,7,
0x0306AF,5827,,5,S.Atk,Atq.S,5,
0x0306B5,5828,,4,S.DE,D.Sp,4,
0x0306BA,5829,,5,Speed,Vit.,4,
0x0306C0,5428,,8,Accuracy,Preci.  ,8,
0x0306C9,181,,13,Recovered HP!,PV restaurés !,14,YES
0x0306D7,6063,,9,<B0CE><B0EC><B3A9><B0B2>!,ne peut pas agir !,18,YES
0x0306E1,6064,,10,<0A><B1D1><B4AC><BAC5><B8BC>!,K.O. en un coup !,17,YES
0x0306EC,6065,,8,<0A><B3EF><B8B9><B0F8>!,s'est enfui !,13,YES
0x0306F5,6066,,8,<0A><B0CE><B0EC><B3EF>!,ne peut pas fuir !,18,YES
0x0306FE,6067,,11,<0A><B0DC><B8D8><B9B5><BBB2><B0F8>,n'est plus empoisonné !,23,YES
0x03070B,182,,8,Woke up!,se réveille!,12,YES
0x030714,6068,,11,<0A><B2ED><B5FA><B9B5><BBB2><B0F8>,n'est plus paralysé !,21,YES
0x030720,6069,,11,<0A><BAE7><B9C7><B9B5><BBB2><B0F8>,n'est plus brûlé !,18,YES
0x03072D,5423,,10,Recovered!,Restaure! ,10,
0x030738,6070,,11,<0A><BAE8><BAD4><B9B5><BBB2><B0F8>,n'est plus gelé !,17,YES
0x030744,6071,,11,<0A><B7AE><B8D8><B9B5><BBB2><B0F8>,n'est plus gravement empoisonné !,33,YES
0x030750,6072,,11,<0A><B3EE><B8AC><B9B5><BBB2><B0F8>,n'a plus peur !,15,YES
0x03075C,183,,8,You got ,Obtenu! ,8,
0x030765,184,,5,Lost ,Perdu,5,
0x03076B,185,,9,00Trainer,00Dresseur,10,YES
0x030775,5810,,4,Won!,Vic!,4,
0x03077A,6073,,7,000<B3C7><B0C3>,Requis :,8,YES
0x030782,6074,,9,<0A><B4D0><B4BC><B3D1><B3D2>,Badge Cascade,13,YES
0x03078C,6075,,9,<0A><B7EB><B4BC><B3D1><B3D2>,Badge Foudre,12,YES
0x030796,6076,,9,<0A><BBB3><B5CE><B3D1><B3D2>,Badge Âme,9,
0x0307A0,6077,,9,<0A><B6CA><B8FD><B3D1><B3D2>,Badge Prisme,12,YES
0x0307AA,6078,,9,<0A><B4BB><B4BC><B3D1><B3D2>,Badge Roche,11,YES
0x0307B9,6079,,10,<0A><B0CE><B0EC><B0DC><B8D8>!,ne peut pas être empoisonné !,29,YES
0x0307C4,6080,,10,<0A><B0CE><B0EC><BAE7><B9C7>!,ne peut pas être brûlé !,24,YES
0x0307CF,6081,,10,<0A><B0CE><B0EC><BAE8><BAD4>!,ne peut pas être gelé !,23,YES
0x0307DA,5830,,6,Send  ,Envoi ,6,
0x0307E1,191,,5,Box 1,Bte 1,5,
0x0307E9,192,,5,Box 2,Bte 2,5,
0x0307F1,193,,5,Box 3,Bte 3,5,
0x0307F9,194,,5,Box 4,Bte 4,5,
0x030801,195,,5,Box 5,Bte 5,5,
0x030809,196,,5,Box 6,Bte 6,5,
0x030811,197,,5,Box 7,Bte 7,5,
0x030819,198,,5,Box 8,Bte 8,5,
0x03081F,5429,,12,00Party Full,00Équipe plei,13,YES
0x03082C,221,dialogue_intro_17_19,106,Hello there!     Welcome to the     world of Pok@mon!  My name is OAK!    People call me the Pok@mon PROF!,"PROF. CHEN :\nBien le bonjour !\nBienvenue !\nVoici le monde\ndes Pokémon !\nMoi, c'est Chen,\nle Prof Pokémon !\nIci vivent\ndes créatures\nappelées Pokémon !",187,YES
0x030898,152,pokedex_13x4,46,It uses the  bulb on it's back to storeenergy.,Il stocke de l'énergie dans le bulbe de son dos.,50,YES
0x0308C7,153,,11, Unleashed!, Déchaîne! ,11,
0x0308D3,204,,12,0Item   Shop,0Boutique   ,12,
0x0308E1,5831,,3,Buy,Ach,3,
0x0308E5,5832,,3,Sel,Vnd,3,
0x0308E9,205,,12,How    Many?,Combien?    ,12,
0x0308F6,206,,11,Thank  you!,Merci!     ,11,
0x030902,154,,22,0000000000Can't  Hold!,0000000000Sac plein!  ,22,
0x030919,155,,19,00000000Don't have!,00000000Pas en stock!,21,YES
0x03092D,207,,11,No Pokemon!,Pas de Pokémon,14,YES
0x030939,208,,16,Hit with recoil!,Dégâts de recul!,16,
0x03094A,6061,,9,0<B4A9><B0DB><B9BA><B9BB>,est maudit !,12,YES
0x030955,156,,29,00000000000000000Regained HP!,00000000000000000PV restaurés !,31,YES
0x030AB5,157,,19, Experience Gained!, Exp. gagnée!     ,18,
0x030AC9,158,,17,Can't  Afford it!,Pas assez d'$!   ,17,
0x030ADB,159,,9,Defeated ,Battu    ,9,
0x030AE5,160,,14,Used Struggle!,Util. Lutte!  ,14,
0x030F83,5557,,10,Secret Key,Clé Secrète,11,YES
0x030F8E,5447,,8,LeafSton,PierrPla,8,
0x0310FB,5835,,5,Ember,Flammèche,9,YES
0x031101,5896,,6,<B0C7><B0C9><B0CB>,Roue de Feu,11,YES
0x031108,5897,,6,<B0CD><B0CF><B0D1>,Poing de Feu,12,YES
0x03110F,5898,,8,<B0D3><B0D5><B0D7><B0D9>,Lance-Flamme,12,YES
0x031118,5899,,6,<B0DB><B0DD><B0DF>,Feu Sacré,9,YES
0x03111F,5900,,6,<B0E1><B0E3><B0E5>,Déflagration,12,YES
0x031126,5602,,5,Erupt,Éruption,8,YES
0x03112C,5603,,4,Wisp,Feu Follet,10,YES
0x031131,5604,,6,Bubble,Écume,5,
0x031138,5901,,6,<B561><B563><B565>,Pistolet à O,12,YES
0x031142,5902,,6,<B0E7><B0E9><B0EB>,Vibraqua,8,YES
0x031149,5903,,6,<B0ED><B0EF><B0F1>,Bulles d'O,10,YES
0x031150,5904,,6,<B567><B569><B56B>,Octazooka,9,YES
0x03115A,5905,,6,<B0F3><B0F5><B0F7>,Pince-Masse,11,YES
0x031166,5906,,6,<B56D><B56F><B571>,Hydrocanon,10,YES
0x031170,5907,,6,<B0F9><B0FB><B0FD>,Tourniquet,10,YES
0x031177,5605,,5,Clamp,Claquoir,8,YES
0x03117D,4845,,8,Withdraw,Repli,5,
0x031186,5908,,8,<B1A1><B1A3><B1A5><B1A7>,Éclair,6,
0x03118F,5909,,6,<B1A9><B1AB><B1AD>,Onde de Choc,12,YES
0x031196,5606,,5,Spark,Étincelle,9,YES
0x03119C,5910,,8,<B1AF><B1B1><B1B3><B1B5>,Poing-Éclair,12,YES
0x0311A5,5911,,8,<B1B7><B1B9><B1BB><B1BD>,Tonnerre,8,
0x0311AE,5912,,6,<B1BF><B1C1><B1C3>,Élecanon,8,YES
0x0311B5,5913,,6,<B1C5><B1C7><B1C9>,Électacle,9,YES
0x0311BC,5607,,7,Thunder,Fatal-Foudre,12,YES
0x0311C4,5914,,8,<B1CB><B1CD><B1CF><B1D1>,Cage-Éclair,11,YES
0x0311CD,5608,,6,Avsorb,Vol-Vie,7,YES
0x0311D4,5915,,6,<B1D3><B1D5><B1D7>,Méga-Sangsue,12,YES
0x0311DB,5916,,6,<B1D9><B1DB><B1DD>,Feuille Magik,13,YES
0x0311E2,5917,,4,<B573><B575>,Fouet Lianes,12,YES
0x0311E7,5609,,4,Whip,Fou.,4,
0x0311EC,5918,,6,<B1DF><B1E1><B1E3>,Tranch'Herbe,12,YES
0x0311F3,5919,,6,<B1E5><B1E7><B1E9>,Poing Dard,10,YES
0x0311FA,5920,,4,<B577><B579>,Canon Graine,12,YES
0x0311FF,5610,,4,Bomb,Bomb,4,
0x031204,5921,,6,<B1EB><B1ED><B1EF>,Lance-Soleil,12,YES
0x03120B,5922,,6,<B1F1><B1F3><B1F5>,Végé-Attaque,12,YES
0x031212,5923,,8,<B1F7><B1F9><B1FB><B1FD>,Siffl'Herbe,11,YES
0x03121B,5924,,8,<B1FF><B101><B103><B105>,Poudre Dodo,11,YES
0x031224,5611,,5,Spore,Spore,5,
0x03122A,5925,,6,<B107><B109><B10B>,Para-Spore,10,YES
0x031231,5926,,6,<B10D><B10F><B111>,Poudreuse,9,YES
0x031238,4846,,8,Icy Wind,Vent Glace,10,YES
0x031241,5927,,6,<B113><B115><B117>,Brise Glacée,12,YES
0x031248,5928,,6,<B57B><B57D><B57F>,Poing-Glace,11,YES
0x031252,4847,,8,Ice Beam,Laser Glace,11,YES
0x03125B,4848,,8,Blizzard,Blizzard,8,
0x031264,5929,,6,<B119><B11B><B11D>,Glaciation,10,YES
0x03126B,4849,,8,Mud Slap,Coud'Boue,9,YES
0x031274,4850,,8,Mud Shot,Tir de Boue,11,YES
0x03127D,5612,,3,Dig,Tunnel,6,YES
0x031281,5930,,4,<B581><B583>,Massd'Os,8,YES
0x031286,5613,,4,Club,Mas.,4,
0x03128B,5931,,6,<B11F><B121><B123>,Séisme,6,
0x031292,5932,,10,0000<B129><B12B><B12D>,0000Osmerang,12,YES
0x03129D,5444,,11,0000Fissure,0000Abîme  ,11,
0x0312A9,5933,,6,<B133><B135><B137>,Jet de Sable,12,YES
0x0312B0,5934,,6,<B139><B13B><B13D>,Jet-Pierres,11,YES
0x0312B7,5935,,4,<B585><B587>,Tomberoche,10,YES
0x0312BC,5614,,4,Tomb,Tomb,4,
0x0312C1,5936,,8,<B13F><B141><B143><B145>,Pouvoir Antique,15,YES
0x0312CA,5937,,6,<B147><B149><B14B>,Éboulement,10,YES
0x0312D1,5938,,6,<B14D><B14F><B151>,Vampirisme,10,YES
0x0312D8,5939,,6,<B153><B155><B157>,Double-Dard,11,YES
0x0312DF,5940,,6,<B159><B15B><B15D>,Vent Argenté,12,YES
0x0312E6,5941,,6,<B15F><B161><B163>,Rayon Signal,12,YES
0x0312ED,5942,,4,<B589><B58B>,Mégacorne,9,YES
0x0312F2,5615,,4,Horn,Corn,4,
0x0312F7,5943,,4,<B58D><B58F>,Lumi-Queue,10,YES
0x0312FC,5616,,4,Glow,Halo,4,
0x031301,5944,,6,<B165><B167><B169>,Sécrétion,9,YES
0x031308,5945,,10,0000<B16F><B171><B173>,0000Dard-Venin,14,YES
0x031313,5836,,4,Smog,Purédpois,9,YES
0x031318,5837,,4,Acid,Acide,5,YES
0x03131D,5946,,6,<B175><B177><B179>,Queue-Poison,12,YES
0x031324,5947,,6,<B17B><B17D><B17F>,Crochet Venin,13,YES
0x03132B,5617,,6,Sludge,Détritus,8,YES
0x031332,5948,,6,<B181><B183><B185>,Bomb-Beurk,10,YES
0x031339,5949,,10,0000<B18B><B18D><B18F>,0000Gaz Toxik,13,YES
0x031344,5838,,5,Toxic,Toxik,5,
0x03134A,4851,,8,Low Kick,Balayage,8,
0x031353,5950,,6,<B191><B193><B195>,Éclate-Roc,10,YES
0x03135A,5951,,6,<B197><B199><B19B>,Poing-Karaté,12,YES
0x031361,5952,,6,<B3E1><B3E3><B3E5>,Double Pied,11,YES
0x031368,5618,,7,Revenge,Vendetta,8,YES
0x031370,5953,,8,<B3E7><B3E9><B3EB><B3ED>,Mawashi Geri,12,YES
0x031379,5954,,6,<B3EF><B3F1><B3F3>,Corps Perdu,11,YES
0x031380,5955,,8,<B3F5><B3F7><B3F9><B3FB>,Frappe Atlas,12,YES
0x031389,5956,,6,<B3FD><B3FF><B301>,Casse-Brique,12,YES
0x031390,5957,,8,<B303><B305><B307><B309>,Stratopercut,12,YES
0x031399,5958,,6,<B30B><B30D><B30F>,Coup-Croix,10,YES
0x0313A0,5959,,8,<B311><B313><B315><B317>,Dynamopoing,11,YES
0x0313A9,5960,,8,<B319><B31B><B31D><B31F>,Poing Boost,11,YES
0x0313B2,5961,,6,<B321><B323><B325>,Mitra-Poing,11,YES
0x0313B9,5619,,4,Peck,Picpic,6,YES
0x0313BE,5620,,4,Gust,Tornade,7,YES
0x0313C3,5962,,6,<B327><B329><B32B>,Tranch'Air,10,YES
0x0313CA,5963,,6,<B32D><B32F><B331>,Cru-Aile,8,YES
0x0313D1,5964,,6,<B333><B335><B337>,Aéropique,9,YES
0x0313D8,5621,,3,Fly,Vol,3,
0x0313DC,5965,,6,<B339><B33B><B33D>,Bec Vrille,10,YES
0x0313E3,5622,,6,Bounce,Rebond,6,
0x0313EA,5966,,6,<B33F><B341><B343>,Aéroblast,9,YES
0x0313F1,5967,,6,<B345><B347><B349>,Piqué,5,
0x0313F8,5968,,6,<B591><B593><B595>,Choc Mental,11,YES
0x031402,4852,,8,Psy Beam,Rafale Psy,10,YES
0x03140B,5969,,4,<B597><B599>,Ball'Brume,10,YES
0x031415,5970,,6,<B59B><B59D><B59F>,Choc Psy,8,YES
0x03141F,5971,,8,<B34B><B34D><B34F><B351>,Psykoud'Boul,12,YES
0x031428,5839,,7,Psychic,Psyko,5,
0x031430,5972,,6,<B353><B355><B357>,Dévorêve,8,YES
0x031437,5973,,6,<B7E5><B7E7><B7E9>,Psycho-Boost,12,YES
0x031441,5840,,8,Hypnosis,Hypnose,7,
0x03144A,5623,,4,Rest,Repos,5,YES
0x03144F,5841,,8,Teleport,Téléport,8,
0x031458,5974,,4,<B7EB><B7ED>,Plénitude,9,YES
0x03145D,5624,,4,Mind,Yoga,4,
0x031462,5842,,7,Agility,Hâte,4,
0x03146A,5843,,4,Lick,Léchouille,10,YES
0x03146F,5625,,8,Astonish,Étonnement,10,YES
0x031478,5975,,6,<B359><B35B><B35D>,Poing Ombre,11,YES
0x03147F,5976,,6,<B401><B403><B405>,Ball'Ombre,10,YES
0x031486,5977,,6,<B407><B409><B40B>,Griffe Ombre,12,YES
0x03148D,5978,,8,<B40D><B40F><B411><B413>,Onde Folie,10,YES
0x031496,5626,,7,Twister,Ouragan,7,
0x03149E,5979,,6,<B415><B417><B419>,Draco-Rage,10,YES
0x0314A5,5980,,6,<B41B><B41D><B41F>,Dracosouffle,12,YES
0x0314AC,5981,,6,<B421><B423><B425>,Draco-Griffe,12,YES
0x0314B3,5982,,6,<B427><B429><B42B>,Draco-Choc,10,YES
0x0314BA,5983,,6,<B42D><B42F><B431>,Danse Draco,11,YES
0x0314C1,5984,,6,<B7EF><B7F1><B7F3>,Sabotage,8,YES
0x0314CB,5985,,6,<B433><B435><B437>,Feinte,6,
0x0314D2,5627,,4,Bite,Morsure,7,YES
0x0314D7,5628,,6,Crunch,Mâchouille,10,YES
0x0314DE,5986,,6,<B439><B43B><B43D>,Griffe Acier,12,YES
0x0314E5,5987,,6,<B43F><B441><B443>,Aile d'Acier,12,YES
0x0314EC,5988,,4,<B7F5><B7F7>,Queue de Fer,12,YES
0x0314F1,5629,,4,Tail,Queu,4,
0x0314F6,5989,,6,<B445><B447><B449>,Poing Météore,13,YES
0x0314FD,5990,,8,<B44B><B44D><B44F><B451>,Mur de Fer,10,YES
0x031506,4853,,6,Splash,Trempette,9,YES
0x03150D,5991,,6,<B453><B455><B457>,Tour Rapide,11,YES
0x031514,4854,,6,Tackle,Charge,6,
0x03151B,4855,,7,Scratch,Griffe,6,
0x031523,5630,,5,Pound,Écras'Face,10,YES
0x031529,5992,,6,<B459><B45B><B45D>,Vive-Attaque,12,YES
0x031530,4856,,7,Pay Day,Jackpot,7,
0x031538,4857,,8,Fake Out,Bluff,5,
0x031541,5631,,3,Cut,Coupe,5,YES
0x031545,5632,,5,Swift,Météores,8,YES
0x03154B,5633,,5,Stomp,Écrasement,10,YES
0x031551,5993,,6,<B501><B503><B505>,Éclate Griffe,13,YES
0x031558,5994,,6,<B507><B509><B50B>,Puissance Cachée,16,YES
0x03155F,5995,,6,<B50D><B50F><B511>,Croc de Mort,12,YES
0x031566,5996,,6,<B513><B515><B517>,Coupe-Vent,10,YES
0x03156D,5997,,6,<B519><B51B><B51D>,Damoclès,8,YES
0x031574,5998,,6,<B51F><B521><B523>,Ultralaser,10,YES
0x03157B,5999,,8,<B525><B527><B529><B52B>,Destruction,11,YES
0x031584,5634,,7,Explode,Explosion,9,YES
0x03158C,6000,,8,<B52D><B52F><B531><B533>,Guillotine,10,YES
0x031595,6001,,6,<B535><B537><B539>,Empal'Korne,11,YES
0x03159C,5635,,4,Sing,Berceuse,8,YES
0x0315A1,6002,,4,<B7F9><B7FB>,Grobisou,8,YES
0x0315A6,5636,,4,Kiss,Bise,4,
0x0315AB,6003,,6,<B53B><B53D><B53F>,Ultrason,8,YES
0x0315B2,6004,,6,<B541><B543><B545>,Danse-Lames,11,YES
0x0315B9,5637,,5,Growl,Rugissement,11,YES
0x0315BF,5638,,7,Bulk-up,Gonflette,9,YES
0x0315C7,6005,,8,<B547><B549><B54B><B54D>,Boul'Armure,11,YES
0x0315D0,5844,,6,Harden,Armure,6,
0x0315D7,6006,,4,<B7FD><B7FF>,Mimi-Queue,10,YES
0x0315DC,5639,,4,Whip,Fou.,4,
0x0315E1,5640,,5,Charm,Charme,6,YES
0x0315E7,6007,,6,<B54F><B551><B553>,Brouillard,10,YES
0x0315F4,6008,,6,<B555><B557><B559>,Reflet,6,
0x0315FB,5641,,7,Recover,Soin,4,
0x03160A,5642,,4,Roar,Hurlement,9,YES
0x03160F,6009,,6,<B701><B703><B705>,Cyclone,7,YES
0x031624,5643,,7,Counter,Riposte,7,
0x03162C,5644,,8,Strength,Force,5,
0x03163B,6010,,6,<B55B><B55D><B55F>,Poudre Toxik,12,YES
0x0316E9,5811,,4,None,Rien,4,
0x0316EE,4863,,8,Grt Ball,SprBall ,8,
0x0316F7,4864,,8,UltaBall,HyprBall,8,
0x031700,4865,,8,MstrBall,MastrBal,8,
0x031709,4866,,6,Potion,Potion,6,
0x031710,4867,,8,S.Potion,Sup.Pot.,8,
0x031719,4868,,8,H.Potion,Hyp.Pot.,8,
0x031722,4869,,8,M.Potion,Max.Pot.,8,
0x031737,5525,,6,P.Heal,AntiPa,6,
0x03173E,5526,,7,0S.Heal,0Réveil,7,
0x031746,5527,,8,Ice Heal,Antigel ,8,
0x03174F,5528,,8,BurnHeal,AntiBrul,8,
0x031758,5529,,8,FullHeal,Tot.Soin,8,
0x031761,5530,,6,Revive,Rappel,6,
0x031769,5531,,5,Ether,Huile,5,
0x03176F,4870,,8,MaxEther,Huile Max,9,YES
0x031779,4871,,8,RareCndy,BonbRare,8,
0x031782,5532,,8,FireSton,PierrFeu,8,
0x03178B,5533,,8,WatrSton,PierrEau,8,
0x031794,5534,,8,ThunSton,PierrFdr,8,
0x03179D,5535,,8,MoonSton,PierrLun,8,
0x0317A6,5536,,6,Parcel,Colis ,6,
0x0317B5,5537,,3,Map,Carte,5,YES
0x0317B9,5538,,10,HelixFosil,Nautile,7,
0x0317C4,5539,,10,DomeFossil,Fos.Dôme  ,10,
0x0317CF,5540,,10,S.S.Ticket,Passe Bateau,12,YES
0x0317DA,5541,,8,Lemonade,Limonade,8,
0x0317E3,5542,,10,SilphScope,Scope Sylphe,12,YES
0x0317EE,5543,,9,Pok@Flute,Poké Flûte,10,YES
0x0317F8,4872,,10,Gold Teeth,Dent d'Or ,10,
0x031803,4873,,8,00Cut HM,00Cpe CS,8,
0x03180D,4874,,6,Fly HM,Vol CS,6,
0x031815,4875,,7,Surf HM,Surf CS,7,
0x03181D,4876,,6,STR HM,ForceC,6,
0x031824,4877,,8,Flash HM,Flash CS,8,
0x03182D,5560,,6,TM 01 ,CT 01 ,6,
0x031835,5561,,6,TM 02 ,CT 02 ,6,
0x03183D,5562,,6,TM 03 ,CT 03 ,6,
0x031845,5563,,6,TM 04 ,CT 04 ,6,
0x03184D,5564,,6,TM 05 ,CT 05 ,6,
0x031855,5565,,6,TM 06 ,CT 06 ,6,
0x03185D,5566,,6,TM 07 ,CT 07 ,6,
0x031865,5567,,6,TM 08 ,CT 08 ,6,
0x03186D,5568,,6,TM 09 ,CT 09 ,6,
0x031875,5569,,6,TM 10 ,CT 10 ,6,
0x03187D,5570,,6,TM 11 ,CT 11 ,6,
0x031885,5571,,6,TM 12 ,CT 12 ,6,
0x03188D,5572,,6,TM 13 ,CT 13 ,6,
0x031895,5573,,6,TM 14 ,CT 14 ,6,
0x03189D,5574,,6,TM 15 ,CT 15 ,6,
0x0318A5,5575,,6,TM 16 ,CT 16 ,6,
0x0318AD,5576,,6,TM 17 ,CT 17 ,6,
0x0318B5,5577,,6,TM 18 ,CT 18 ,6,
0x0318BD,5578,,6,TM 19 ,CT 19 ,6,
0x0318C5,5579,,6,TM 20 ,CT 20 ,6,
0x0318CD,5580,,6,TM 21 ,CT 21 ,6,
0x0318D5,5581,,6,TM 22 ,CT 22 ,6,
0x0318DD,5582,,6,TM 23 ,CT 23 ,6,
0x0318E5,5583,,6,TM 24 ,CT 24 ,6,
0x0318ED,5584,,6,TM 25 ,CT 25 ,6,
0x0318F5,5585,,6,TM 26 ,CT 26 ,6,
0x0318FD,5586,,6,TM 27 ,CT 27 ,6,
0x031905,5587,,6,TM 28 ,CT 28 ,6,
0x03190D,5588,,6,TM 29 ,CT 29 ,6,
0x031915,5589,,6,TM 30 ,CT 30 ,6,
0x03191D,5590,,6,TM 31 ,CT 31 ,6,
0x031925,5591,,6,TM 32 ,CT 32 ,6,
0x03192D,5592,,6,TM 33 ,CT 33 ,6,
