id,cle_stable,categorie,offset_ou_pointeur,ligne_script,layout,intervenant,texte_francais,texte_chinois_source,traduction_anglaise_rom_anglaise,confiance_alignement,historique_traduction,naturalise,corrige_d_apres_le_chinois,votre_verdict,votre_commentaire
D0011,MAIN:0x03331B,Dialogue en jeu,0x03331B,6100,dialogue_19_19,RÉGIS,"RÉGIS : Zut !
J'étais distrait.
À ce niveau, jamais
tu ne gagneras
la Ligue.
Entraîne-toi !
Je trace. À plus !","小茂:我只是一时太大意了,可恶!不过你这样的水平想称霸精灵联盟...你还是多练习一下比较好!我多管闲事了啊,那我先走了!再会了...",NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0012,MAIN:0x033395,Dialogue en jeu,0x033395,6109,dialogue_19_19,GARDE,"GARDE : Oh !
Tes Badges de Ligue
sont authentiques !
Tu peux passer !",守卫:啊!你拿的的确是联盟徽章!请通过吧!,NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0013,MAIN:0x0333BD,Dialogue en jeu,0x0333BD,5315,dialogue_19_19,,"Magie, tu connais ?",魔术师:你知道什么是魔术吗?,You're gonna take on the Elite Four?,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0014,MAIN:0x0333E3,Dialogue en jeu,0x0333E3,5320,dialogue_19_19,,Incroyable...,魔术师:不可思议...,You should have no trouble.,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0015,MAIN:0x0333FF,Dialogue en jeu,0x0333FF,5321,dialogue_19_19,,"Tu t'es bien battu, mais tu t'arrêtes ici !","空手道:你辛苦了,不过也到此为止",This is the final test for trainers!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0016,MAIN:0x033425,Dialogue en jeu,0x033425,5384,dialogue_19_19,,Dire que j'ai perdu...,空手道:我竟然输了...,I need to train.,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0017,MAIN:0x033436,Dialogue en jeu,0x033436,5367,dialogue_19_19,,Je vais me marier !,女孩:告诉你我要结婚了!,The Elite Four is next!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0018,MAIN:0x03344F,Dialogue en jeu,0x03344F,5452,dialogue_19_19,,"Finalement, non... Tu veux m'épouser ?","女孩:我不想嫁人了,你做我老公好吗?",Unbelievable!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0019,MAIN:0x03345D,Dialogue en jeu,0x03345D,5322,dialogue_19_19,,"Pourquoi sont-ils
tous si faibles ?",女孩:为什么我的精灵都不强呢?,I heard about a young prodigy.,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0020,MAIN:0x03347F,Dialogue en jeu,0x03347F,5350,dialogue_19_19,,Je manque sûrement d'amour pour eux...,女孩:是因为我没有用爱心吧...,You really beat Team Rocket?,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0021,MAIN:0x03349F,Dialogue en jeu,0x03349F,5323,dialogue_19_19,,Tu n'iras pas plus loin !,男孩:我不会让你再前进的,Only the chosen canpass here!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0022,MAIN:0x0334BD,Dialogue en jeu,0x0334BD,5385,dialogue_19_19,,C'était écrit...,男孩:是天意啊,I don't believe it!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0023,MAIN:0x0334D1,Dialogue en jeu,0x0334D1,3854,dialogue_19_19,,Futur Champion ! Bats les quatre de suite. Toute défaite te renvoie au début. Courage !,"裁判:未来的冠军,来到这里真不容易不过挑战四大天王的决胜规则就是将四人一一打败如果输了就从第一人从新打起!加油了!","From here on, you face the Elite Fourone by one! If you win, a door opens to the next trainerGood luck!",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0024,MAIN:0x03353B,Dialogue en jeu,0x03353B,3864,dialogue_19_19,,"Tu vas affronter
les quatre membres
du Conseil des 4.
Vise la victoire !",女孩:现在就开始四大天王的对战!朝最强努力吧!,"Here at the Pok@monLeague, you have toface the Elite Fourin succession.",high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0025,MAIN:0x033583,Dialogue en jeu,0x033583,3873,dialogue_19_19,,"Bienvenue !
Je zuis OLGA,
du Conzeil des 4 !
Ma glaze va figer
toute ton équipe !
Ach ! Z'est parti !","加纳:欢迎来到宠物精灵联盟!我是冰系四天王加纳!还没碰过害怕的东西,让我生气了就让你的精灵动弹不得!哈哈觉悟吧!","Welcome,I'm Loreleiof the Elite Four! Your Pok@mon will be at my mercy whenthey're frozen solid! Hahaha! Are you ready?",high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0026,MAIN:0x033604,Dialogue en jeu,0x033604,3884,dialogue_19_19,,"Tu es fort.
Z'est bien.
J'ai perdu.
Passe dans la salle
suivante !","加纳:你到底是什么人物?...好吧,我输了就朝下一个房间前进吧",You're better than I thought! Go on ahead!This was justa taste of Pok@mon League power!,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0027,MAIN:0x03365E,Dialogue en jeu,0x03365E,3894,dialogue_19_19,,"Mon nom est ALDO,
du Conseil des 4 !
Mes Pokémon et moi,
on adore la muscu !
Sacha, en garde !
À table !","西巴:我是地系四天王西巴!不管是精灵或人只要战斗磨练都能变的很强,就靠这中磨练与我的精灵工生存!你是小智吧,来尝尝我们的超级力量吧!","I am Bruno of the Elite Four! Throughrigorous training, people and Pok@mon can become strongerAsh! We will grind you with our power!",high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0028,MAIN:0x0336E4,Dialogue en jeu,0x0336E4,3903,dialogue_19_19,,"J'ai perdu...
Bien joué !
La suite t'attend.","西巴:到底是怎么回事?我竟然输了...既然输了,我无话可说,你就前进吧!",My job is done! Go face your next challenge!,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0029,MAIN:0x033715,Dialogue en jeu,0x033715,3911,dialogue_19_19,,"Je suis AGATHA,
du Conseil des 4 !
CHEN mise sur toi.
Ce vieux machin
était fort et beau.
Mais le Pokédex
ne suffit pas :
les Pokémon
servent au combat !
Je vais te montrer
un vrai combat !","菊子:我是鬼系四天王菊子,听说真新镇的大木博士相当疼你!大木博士以前是相当强的男人!现在看不出来了,光只是做宠物精灵图鉴是不够的!精灵是要用来战斗的!让我来教你真正的战斗吧!","I am Agatha of the Elite Four! Oak's taken a lot of int-erest in you,child!That old duff was once tough and han-dsome! Now he just wants to fiddle with his Pok@dex, He's wrong! Pok@monare for fighting! Ash! I'll show you how a real trainer fights!",high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0030,MAIN:0x033814,Dialogue en jeu,0x033814,3927,dialogue_19_19,,"Je vois pourquoi
CHEN t'apprécie !
J'ai perdu.
Tu peux passer.","菊子:真了不起啊,是你胜了,大木博士真有眼光,我心服口服你就朝下一个房间去吧!","I see what he sees in you now! I have nothing else to sayRun along now,child",high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0031,MAIN:0x033861,Dialogue en jeu,0x033861,3936,dialogue_19_19,,"Moi, c'est PETER !
Je dirige
le Conseil des 4 !
Les dragons sont
des êtres sacrés.
Durs à capturer,
ils sont presque
invincibles !
Le glas sonne...
Tu vas perdre !","瓦它诺:你是小智?我是龙系四天王菊子瓦它诺,你应该知道龙是神圣传说中的生物,很难抓但培育的好将是天下第一!一般的攻击对龙系是没用的!开始吧,我会让你夹着尾巴逃跑的!",I heard about you Ilead the Elite FourI am Lance the dra-gon tamer! Dragon'spowers are superiorReady to lose? YourLeague challenge ends with me!,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0032,MAIN:0x0338F4,Dialogue en jeu,0x0338F4,3951,dialogue_19_19,,"Incroyable !
Tu mérites le titre
de Maître Pokémon !
Enfin...
Pas encore !
RÉGIS a déjà battu
le Conseil des 4.
Bats-le et deviens
le vrai Champion !","瓦它诺:虽然难过但你的技术一流!我想说小智从今开始你是宠物精灵联盟的冠军!但你必须再与一人战斗不可!那位训练家就是...小茂!他比你早战胜我们四天王,所以你们要决出真正的冠军,去吧小智!","I can't believe my dragons lost! You are the League Cha-mpion!...or,you would have been. Another trainer named Gary beat theElite Four before you! He is the realchampion!",high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0033,MAIN:0x0339A9,Dialogue en jeu,0x0339A9,3963,dialogue_19_19,RÉGIS,"RÉGIS : Bonjour,
minable. Toi, ici ?
En complétant
mon Pokédex,
j'ai trouvé
l'équipe parfaite !
Je suis le meilleur
Dresseur du monde !","小茂:小智啊?你也来了?既然做为对手的你这么弱也没什么好竞争的!我在收集图鉴的同时也找到一些完美的精灵!告诉你吧,我就是世界最强的精灵训练师!!","Hey Ash! I looked all over for power-ful Pokemon and assembled a strong team, now I'm the League Champion! I'm the strongest trainer in the world!",high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0034,MAIN:0x033A48,Dialogue en jeu,0x033A48,3976,dialogue_19_19,PROF. CHEN,"PROF. CHEN : Bravo,
Sacha !
Pikachu et toi
avez bien grandi.
Régis... Dommage !
Je venais saluer
le Champion.
Mais tu as perdu.
Pourquoi ?
Tu leur as refusé
amour et confiance.
Sans ce lien
tu ne seras jamais
Champion !","大木博士:堂堂正正的赢了!恭喜你小智,从你刚开始得到比卡丘开始到现在你真的变强了,应该说你长大了!小茂...真是可惜!听说你战胜四天王而飞奔到这里,但看到你到最后输了!你知道为什么会输吗?因为你忘了给予精灵们信任和感情!所以你再怎么努力也不可能站在高峰的!","So,you won! Congra-tulations! You've grown so much sinceyou first left withPikachu, Ash! I'm disappointed Gary, I came when I heardyou became League Champion.But you already lost, do you understand why?You've forgotten totreat your Pok@mon with trust and lovewithout them,you'llnever become champ again.",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0035,MAIN:0x033B7F,Dialogue en jeu,0x033B7F,4005,dialogue_19_19,PROF. CHEN,"PROF. CHEN :
Sacha ! Ta victoire
vient du lien
qui t'unit
à tes Pokémon.
C'est merveilleux !
Suis-moi !","大木博士:小智,你能制霸宠物精灵联盟!不是你一个人的力量!是你与精灵之间巧妙的感情!小智你跟我来!","Ash, you understandyour victory was not your own doing!The bond you share with your Pok@mon is marvelous! Come with me,Ash!",high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0036,MAIN:0x033BFE,Dialogue en jeu,0x033BFE,4017,dialogue_19_19,PROF. CHEN,PROF. CHEN : Sacha est Champion ! Inscrivons ton nom et tes Pokémon. Rentrons : ta mère t'attend.,"大木博士:小智,你经过激烈的战斗!而如今成为联盟冠军!在此记录下小智的名字与精灵的名字吧!和我一起回家吧,你妈妈一定很想你","Congratulations AshThis is the Pok@monHall of Fame! The League Champions and their Pok@mon are honored here! Congratulations,Ashyou and your Pok@-mon are Hall of Famers!",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0037,MAIN:0x033CB1,Dialogue en jeu,0x033CB1,4029,dialogue_19_19,MAMAN,MAMAN : Étrange phénomène près d'Azuria. Olga enquête...,"妈妈:听说华蓝市附近有个山洞发生异常,连精灵联盟的四天王加纳都去调查了...","Ash,Lorelei was looking for you,shewent to Cerulean cave.",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0038,MAIN:0x033CF0,Dialogue en jeu,0x033CF0,6115,dialogue_19_19,ARBITRE,"ARBITRE :
Désolé.
Olga est absente,
alors la Ligue
suspend les défis.
Elle enquête
à Azuria...","裁判:真是抱歉,四天王的加纳因为不在所以现在联盟暂停训练家挑战...加纳好像去华蓝市调查异变去了...",NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0039,MAIN:0x033D5B,Dialogue en jeu,0x033D5B,5857,dialogue_19_19,MEWTWO,MEWTWO : ...,超梦:......,MewTwo:....,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0040,MAIN:0x033D67,Dialogue en jeu,0x033D67,4037,dialogue_19_19,OLGA,"OLGA : Mewtwo
causait tout ça.",加纳:原来发生异变的原因就是这只超梦引起的.,"There you are Ash! It seems TeamRockethas appeared again,they've gone to Indigo Plateau. Oh!And I have some- thing for you as well, here's a passto go to Navel RockYou can get there by the S.S. Anne. I'll see you at Indigo Plateau Ash.",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0041,MAIN:0x033E5F,Dialogue en jeu,0x033E5F,4048,dialogue_19_19,,Un Ticket Mystik ? Monte à bord ! Bienvenue à nouveau sur l'Océane !,船员:那个是梦幻船票??那么请进!!欢迎再次来乘做铁达尼号!,"Hello, May I see your pass for NavelRock? ...Thank you sir!",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0042,MAIN:0x033EAA,Dialogue en jeu,0x033EAA,4053,dialogue_19_19,HO-OH,HO-OH : ...,凤凰:......,Ho-oh: Kwee!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0043,MAIN:0x033EEA,Dialogue en jeu,0x033EEA,4054,dialogue_19_19,LUGIA,LUGIA : ...,路基亚:......,Lugia: Roar!!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0044,MAIN:0x033EF8,Dialogue en jeu,0x033EF8,4055,dialogue_19_19,,"Quel voyage !
Olga est revenue :
la Ligue rouvre !","船员:怎么样,是场神奇的旅行吧.现在精灵联盟因为四天王的加纳又回来了,所以又开始接受新的冠军挑战了!","Welcome to Navel Rock! If you'd liketo leave, just board the S.S.Anne.",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0045,MAIN:0x033F45,Dialogue en jeu,0x033F45,6120,dialogue_19_19,OLGA,"OLGA : Bienvenue !
Je zuis OLGA,
du Conzeil des 4 !
Ma glaze va figer
toute ton équipe !
Ach ! Z'est parti !","加纳:欢迎来到宠物精灵联盟!我是冰系四天王加纳!还没碰过害怕的东西,让我生气了就让你的精灵动弹不得!哈哈觉悟吧!",NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0046,MAIN:0x033FC5,Dialogue en jeu,0x033FC5,6128,dialogue_19_19,OLGA,"OLGA : Tu es fort.
Z'est bien.
J'ai perdu.
Passe à la suite !","加纳:你到底是什么人物?...好吧,我输了就朝下一个房间前进吧",NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0047,MAIN:0x033FFF,Dialogue en jeu,0x033FFF,6134,dialogue_19_19,ALDO,"ALDO : Je suis ALDO
du Conseil des 4 !
Mes Pokémon et moi,
on adore la muscu !
Sacha, en garde !
À table !","西巴:我是地系四天王西巴!不管是精灵或人只要战斗磨练都能变的很强,就靠这中磨练与我的精灵工生存!你是小智吧,来尝尝我们的超级力量吧!",NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0048,MAIN:0x03407F,Dialogue en jeu,0x03407F,6142,dialogue_19_19,ALDO,"ALDO : Perdu...
Bien joué !
La suite t'attend.","西巴:到底是怎么回事?我竟然输了...既然输了,我无话可说,你就前进吧!",NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0049,MAIN:0x0340C1,Dialogue en jeu,0x0340C1,6147,dialogue_19_19,AGATHA,"AGATHA :
Conseil des 4 !
CHEN mise sur toi.
Ce vieux machin
était fort et beau.
Mais le Pokédex
ne suffit pas :
les Pokémon
servent au combat !
Montre-moi
ce que tu vaux !","菊子:我是鬼系四天王菊子,听说真新镇的大木博士相当疼你!大木博士以前是相当强的男人!现在看不出来了,光只是做宠物精灵图鉴是不够的!精灵是要用来战斗的!让我来教你真正的战斗吧!",NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0050,MAIN:0x034169,Dialogue en jeu,0x034169,6160,dialogue_19_19,PETER,"PETER :
Je dirige
le Conseil des 4 !
Les dragons sont
des êtres sacrés.
Durs à capturer,
ils sont presque
invincibles !
Le glas sonne...
Tu vas perdre !","瓦它诺:你是小智?我是龙系四天王菊子瓦它诺,你应该知道龙是神圣传说中的生物,很难抓但培育的好将是天下第一!一般的攻击对龙系是没用的!开始吧,我会让你夹着尾巴逃跑的!",NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0051,MAIN:0x034207,Dialogue en jeu,0x034207,6172,dialogue_19_19,PETER,"PETER : Bien joué !
Mais pour être
le vrai Champion,
bats le Dresseur
qui nous a vaincus.
Il t'attend
dans la salle
suivante !",瓦它诺:虽然难过但你的技术一流!不过要想成为真正的冠军就应该进入冠军的房间打败里面的训练师!!他比你早一步打败我们四天王!,NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0052,MAIN:0x03427E,Dialogue en jeu,0x03427E,4069,dialogue_19_19,SACHA,"SACHA : C'est vous, les nouveaux Champions ? Hein ? Vous êtes...",小智:你们就是新的冠军?啊?难道你们是...,"Jesse: Long time nosee brat! Our boss has disbanded Team Rocket because of you! James: We plan to take over Indigo Plateau and make sure Team Rocket takes its place as true Pok@mon mast- ers. We can't allowa dreadful little twerp such as your-self stand in our way! Meowth:Hehe, you don't stand a chance against Meowth!",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0053,MAIN:0x0343EF,Dialogue en jeu,0x0343EF,4075,dialogue_19_19,JAMES,JAMES : Encore battus ! Va défier le nouveau chef !,"小次郎:居然又输了,有本事去挑战我们的新老大!!","James: Again! We lost again to this twerp! Jesse&James: Looks like Team Rocket's blasting off again!Meowth:Hey,Wait forMeowth!",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0054,MAIN:0x03447C,Dialogue en jeu,0x03447C,6182,dialogue_19_19,PROF. CHEN,"PROF. CHEN : Bravo,
Sacha !
Avec Pikachu,
tu as tant grandi !
Grâce au lien noué
avec tes Pokémon,
tu as gagné !
Suis-moi !","大木博士:你又堂堂正正的赢了!恭喜你小智,从你刚开始得到比卡丘开始到现在你真的变强了,应该说你长大了!小智,你能制霸宠物精灵联盟!不是你一个人的力量!是你与精灵之间巧妙的感情!小智你跟我来!",NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0055,MAIN:0x03456E,Dialogue en jeu,0x03456E,6192,dialogue_19_19,PROF. CHEN,"PROF. CHEN : Bravo,
Sacha !
Te voilà Champion
de la Ligue !
Notons vos noms.
Puis rentrons :
ta mère t'attend.","大木博士:小智,你经过激烈的战斗!而如今成为联盟冠军!在此记录下小智的名字与精灵的名字吧!和我一起回家吧,你妈妈一定很想你",NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0056,MAIN:0x0345E4,Dialogue en jeu,0x0345E4,6201,dialogue_19_19,MAMAN,"MAMAN : Kameiyu, chez Nanjing Tech à Céladopole, aurait des Pokémon invaincus. Tu vas le défier ? Prudence...","妈妈:我听说你要去彩虹市的南晶科技开发部挑战名叫卡美优的训练师!听说他的精灵至今还没有被人打败过,你千万要小心啊...",NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0057,MAIN:0x0346A1,Dialogue en jeu,0x0346A1,4085,dialogue_19_19,KAMEIYU,"KAMEIYU : Bravo ! Tu es sans rival à Kanto. Pourtant, il y a plus fort ailleurs. Hoenn a d'autres Pokémon. Finis ton Pokédex. Reviens.","卡美优:不错,你的实力在这个石英地区已经无人能敌了,但别忘了人外有人天外有天啊,在这个世界上还存在别的大陆...有机会的话一定要去宝石大陆看看,那里有这里所没有的精灵!!!那么你的精灵图鉴如果收集齐了的话再来找我吧!","You're amazing! It seems you've earnedthe respect of the Legendary Pok@mon! If you can find allthe Pok@mon in Kanto, return and speak to me again!",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0058,MAIN:0x034739,Dialogue en jeu,0x034739,4101,dialogue_19_19,KAMEIYU,"KAMEIYU : Hoenn a d'autres Pokémon. Finis ton Pokédex, puis reviens.","卡美优:有机会的话一定要去宝石大陆看看,那里有这里所没有的精灵!!!那么你的精灵图鉴如果收集齐了的话再来找我吧!","You are a true Pok@maniac! You have earned this Pok@- mon's respect, it would like to come with you.",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0059,MAIN:0x0347A2,Dialogue en jeu,0x0347A2,4111,dialogue_19_19,KAMEIYU,KAMEIYU : Bravo ! Le Pokédex de Kanto est complet. Ce Mew est à toi !,"卡美优:你已经成功了收集石英地区所有的精灵,真了不起!好吧这只梦幻就送给你吧!恭喜你完成了精灵图鉴!!",Please take care of Mew!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0060,MAIN:0x0347BD,Dialogue en jeu,0x0347BD,4116,dialogue_19_19,,Mew reçu !,得到梦幻,Recieved Mew!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0061,MAIN:0x0347CB,Dialogue en jeu,0x0347CB,6207,dialogue_19_19,MAMAN,"MAMAN :
Tu as terminé
le Pokédex ?",妈妈:你完成精灵图鉴了吗?,NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0062,MAIN:0x034862,Dialogue en jeu,0x034862,4117,dialogue_19_19,ARBITRE,"ARBITRE : Bravo,
Champion !",裁判:你真是好样的!,Great job Champ!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0063,MAIN:0x034873,Dialogue en jeu,0x034873,4118,dialogue_19_19,KAMEIYU,"KAMEIYU : D'accord, je m'avoue vaincu ! Content ?",卡美优:我认输!这样总行了吧!,Farewell traveller!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0064,MAIN:0x034887,Dialogue en jeu,0x034887,4119,dialogue_19_19,BEIBEI,BEIBEI : Tu es vraiment formidable !,蓓蓓:你真的是很棒耶!,Take care of Eevee!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0065,MAIN:0x0348B5,Dialogue en jeu,0x0348B5,4120,dialogue_19_19,XIAO LI,"XIAO LI : Arrête !
Ou j'appelle
la police !","小李:再骚扰的话,本大爷要报警了...!",Your Pok@mon can fly you anywhere.,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0066,MAIN:0x034927,Dialogue en jeu,0x034927,4131,dialogue_19_19,,Rien obtenu.,得到无,NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0067,MAIN:0x03492F,Dialogue en jeu,0x03492F,4132,dialogue_19_19,,Poké Ball reçue !,得到精灵球,A Pok@ball!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0068,MAIN:0x03493B,Dialogue en jeu,0x03493B,4133,dialogue_19_19,,Super Ball reçue !,得到超级球,A Great Ball!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0069,MAIN:0x034949,Dialogue en jeu,0x034949,4134,dialogue_19_19,,Hyper Ball reçue !,得到超力球,UltraBall,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0070,MAIN:0x034953,Dialogue en jeu,0x034953,6212,dialogue_19_19,,Master Ball reçue !,得到大师球,NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0071,MAIN:0x03495F,Dialogue en jeu,0x03495F,4135,dialogue_19_19,,Potion reçue !,得到伤药,A Potion!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0072,MAIN:0x034969,Dialogue en jeu,0x034969,5856,dialogue_19_19,,"Super Potion
reçue !",得到好伤药,S.Potion!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0073,MAIN:0x034973,Dialogue en jeu,0x034973,4136,dialogue_19_19,,"Hyper Potion
reçue !",得到超级伤药,A H.Potion!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0074,MAIN:0x034981,Dialogue en jeu,0x034981,6213,dialogue_19_19,,Potion Max reçue !,得到最大伤药,NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0075,MAIN:0x034990,Dialogue en jeu,0x034990,4137,dialogue_19_19,,Antidote reçu !,得到解毒药,An Antidote!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
