record_index,start_hex,end_hex_exclusive,pair,payload_bytes,glyph_codes,unresolved_codes,chinese_text,pointer_targets,pointer_references
189,0x030944,0x030949,6,5,2,,"
攻击",0x030945,0x0301A9
190,0x03094A,0x030953,6,9,4,,"
受到诅咒",0x03094B,0x0301AB
191,0x030954,0x030959,6,5,2,,"
撞击",0x030955,0x0301AD
192,0x03095A,0x030965,6,11,5,,"
使用了伤药",0x03095B,0x0301AF
193,0x030966,0x030971,6,11,5,,"
血值恢复了",0x030967,0x0301B1
194,0x030ABA,0x030AC3,6,9,4,,"
妙蛙种子",0x030ABB,0x030977
195,0x030AC4,0x030ACB,6,7,3,,"
妙蛙草",0x030AC5,0x030979
196,0x030ACC,0x030AD3,6,7,3,,"
妙蛙花",0x030ACD,0x03097B
197,0x030AD4,0x030ADB,6,7,3,,"
小火龙",0x030AD5,0x03097D
198,0x030ADC,0x030AE3,6,7,3,,"
火恐龙",0x030ADD,0x03097F
199,0x030AE4,0x030AEB,6,7,3,,"
喷火龙",0x030AE5,0x030981
200,0x030AEC,0x030AF3,6,7,3,,"
杰尼龟",0x030AED,0x030983
201,0x030AF4,0x030AFB,6,7,3,,"
卡米龟",0x030AF5,0x030985
202,0x030AFC,0x030B03,6,7,3,,"
水箭龟",0x030AFD,0x030987
203,0x030B04,0x030B0B,6,7,3,,"
绿毛虫",0x030B05,0x030989
204,0x030B0C,0x030B13,6,7,3,,"
铁甲蛹",0x030B0D,0x03098B
205,0x030B14,0x030B1B,6,7,3,,"
巴大蝴",0x030B15,0x03098D
206,0x030B1C,0x030B23,6,7,3,,"
独角虫",0x030B1D,0x03098F
207,0x030B24,0x030B2B,6,7,3,,"
铁壳昆",0x030B25,0x030991
208,0x030B2C,0x030B33,6,7,3,,"
大针蜂",0x030B2D,0x030993
209,0x030B34,0x030B39,6,5,2,,"
波波",0x030B35,0x030995
210,0x030B3A,0x030B41,6,7,3,,"
比比鸟",0x030B3B,0x030997
211,0x030B42,0x030B47,6,5,2,,"
比雕",0x030B43,0x030999
212,0x030B48,0x030B4F,6,7,3,,"
小拉达",0x030B49,0x03099B
213,0x030B50,0x030B55,6,5,2,,"
拉达",0x030B51,0x03099D
214,0x030B56,0x030B5B,6,5,2,,"
烈雀",0x030B57,0x03099F
215,0x030B5C,0x030B63,6,7,3,,"
大嘴雀",0x030B5D,0x0309A1
216,0x030B64,0x030B6B,6,7,3,,"
阿柏蛇",0x030B65,0x0309A3
217,0x030B6C,0x030B73,6,7,3,,"
阿柏怪",0x030B6D,0x0309A5
218,0x030B74,0x030B7B,6,7,3,,"
皮卡丘",0x030B75,0x0309A7
219,0x030B7C,0x030B81,6,5,2,,"
雷丘",0x030B7D,0x0309A9
220,0x030B82,0x030B89,6,7,3,,"
穿山鼠",0x030B83,0x0309AB
221,0x030B8A,0x030B91,6,7,3,,"
穿山王",0x030B8B,0x0309AD
222,0x030B92,0x030B99,6,7,3,,"
尼多兰",0x030B93,0x0309AF
223,0x030B9A,0x030BA1,6,7,3,,"
尼多娜",0x030B9B,0x0309B1
224,0x030BA2,0x030BA9,6,7,3,,"
尼多后",0x030BA3,0x0309B3
225,0x030BAA,0x030BB1,6,7,3,,"
尼多朗",0x030BAB,0x0309B5
226,0x030BB2,0x030BBB,6,9,4,,"
尼多力诺",0x030BB3,0x0309B7
227,0x030BBC,0x030BC3,6,7,3,,"
尼多王",0x030BBD,0x0309B9
228,0x030BC4,0x030BC9,6,5,2,,"
皮皮",0x030BC5,0x0309BB
229,0x030BCA,0x030BD1,6,7,3,,"
皮可西",0x030BCB,0x0309BD
230,0x030BD2,0x030BD7,6,5,2,,"
六尾",0x030BD3,0x0309BF
231,0x030BD8,0x030BDD,6,5,2,,"
九尾",0x030BD9,0x0309C1
232,0x030BDE,0x030BE3,6,5,2,,"
胖丁",0x030BDF,0x0309C3
233,0x030BE4,0x030BEB,6,7,3,,"
胖可西",0x030BE5,0x0309C5
234,0x030BEC,0x030BF3,6,7,3,,"
超音蝠",0x030BED,0x0309C7
235,0x030BF4,0x030BFB,6,7,3,,"
大嘴蝠",0x030BF5,0x0309C9
236,0x030BFC,0x030C03,6,7,3,,"
走路草",0x030BFD,0x0309CB
237,0x030C04,0x030C0B,6,7,3,,"
臭臭花",0x030C05,0x0309CD
238,0x030C0C,0x030C13,6,7,3,,"
霸王花",0x030C0D,0x0309CF
239,0x030C14,0x030C1B,6,7,3,,"
派拉斯",0x030C15,0x0309D1
240,0x030C1C,0x030C25,6,9,4,,"
派拉斯特",0x030C1D,0x0309D3
241,0x030C26,0x030C2B,6,5,2,,"
毛球",0x030C27,0x0309D5
242,0x030C2C,0x030C33,6,7,3,,"
末入蛾",0x030C2D,0x0309D7
243,0x030C34,0x030C39,6,5,2,,"
地鼠",0x030C35,0x0309D9
244,0x030C3A,0x030C41,6,7,3,,"
三地鼠",0x030C3B,0x0309DB
245,0x030C42,0x030C47,6,5,2,,"
喵喵",0x030C43,0x0309DD
246,0x030C48,0x030C4F,6,7,3,,"
猫老大",0x030C49,0x0309DF
247,0x030C50,0x030C57,6,7,3,,"
可达鸭",0x030C51,0x0309E1
248,0x030C58,0x030C5F,6,7,3,,"
哥达鸭",0x030C59,0x0309E3
249,0x030C60,0x030C65,6,5,2,,"
猴怪",0x030C61,0x0309E5
250,0x030C66,0x030C6D,6,7,3,,"
火暴猴",0x030C67,0x0309E7
251,0x030C6E,0x030C75,6,7,3,,"
卡蒂狗",0x030C6F,0x0309E9
252,0x030C76,0x030C7D,6,7,3,,"
风速犬",0x030C77,0x0309EB
253,0x030C7E,0x030C87,6,9,4,,"
蚊香蝌蚪",0x030C7F,0x0309ED
254,0x030C88,0x030C8F,6,7,3,,"
蚊香蛙",0x030C89,0x0309EF
255,0x030C90,0x030C97,6,7,3,,"
快泳蛙",0x030C91,0x0309F1
256,0x030C98,0x030C9D,6,5,2,,"
凯西",0x030C99,0x0309F3
257,0x030C9E,0x030CA5,6,7,3,,"
勇吉拉",0x030C9F,0x0309F5
258,0x030CA6,0x030CAB,6,5,2,,"
胡地",0x030CA7,0x0309F7
259,0x030CAC,0x030CB1,6,5,2,,"
腕力",0x030CAD,0x0309F9
260,0x030CB2,0x030CB7,6,5,2,,"
豪力",0x030CB3,0x0309FB
261,0x030CB8,0x030CBD,6,5,2,,"
怪力",0x030CB9,0x0309FD
262,0x030CBE,0x030CC5,6,7,3,,"
喇叭芽",0x030CBF,0x0309FF
263,0x030CC6,0x030CCD,6,7,3,,"
口袋花",0x030CC7,0x030A01
264,0x030CCE,0x030CD5,6,7,3,,"
大食花",0x030CCF,0x030A03
265,0x030CD6,0x030CDF,6,9,4,,"
玛瑙水母",0x030CD7,0x030A05
266,0x030CE0,0x030CE9,6,9,4,,"
毒刺水母",0x030CE1,0x030A07
267,0x030CEA,0x030CF1,6,7,3,,"
小拳石",0x030CEB,0x030A09
268,0x030CF2,0x030CF9,6,7,3,,"
隆隆石",0x030CF3,0x030A0B
269,0x030CFA,0x030D01,6,7,3,,"
隆隆岩",0x030CFB,0x030A0D
270,0x030D02,0x030D09,6,7,3,,"
小火马",0x030D03,0x030A0F
271,0x030D0A,0x030D11,6,7,3,,"
烈焰马",0x030D0B,0x030A11
272,0x030D12,0x030D19,6,7,3,,"
呆呆兽",0x030D13,0x030A13
273,0x030D1A,0x030D21,6,7,3,,"
呆河马",0x030D1B,0x030A15
274,0x030D22,0x030D29,6,7,3,,"
小磁怪",0x030D23,0x030A17
275,0x030D2A,0x030D33,6,9,4,,"
三一磁怪",0x030D2B,0x030A19
276,0x030D34,0x030D3B,6,7,3,,"
大葱鸭",0x030D35,0x030A1B
277,0x030D3C,0x030D41,6,5,2,,"
多多",0x030D3D,0x030A1D
278,0x030D42,0x030D49,6,7,3,,"
多多利",0x030D43,0x030A1F
279,0x030D4A,0x030D51,6,7,3,,"
小海狮",0x030D4B,0x030A21
280,0x030D52,0x030D59,6,7,3,,"
白海狮",0x030D53,0x030A23
281,0x030D5A,0x030D5F,6,5,2,,"
臭泥",0x030D5B,0x030A25
282,0x030D60,0x030D67,6,7,3,,"
臭臭泥",0x030D61,0x030A27
283,0x030D68,0x030D6F,6,7,3,,"
大舌贝",0x030D69,0x030A29
284,0x030D70,0x030D77,6,7,3,,"
铁甲贝",0x030D71,0x030A2B
285,0x030D78,0x030D7D,6,5,2,,"
鬼斯",0x030D79,0x030A2D
286,0x030D7E,0x030D85,6,7,3,,"
鬼斯通",0x030D7F,0x030A2F
287,0x030D86,0x030D8B,6,5,2,,"
耿鬼",0x030D87,0x030A31
288,0x030D8C,0x030D93,6,7,3,,"
大岩蛇",0x030D8D,0x030A33
289,0x030D94,0x030D9B,6,7,3,,"
素利普",0x030D95,0x030A35
290,0x030D9C,0x030DA3,6,7,3,,"
素利拍",0x030D9D,0x030A37
291,0x030DA4,0x030DAB,6,7,3,,"
大钳蟹",0x030DA5,0x030A39
292,0x030DAC,0x030DB3,6,7,3,,"
巨钳蟹",0x030DAD,0x030A3B
293,0x030DB4,0x030DBB,6,7,3,,"
雷电球",0x030DB5,0x030A3D
294,0x030DBC,0x030DC3,6,7,3,,"
顽皮弹",0x030DBD,0x030A3F
295,0x030DC4,0x030DC9,6,5,2,,"
蛋蛋",0x030DC5,0x030A41
296,0x030DCA,0x030DD1,6,7,3,,"
椰蛋树",0x030DCB,0x030A43
297,0x030DD2,0x030DDB,6,9,4,,"
可拉可拉",0x030DD3,0x030A45
298,0x030DDC,0x030DE5,6,9,4,,"
嘎拉嘎拉",0x030DDD,0x030A47
299,0x030DE6,0x030DED,6,7,3,,"
沙瓦郎",0x030DE7,0x030A49
300,0x030DEE,0x030DF5,6,7,3,,"
艾比郎",0x030DEF,0x030A4B
301,0x030DF6,0x030DFD,6,7,3,,"
大舌头",0x030DF7,0x030A4D
302,0x030DFE,0x030E05,6,7,3,,"
瓦斯弹",0x030DFF,0x030A4F
303,0x030E06,0x030E0F,6,9,4,,"
双弹瓦斯",0x030E07,0x030A51
304,0x030E10,0x030E19,6,9,4,,"
铁甲犀牛",0x030E11,0x030A53
305,0x030E1A,0x030E23,6,9,4,,"
铁甲暴龙",0x030E1B,0x030A55
306,0x030E24,0x030E2B,6,7,3,,"
吉利蛋",0x030E25,0x030A57
307,0x030E2C,0x030E33,6,7,3,,"
蔓藤怪",0x030E2D,0x030A59
308,0x030E34,0x030E39,6,5,2,,"
袋龙",0x030E35,0x030A5B
309,0x030E3A,0x030E41,6,7,3,,"
墨海马",0x030E3B,0x030A5D
310,0x030E42,0x030E49,6,7,3,,"
海刺龙",0x030E43,0x030A5F
311,0x030E4A,0x030E51,6,7,3,,"
角金鱼",0x030E4B,0x030A61
312,0x030E52,0x030E59,6,7,3,,"
金鱼王",0x030E53,0x030A63
313,0x030E5A,0x030E61,6,7,3,,"
海星星",0x030E5B,0x030A65
314,0x030E62,0x030E6B,6,9,4,,"
宝石海星",0x030E63,0x030A67
315,0x030E6C,0x030E75,6,9,4,,"
吸盘魔偶",0x030E6D,0x030A69
316,0x030E76,0x030E7F,6,9,4,,"
飞天螳螂",0x030E77,0x030A6B
317,0x030E80,0x030E87,6,7,3,,"
迷唇姐",0x030E81,0x030A6D
318,0x030E88,0x030E8F,6,7,3,,"
电击兽",0x030E89,0x030A6F
319,0x030E90,0x030E99,6,9,4,,"
鸭嘴火龙",0x030E91,0x030A71
320,0x030E9A,0x030E9F,6,5,2,,"
大甲",0x030E9B,0x030A73
321,0x030EA0,0x030EA7,6,7,3,,"
肯泰罗",0x030EA1,0x030A75
322,0x030EA8,0x030EAF,6,7,3,,"
鲤鱼王",0x030EA9,0x030A77
323,0x030EB0,0x030EB7,6,7,3,,"
暴鲤龙",0x030EB1,0x030A79
324,0x030EB8,0x030EBD,6,5,2,,"
乘龙",0x030EB9,0x030A7B
325,0x030EBE,0x030EC5,6,7,3,,"
百变怪",0x030EBF,0x030A7D
326,0x030EC6,0x030ECB,6,5,2,,"
伊布",0x030EC7,0x030A7F
327,0x030ECC,0x030ED3,6,7,3,,"
水精灵",0x030ECD,0x030A81
328,0x030ED4,0x030EDB,6,7,3,,"
雷精灵",0x030ED5,0x030A83
329,0x030EDC,0x030EE3,6,7,3,,"
火精灵",0x030EDD,0x030A85
330,0x030EE4,0x030EEB,6,7,3,,"
三地龙",0x030EE5,0x030A87
