code_index,high_hex,low_hex,unicode,resolution_method
125,0xB1,0xC0,都,exact_hzk16_bitmap
126,0xB1,0xC1,叫,exact_hzk16_bitmap
127,0xB1,0xC2,我,exact_hzk16_bitmap
128,0xB1,0xC3,木,exact_hzk16_bitmap
129,0xB1,0xC4,博,exact_hzk16_bitmap
130,0xB1,0xC5,士,exact_hzk16_bitmap
131,0xB1,0xC6,住,exact_hzk16_bitmap
132,0xB1,0xC7,着,exact_hzk16_bitmap
133,0xB1,0xC8,称,exact_hzk16_bitmap
134,0xB1,0xC9,生,exact_hzk16_bitmap
135,0xB1,0xCA,视,exact_hzk16_bitmap
136,0xB1,0xCB,或,exact_hzk16_bitmap
137,0xB1,0xCC,于,exact_hzk16_bitmap
138,0xB1,0xCD,等,exact_hzk16_bitmap
139,0xB1,0xCE,而,exact_hzk16_bitmap
140,0xB1,0xCF,研,exact_hzk16_bitmap
141,0xB1,0xD0,究,exact_hzk16_bitmap
142,0xB1,0xD1,一,exact_hzk16_bitmap
143,0xB1,0xD2,将,exact_hzk16_bitmap
144,0xB1,0xD3,属,exact_hzk16_bitmap
145,0xB1,0xD4,故,exact_hzk16_bitmap
146,0xB1,0xD5,事,exact_hzk16_bitmap
147,0xB1,0xD6,梦,exact_hzk16_bitmap
148,0xB1,0xD7,想,exact_hzk16_bitmap
149,0xB1,0xD8,即,exact_hzk16_bitmap
150,0xB1,0xD9,开,exact_hzk16_bitmap
151,0xB1,0xDA,始,exact_hzk16_bitmap
152,0xB1,0xDB,妈,exact_hzk16_bitmap
153,0xB1,0xDC,嘛,exact_hzk16_bitmap
154,0xB1,0xDD,男,exact_hzk16_bitmap
155,0xB1,0xDE,孩,exact_hzk16_bitmap
156,0xB1,0xDF,子,exact_hzk16_bitmap
157,0xB1,0xE0,志,exact_hzk16_bitmap
158,0xB1,0xE1,四,exact_hzk16_bitmap
159,0xB1,0xE2,方,exact_hzk16_bitmap
160,0xB1,0xE3,嗯,exact_hzk16_bitmap
161,0xB1,0xE4,电,exact_hzk16_bitmap
162,0xB1,0xE5,上,exact_hzk16_bitmap
163,0xB1,0xE6,么,exact_hzk16_bitmap
164,0xB1,0xE7,说,exact_hzk16_bitmap
165,0xB1,0xE8,隔,exact_hzk16_bitmap
166,0xB1,0xE9,壁,exact_hzk16_bitmap
167,0xB1,0xEA,找,exact_hzk16_bitmap
168,0xB1,0xEB,呢,exact_hzk16_bitmap
169,0xB1,0xEC,茂,exact_hzk16_bitmap
170,0xB1,0xED,嗨,exact_hzk16_bitmap
171,0xB1,0xEE,爷,exact_hzk16_bitmap
172,0xB1,0xEF,话,exact_hzk16_bitmap
173,0xB1,0xF0,他,exact_hzk16_bitmap
174,0xB1,0xF1,听,exact_hzk16_bitmap
175,0xB1,0xF2,才,exact_hzk16_bitmap
176,0xB1,0xF3,赶,exact_hzk16_bitmap
177,0xB1,0xF4,紧,exact_hzk16_bitmap
178,0xB1,0xF5,真,exact_hzk16_bitmap
179,0xB1,0xF6,危,exact_hzk16_bitmap
180,0xB1,0xF7,险,exact_hzk16_bitmap
181,0xB1,0xF8,野,exact_hzk16_bitmap
182,0xB1,0xF9,会,exact_hzk16_bitmap
183,0xB1,0xFA,从,exact_hzk16_bitmap
184,0xB1,0xFB,草,exact_hzk16_bitmap
185,0xB1,0xFC,丛,exact_hzk16_bitmap
186,0xB1,0xFD,跳,exact_hzk16_bitmap
187,0xB1,0xFE,如,exact_hzk16_bitmap
188,0xB2,0xA1,与,exact_hzk16_bitmap
189,0xB2,0xA2,跟,exact_hzk16_bitmap
190,0xB2,0xA3,回,exact_hzk16_bitmap
191,0xB2,0xA4,已,exact_hzk16_bitmap
192,0xB2,0xA5,经,exact_hzk16_bitmap
193,0xB2,0xA6,啦,exact_hzk16_bitmap
194,0xB2,0xA7,稍,exact_hzk16_bitmap
195,0xB2,0xA8,后,exact_hzk16_bitmap
196,0xB2,0xA9,既,exact_hzk16_bitmap
197,0xB2,0xAA,然,exact_hzk16_bitmap
198,0xB2,0xAB,就,exact_hzk16_bitmap
199,0xB2,0xAC,啊,exact_hzk16_bitmap
200,0xB2,0xAD,偏,exact_hzk16_bitmap
201,0xB2,0xAE,急,exact_hzk16_bitmap
202,0xB2,0xAF,什,exact_hzk16_bitmap
203,0xB2,0xB0,哼,exact_hzk16_bitmap
204,0xB2,0xB1,定,exact_hzk16_bitmap
205,0xB2,0xB2,比,exact_hzk16_bitmap
206,0xB2,0xB3,喂,exact_hzk16_bitmap
207,0xB2,0xB4,做,exact_hzk16_bitmap
208,0xB2,0xB5,人,exact_hzk16_bitmap
209,0xB2,0xB6,没,exact_hzk16_bitmap
210,0xB2,0xB7,办,exact_hzk16_bitmap
211,0xB2,0xB8,法,exact_hzk16_bitmap
212,0xB2,0xB9,反,exact_hzk16_bitmap
213,0xB2,0xBA,正,exact_hzk16_bitmap
214,0xB2,0xBB,早,exact_hzk16_bitmap
215,0xB2,0xBC,晚,exact_hzk16_bitmap
216,0xB2,0xBD,还,exact_hzk16_bitmap
217,0xB2,0xBE,只,exact_hzk16_bitmap
218,0xB2,0xBF,刚,exact_hzk16_bitmap
219,0xB2,0xC0,抓,exact_hzk16_bitmap
220,0xB2,0xC1,得,exact_hzk16_bitmap
221,0xB2,0xC2,卡,exact_hzk16_bitmap
222,0xB2,0xC3,丘,exact_hzk16_bitmap
223,0xB2,0xC4,当,exact_hzk16_bitmap
224,0xB2,0xC5,练,exact_hzk16_bitmap
225,0xB2,0xC6,习,exact_hzk16_bitmap
226,0xB2,0xC7,玩,exact_hzk16_bitmap
227,0xB2,0xC8,笑,exact_hzk16_bitmap
228,0xB2,0xC9,强,exact_hzk16_bitmap
229,0xB2,0xCA,别,exact_hzk16_bitmap
230,0xB2,0xCB,让,exact_hzk16_bitmap
231,0xB2,0xCC,更,exact_hzk16_bitmap
232,0xB2,0xCD,见,exact_hzk16_bitmap
233,0xB2,0xCE,老,exact_hzk16_bitmap
234,0xB2,0xCF,女,exact_hzk16_bitmap
235,0xB2,0xD0,怎,exact_hzk16_bitmap
236,0xB2,0xD1,睡,exact_hzk16_bitmap
237,0xB2,0xD2,醒,exact_hzk16_bitmap
238,0xB2,0xD3,店,exact_hzk16_bitmap
239,0xB2,0xD4,员,exact_hzk16_bitmap
240,0xB2,0xD5,新,exact_hzk16_bitmap
241,0xB2,0xD6,镇,exact_hzk16_bitmap
242,0xB2,0xD7,知,exact_hzk16_bitmap
243,0xB2,0xD8,请,exact_hzk16_bitmap
244,0xB2,0xD9,转,exact_hzk16_bitmap
245,0xB2,0xDA,样,exact_hzk16_bitmap
246,0xB2,0xDB,处,exact_hzk16_bitmap
247,0xB2,0xDC,错,exact_hzk16_bitmap
248,0xB2,0xDD,哦,exact_hzk16_bitmap
249,0xB2,0xDE,训,exact_hzk16_bitmap
250,0xB2,0xDF,师,exact_hzk16_bitmap
251,0xB2,0xE0,包,exact_hzk16_bitmap
252,0xB2,0xE1,裹,exact_hzk16_bitmap
253,0xB2,0xE2,订,exact_hzk16_bitmap
254,0xB2,0xE3,特,exact_hzk16_bitmap
255,0xB2,0xE4,制,exact_hzk16_bitmap
256,0xB2,0xE5,忘,exact_hzk16_bitmap
257,0xB2,0xE6,告,exact_hzk16_bitmap
258,0xB2,0xE7,诉,exact_hzk16_bitmap
259,0xB2,0xE8,拜,exact_hzk16_bitmap
260,0xB2,0xE9,托,exact_hzk16_bitmap
261,0xB2,0xEA,成,exact_hzk16_bitmap
262,0xB2,0xEB,长,exact_hzk16_bitmap
263,0xB2,0xEC,快,exact_hzk16_bitmap
264,0xB2,0xED,麻,exact_hzk16_bitmap
265,0xB2,0xEE,烦,exact_hzk16_bitmap
266,0xB2,0xEF,们,exact_hzk16_bitmap
267,0xB2,0xF0,桌,exact_hzk16_bitmap
268,0xB2,0xF1,图,exact_hzk16_bitmap
269,0xB2,0xF2,鉴,exact_hzk16_bitmap
270,0xB2,0xF3,自,exact_hzk16_bitmap
271,0xB2,0xF4,发,exact_hzk16_bitmap
272,0xB2,0xF5,现,exact_hzk16_bitmap
273,0xB2,0xF6,资,exact_hzk16_bitmap
274,0xB2,0xF7,料,exact_hzk16_bitmap
275,0xB2,0xF8,记,exact_hzk16_bitmap
276,0xB2,0xF9,录,exact_hzk16_bitmap
277,0xB2,0xFA,并,exact_hzk16_bitmap
278,0xB2,0xFB,增,exact_hzk16_bitmap
279,0xB2,0xFC,加,exact_hzk16_bitmap
280,0xB2,0xFD,页,exact_hzk16_bitmap
281,0xB2,0xFE,数,exact_hzk16_bitmap
282,0xB3,0xA1,本,exact_hzk16_bitmap
283,0xB3,0xA2,便,exact_hzk16_bitmap
284,0xB3,0xA3,保,exact_hzk16_bitmap
285,0xB3,0xA4,管,exact_hzk16_bitmap
286,0xB3,0xA5,作,exact_hzk16_bitmap
287,0xB3,0xA6,完,exact_hzk16_bitmap
288,0xB3,0xA7,整,exact_hzk16_bitmap
289,0xB3,0xA8,但,exact_hzk16_bitmap
290,0xB3,0xA9,行,exact_hzk16_bitmap
291,0xB3,0xAA,希,exact_hzk16_bitmap
292,0xB3,0xAB,望,exact_hzk16_bitmap
293,0xB3,0xAC,由,exact_hzk16_bitmap
294,0xB3,0xAD,替,exact_hzk16_bitmap
295,0xB3,0xAE,历,exact_hzk16_bitmap
296,0xB3,0xAF,史,exact_hzk16_bitmap
297,0xB3,0xB0,留,exact_hzk16_bitmap
298,0xB3,0xB1,名,exact_hzk16_bitmap
299,0xB3,0xB2,工,exact_hzk16_bitmap
300,0xB3,0xB3,该,exact_hzk16_bitmap
301,0xB3,0xB4,惜,exact_hzk16_bitmap
302,0xB3,0xB5,场,exact_hzk16_bitmap
303,0xB3,0xB6,份,exact_hzk16_bitmap
304,0xB3,0xB7,向,exact_hzk16_bitmap
305,0xB3,0xB8,姐,exact_hzk16_bitmap
306,0xB3,0xB9,借,exact_hzk16_bitmap
307,0xB3,0xBA,城,exact_hzk16_bitmap
308,0xB3,0xBB,地,exact_hzk16_bitmap
309,0xB3,0xBC,哈,exact_hzk16_bitmap
310,0xB3,0xBD,任,exact_hzk16_bitmap
311,0xB3,0xBE,务,exact_hzk16_bitmap
312,0xB3,0xBF,辛,exact_hzk16_bitmap
313,0xB3,0xC0,苦,exact_hzk16_bitmap
314,0xB3,0xC1,喝,exact_hzk16_bitmap
315,0xB3,0xC2,醉,exact_hzk16_bitmap
316,0xB3,0xC3,似,exact_hzk16_bitmap
317,0xB3,0xC4,痛,exact_hzk16_bitmap
318,0xB3,0xC5,妨,exact_hzk16_bitmap
319,0xB3,0xC6,碍,exact_hzk16_bitmap
320,0xB3,0xC7,需,exact_hzk16_bitmap
321,0xB3,0xC8,附,exact_hzk16_bitmap
322,0xB3,0xC9,商,exact_hzk16_bitmap
323,0xB3,0xCA,常,exact_hzk16_bitmap
324,0xB3,0xCB,青,exact_hzk16_bitmap
325,0xB3,0xCC,馆,exact_hzk16_bitmap
326,0xB3,0xCD,锁,exact_hzk16_bitmap
327,0xB3,0xCE,联,exact_hzk16_bitmap
328,0xB3,0xCF,盟,exact_hzk16_bitmap
329,0xB3,0xD0,算,exact_hzk16_bitmap
330,0xB3,0xD1,徽,exact_hzk16_bitmap
331,0xB3,0xD2,章,exact_hzk16_bitmap
332,0xB3,0xD3,把,exact_hzk16_bitmap
333,0xB3,0xD4,过,exact_hzk16_bitmap
334,0xB3,0xD5,底,exact_hzk16_bitmap
335,0xB3,0xD6,变,exact_hzk16_bitmap
336,0xB3,0xD7,尽,exact_hzk16_bitmap
337,0xB3,0xD8,非,exact_hzk16_bitmap
338,0xB3,0xD9,劲,exact_hzk16_bitmap
339,0xB3,0xDA,通,exact_hzk16_bitmap
340,0xB3,0xDB,停,exact_hzk16_bitmap
341,0xB3,0xDC,往,exact_hzk16_bitmap
342,0xB3,0xDD,前,exact_hzk16_bitmap
343,0xB3,0xDE,进,exact_hzk16_bitmap
344,0xB3,0xDF,守,exact_hzk16_bitmap
345,0xB3,0xE0,卫,exact_hzk16_bitmap
346,0xB3,0xE1,扇,exact_hzk16_bitmap
347,0xB3,0xE2,门,exact_hzk16_bitmap
348,0xB3,0xE3,之,exact_hzk16_bitmap
349,0xB3,0xE4,些,exact_hzk16_bitmap
350,0xB3,0xE5,未,exact_hzk16_bitmap
351,0xB3,0xE6,无,exact_hzk16_bitmap
352,0xB3,0xE7,捉,exact_hzk16_bitmap
353,0xB3,0xE8,虫,exact_hzk16_bitmap
354,0xB3,0xE9,少,exact_hzk16_bitmap
355,0xB3,0xEA,年,exact_hzk16_bitmap
356,0xB3,0xEB,较,exact_hzk16_bitmap
357,0xB3,0xEC,量,exact_hzk16_bitmap
358,0xB3,0xED,厉,exact_hzk16_bitmap
359,0xB3,0xEE,害,exact_hzk16_bitmap
360,0xB3,0xEF,逃,exact_hzk16_bitmap
361,0xB3,0xF0,避,exact_hzk16_bitmap
362,0xB3,0xF1,输,exact_hzk16_bitmap
363,0xB3,0xF2,最,exact_hzk16_bitmap
364,0xB3,0xF3,目,exact_hzk16_bitmap
365,0xB3,0xF4,标,exact_hzk16_bitmap
366,0xB3,0xF5,赢,exact_hzk16_bitmap
367,0xB3,0xF6,果,exact_hzk16_bitmap
368,0xB3,0xF7,很,exact_hzk16_bitmap
369,0xB3,0xF8,寻,exact_hzk16_bitmap
370,0xB3,0xF9,胜,exact_hzk16_bitmap
371,0xB3,0xFA,信,exact_hzk16_bitmap
372,0xB3,0xFB,挑,exact_hzk16_bitmap
373,0xB3,0xFC,裁,exact_hzk16_bitmap
374,0xB3,0xFD,判,exact_hzk16_bitmap
375,0xB3,0xFE,朝,exact_hzk16_bitmap
376,0xB4,0xA1,冠,exact_hzk16_bitmap
377,0xB4,0xA2,军,exact_hzk16_bitmap
378,0xB4,0xA3,试,exact_hzk16_bitmap
379,0xB4,0xA4,虽,exact_hzk16_bitmap
380,0xB4,0xA5,意,exact_hzk16_bitmap
381,0xB4,0xA6,满,exact_hzk16_bitmap
382,0xB4,0xA7,难,exact_hzk16_bitmap
383,0xB4,0xA8,面,exact_hzk16_bitmap
384,0xB4,0xA9,受,exact_hzk16_bitmap
385,0xB4,0xAA,气,exact_hzk16_bitmap
386,0xB4,0xAB,攻,exact_hzk16_bitmap
387,0xB4,0xAC,击,exact_hzk16_bitmap
388,0xB4,0xAD,影,exact_hzk16_bitmap
389,0xB4,0xAE,响,exact_hzk16_bitmap
390,0xB4,0xAF,侦,exact_hzk16_bitmap
391,0xB4,0xB0,察,exact_hzk16_bitmap
392,0xB4,0xB1,万,exact_hzk16_bitmap
393,0xB4,0xB2,尼,exact_hzk16_bitmap
394,0xB4,0xB3,领,exact_hzk16_bitmap
395,0xB4,0xB4,袖,exact_hzk16_bitmap
396,0xB4,0xB5,坚,exact_hzk16_bitmap
397,0xB4,0xB6,硬,exact_hzk16_bitmap
398,0xB4,0xB7,斗,exact_hzk16_bitmap
399,0xB4,0xB8,宿,exact_hzk16_bitmap
400,0xB4,0xB9,命,exact_hzk16_bitmap
401,0xB4,0xBA,认,exact_hzk16_bitmap
402,0xB4,0xBB,灰,exact_hzk16_bitmap
403,0xB4,0xBC,色,exact_hzk16_bitmap
404,0xB4,0xBD,持,exact_hzk16_bitmap
405,0xB4,0xBE,闪,exact_hzk16_bitmap
406,0xB4,0xBF,技,exact_hzk16_bitmap
407,0xB4,0xC0,马,exact_hzk16_bitmap
408,0xB4,0xC1,丢,exact_hzk16_bitmap
409,0xB4,0xC2,哪,exact_hzk16_bitmap
410,0xB4,0xC3,学,exact_hzk16_bitmap
411,0xB4,0xC4,清,exact_hzk16_bitmap
412,0xB4,0xC5,楚,exact_hzk16_bitmap
413,0xB4,0xC6,直,exact_hzk16_bitmap
414,0xB4,0xC7,提,exact_hzk16_bitmap
415,0xB4,0xC8,升,exact_hzk16_bitmap
416,0xB4,0xC9,防,exact_hzk16_bitmap
417,0xB4,0xCA,御,exact_hzk16_bitmap
418,0xB4,0xCB,趣,exact_hzk16_bitmap
419,0xB4,0xCC,养,exact_hzk16_bitmap
420,0xB4,0xCD,利,exact_hzk16_bitmap
421,0xB4,0xCE,修,exact_hzk16_bitmap
422,0xB4,0xCF,华,exact_hzk16_bitmap
423,0xB4,0xD0,蓝,exact_hzk16_bitmap
424,0xB4,0xD1,市,exact_hzk16_bitmap
425,0xB4,0xD2,愧,exact_hzk16_bitmap
426,0xB4,0xD3,迷,exact_hzk16_bitmap
427,0xB4,0xD4,裙,exact_hzk16_bitmap
428,0xB4,0xD5,边,exact_hzk16_bitmap
429,0xB4,0xD6,继,exact_hzk16_bitmap
430,0xB4,0xD7,续,exact_hzk16_bitmap
431,0xB4,0xD8,森,exact_hzk16_bitmap
432,0xB4,0xD9,林,exact_hzk16_bitmap
433,0xB4,0xDA,遇,exact_hzk16_bitmap
434,0xB4,0xDB,伙,exact_hzk16_bitmap
435,0xB4,0xDC,谈,exact_hzk16_bitmap
436,0xB4,0xDD,穿,exact_hzk16_bitmap
437,0xB4,0xDE,短,exact_hzk16_bitmap
438,0xB4,0xDF,裤,exact_hzk16_bitmap
439,0xB4,0xE0,活,exact_hzk16_bitmap
440,0xB4,0xE1,脑,exact_hzk16_bitmap
441,0xB4,0xE2,捕,exact_hzk16_bitmap
442,0xB4,0xE3,妖,exact_hzk16_bitmap
443,0xB4,0xE4,超,exact_hzk16_bitmap
444,0xB4,0xE5,六,exact_hzk16_bitmap
445,0xB4,0xE6,立,exact_hzk16_bitmap
446,0xB4,0xE7,刻,exact_hzk16_bitmap
447,0xB4,0xE8,搞,exact_hzk16_bitmap
448,0xB4,0xE9,线,exact_hzk16_bitmap
449,0xB4,0xEA,令,exact_hzk16_bitmap
450,0xB4,0xEB,架,exact_hzk16_bitmap
451,0xB4,0xEC,呀,exact_hzk16_bitmap
452,0xB4,0xED,摸,exact_hzk16_bitmap
453,0xB4,0xEE,身,exact_hzk16_bitmap
454,0xB4,0xEF,原,exact_hzk16_bitmap
455,0xB4,0xF0,误,exact_hzk16_bitmap
456,0xB4,0xF1,消,exact_hzk16_bitmap
457,0xB4,0xF2,息,exact_hzk16_bitmap
458,0xB4,0xF3,秘,exact_hzk16_bitmap
459,0xB4,0xF4,密,exact_hzk16_bitmap
460,0xB4,0xF5,鲤,exact_hzk16_bitmap
461,0xB4,0xF6,鱼,exact_hzk16_bitmap
462,0xB4,0xF7,王,exact_hzk16_bitmap
463,0xB4,0xF8,卖,exact_hzk16_bitmap
464,0xB4,0xF9,元,exact_hzk16_bitmap
465,0xB4,0xFA,疑,exact_hzk16_bitmap
466,0xB4,0xFB,洞,exact_hzk16_bitmap
467,0xB4,0xFC,内,exact_hzk16_bitmap
468,0xB4,0xFD,徘,exact_hzk16_bitmap
469,0xB4,0xFE,徊,exact_hzk16_bitmap
470,0xB5,0xA1,骗,exact_hzk16_bitmap
471,0xB5,0xA2,火,exact_hzk16_bitmap
472,0xB5,0xA3,箭,exact_hzk16_bitmap
473,0xB5,0xA4,队,exact_hzk16_bitmap
474,0xB5,0xA5,干,exact_hzk16_bitmap
475,0xB5,0xA6,分,exact_hzk16_bitmap
476,0xB5,0xA7,散,exact_hzk16_bitmap
477,0xB5,0xA8,朋,exact_hzk16_bitmap
478,0xB5,0xA9,友,exact_hzk16_bitmap
479,0xB5,0xAA,棒,exact_hzk16_bitmap
480,0xB5,0xAB,化,exact_hzk16_bitmap
481,0xB5,0xAC,黑,exact_hzk16_bitmap
482,0xB5,0xAD,党,exact_hzk16_bitmap
483,0xB5,0xAE,组,exact_hzk16_bitmap
484,0xB5,0xAF,织,exact_hzk16_bitmap
485,0xB5,0xB0,又,exact_hzk16_bitmap
486,0xB5,0xB1,恐,exact_hzk16_bitmap
487,0xB5,0xB2,怖,exact_hzk16_bitmap
488,0xB5,0xB3,哇,exact_hzk16_bitmap
489,0xB5,0xB4,突,exact_hzk16_bitmap
490,0xB5,0xB5,隆,exact_hzk16_bitmap
491,0xB5,0xB6,宽,exact_hzk16_bitmap
492,0xB5,0xB7,阔,exact_hzk16_bitmap
493,0xB5,0xB8,口,exact_hzk16_bitmap
494,0xB5,0xB9,重,exact_hzk16_bitmap
495,0xB5,0xBA,蛮,exact_hzk16_bitmap
496,0xB5,0xBB,入,exact_hzk16_bitmap
497,0xB5,0xBC,叔,exact_hzk16_bitmap
498,0xB5,0xBD,吓,exact_hzk16_bitmap
499,0xB5,0xBE,阴,exact_hzk16_bitmap
500,0xB5,0xBF,暗,exact_hzk16_bitmap
501,0xB5,0xC0,闲,exact_hzk16_bitmap
502,0xB5,0xC1,逛,exact_hzk16_bitmap
503,0xB5,0xC2,随,exact_hzk16_bitmap
504,0xB5,0xC3,闯,exact_hzk16_bitmap
505,0xB5,0xC4,探,exact_hzk16_bitmap
506,0xB5,0xC5,珍,exact_hzk16_bitmap
507,0xB5,0xC6,奇,exact_hzk16_bitmap
508,0xB5,0xC7,两,exact_hzk16_bitmap
509,0xB5,0xC8,各,exact_hzk16_bitmap
