pointer_reference_hex,chinese_target_hex,chinese_record_index,chinese_text,english_target_hex,english_entry_index,english_offset_hex,english_storage,english_text,fidelity_status,review_note
0x0300D7,0x03054C,85,"
预知未来",0x03054C,71,0x03054B,graphical_codes,<0A><B6EC><B2D7><B3E5><B0FC>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300D9,0x030556,86,"
受到预知未来攻击",0x030556,72,0x030555,graphical_codes,<0A><B4A9><B0DB><B6EC><B2D7><B3E5><B0FC><B4AB><B4AC>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300DB,0x030568,87,"
吃掉了",0x030568,73,0x030567,graphical_codes,<0A><B9B3><B8AB><B0F8>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300DD,0x030570,88,"
的梦",0x030570,74,0x03056F,graphical_codes,<0A><B0BC><B1D6>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300DF,0x030576,89,"
发怒了",0x030576,75,0x030575,graphical_codes,<0A><B2F4><BAF0><B0F8>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300E1,0x03057E,90,"
受到诅咒",0x03057E,76,0x03057D,graphical_codes,<0A><B4A9><B0DB><B9BA><B9BB>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0300E3,0x030588,91,"
战斗",0x030588,77,0x030588,ascii,Fight,pending_semantic_review,
0x0300E5,0x03058E,92,"
背包",0x03058E,78,0x03058E,ascii,Item,pending_semantic_review,
0x0300E7,0x030594,93,"
精灵",0x030594,79,0x030594,ascii,PKMN,pending_semantic_review,
0x0300E9,0x03059A,94,"
逃跑",0x03059A,80,0x030599,ascii,Ru,pending_semantic_review,
0x030115,0x0305FA,116,"
普  通",0x0305FA,82,0x0305F5,ascii,00Item,pending_semantic_review,
0x030117,0x030602,117,"
精灵球",0x030602,83,0x030602,ascii,Balls,pending_semantic_review,
0x030119,0x03060A,118,"
秘传技",0x03060A,84,0x030608,ascii,TM/HMs,pending_semantic_review,
0x03011B,0x030612,119,"
贵  重",0x030611,85,0x030611,ascii,KeyItm,pending_semantic_review,
0x03011D,0x03061A,120,"
威力:",0x03061A,86,0x030618,ascii,PWR :,pending_semantic_review,
0x03011F,0x030621,121,"
命中:",0x030621,87,0x030621,ascii,Acc.:,pending_semantic_review,
0x030121,0x030628,122,"
类型:",0x030628,,,,,unresolved_alignment,
0x030123,0x03062F,123,"
野生",0x03062E,88,0x03062E,ascii,Wild,pending_semantic_review,
0x030125,0x030635,124,"
对手",0x030634,89,0x030634,ascii,Enemy,pending_semantic_review,
0x030127,0x03063B,125,"
命中要害!",0x03063B,90,0x03063B,ascii,Critical!,pending_semantic_review,
0x030129,0x030646,126,"
使用下一个怪兽吗?",0x030646,91,0x030646,ascii,Send another PKMN?,pending_semantic_review,
0x03012B,0x030659,127,"
是  否",0x030659,92,0x030659,ascii,Yes No,pending_semantic_review,
0x03012D,0x030661,128,"
对手要使用",0x035FB6,887,0x035FB6,ascii,Opponent sent out,pending_semantic_review,
0x03012F,0x03066D,129,"
小智要改变怪兽吗?",0x03066D,93,0x030660,ascii,Switch Pok@mon?,pending_semantic_review,
0x030131,0x030680,130,"
等级提升到了",0x030680,94,0x03067D,ascii,Grew to level,pending_semantic_review,
0x030133,0x03068E,131,"
进化中止!",0x035F65,882,0x035F65,ascii,Did not evolve!,pending_semantic_review,
0x030135,0x030699,132,"
已经",0x030695,95,0x03068E,ascii,already,pending_semantic_review,
0x030137,0x03069F,133,"
攻击力",0x03069F,96,0x03069F,ascii,Attack,pending_semantic_review,
0x030139,0x0306A7,134,"
防御力",0x0306A6,97,0x0306A6,ascii,Defense,pending_semantic_review,
0x03013B,0x0306AF,135,"
特攻",0x0306AF,98,0x0306AF,ascii,S.Atk,pending_semantic_review,
0x03013D,0x0306B5,136,"
特防",0x0306B5,99,0x0306B5,ascii,S.DE,pending_semantic_review,
0x03013F,0x0306BB,137,"
速度",0x0306BA,100,0x0306BA,ascii,Speed,pending_semantic_review,
0x030141,0x0306C1,138,"
命中率",0x0306C0,101,0x0306C0,ascii,Accuracy,pending_semantic_review,
0x030143,0x0306C9,139,"
血值有所恢复",0x0306C9,102,0x0306C9,ascii,Recovered HP!,pending_semantic_review,
0x030145,0x0306D7,140,"
不能行动!",0x0306D7,103,0x0306D7,graphical_codes,<B0CE><B0EC><B3A9><B0B2>!,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x030147,0x0306E2,141,"
一击必杀!",0x0306E2,104,0x0306E1,graphical_codes,<0A><B1D1><B4AC><BAC5><B8BC>!,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x030149,0x0306ED,142,"
逃跑了!",0x0306ED,105,0x0306EC,graphical_codes,<0A><B3EF><B8B9><B0F8>!,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03014B,0x0306F6,143,"
不能逃!",0x0306F6,106,0x0306F5,graphical_codes,<0A><B0CE><B0EC><B3EF>!,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03014D,0x0306FF,144,"
中毒解除了",0x0306FF,107,0x0306FE,graphical_codes,<0A><B0DC><B8D8><B9B5><BBB2><B0F8>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03014F,0x03070B,145,"
醒过来了",0x03070B,108,0x03070B,ascii,Woke up!,pending_semantic_review,
0x030151,0x030715,146,"
麻痹解除了",0x030715,109,0x030714,graphical_codes,<0A><B2ED><B5FA><B9B5><BBB2><B0F8>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x030153,0x030721,147,"
烧伤解除了",0x030721,110,0x030720,graphical_codes,<0A><BAE7><B9C7><B9B5><BBB2><B0F8>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x030155,0x03072D,148,"
混乱解除了",0x03072D,111,0x03072D,ascii,Recovered!,pending_semantic_review,
0x030157,0x030739,149,"
冰冻解除了",0x030739,112,0x030738,graphical_codes,<0A><BAE8><BAD4><B9B5><BBB2><B0F8>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x030159,0x030745,150,"
剧毒解除了",0x030745,113,0x030744,graphical_codes,<0A><B7AE><B8D8><B9B5><BBB2><B0F8>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03015B,0x030751,151,"
害怕解除了",0x030751,114,0x030750,graphical_codes,<0A><B3EE><B8AC><B9B5><BBB2><B0F8>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03015D,0x03075D,152,"
得到了",0x03075C,115,0x03075C,ascii,You got,pending_semantic_review,
0x03015F,0x030765,153,"
支付了",0x030765,116,0x030765,ascii,Lost,pending_semantic_review,
0x030161,0x03076D,154,"
和",0x03076D,117,0x03076B,ascii,Trainer,pending_semantic_review,
0x030163,0x030771,155,"
比试失败了",0x030775,118,0x030775,ascii,Won!,pending_semantic_review,
0x030165,0x03077D,156,"
需要",0x03077D,119,0x03077A,graphical_codes,000<B3C7><B0C3>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x030167,0x030783,157,"
蓝色徽章",0x030783,120,0x030782,graphical_codes,<0A><B4D0><B4BC><B3D1><B3D2>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x030169,0x03078D,158,"
橙色徽章",0x03078D,121,0x03078C,graphical_codes,<0A><B7EB><B4BC><B3D1><B3D2>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03016B,0x030797,159,"
粉红徽章",0x030797,122,0x030796,graphical_codes,<0A><BBB3><B5CE><B3D1><B3D2>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03016D,0x0307A1,160,"
彩虹徽章",0x0307A1,123,0x0307A0,graphical_codes,<0A><B6CA><B8FD><B3D1><B3D2>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03016F,0x0307AB,161,"
灰色徽章",0x0307AB,124,0x0307AA,graphical_codes,<0A><B4BB><B4BC><B3D1><B3D2>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x030173,0x0307BA,162,"
不能中毒!",0x0307BA,125,0x0307B9,graphical_codes,<0A><B0CE><B0EC><B0DC><B8D8>!,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x030175,0x0307C5,163,"
不能烧伤!",0x0307C5,126,0x0307C4,graphical_codes,<0A><B0CE><B0EC><BAE7><B9C7>!,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x030177,0x0307D0,164,"
不能冰冻!",0x0307D0,127,0x0307CF,graphical_codes,<0A><B0CE><B0EC><BAE8><BAD4>!,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x030179,0x0307DB,165,"
存放",0x0307DA,128,0x0307DA,ascii,Send,pending_semantic_review,
0x03017B,0x0307E1,166,"
箱子一",0x0307E1,129,0x0307E1,ascii,Box 1,pending_semantic_review,
0x03017D,0x0307E9,167,"
箱子二",0x0307E9,130,0x0307E9,ascii,Box 2,pending_semantic_review,
0x03017F,0x0307F1,168,"
箱子三",0x0307F1,131,0x0307F1,ascii,Box 3,pending_semantic_review,
0x030181,0x0307F9,169,"
箱子四",0x0307F9,132,0x0307F9,ascii,Box 4,pending_semantic_review,
0x030183,0x030801,170,"
箱子五",0x030801,133,0x030801,ascii,Box 5,pending_semantic_review,
0x030185,0x030809,171,"
箱子六",0x030809,134,0x030809,ascii,Box 6,pending_semantic_review,
0x030187,0x030811,172,"
箱子七",0x030811,135,0x030811,ascii,Box 7,pending_semantic_review,
0x030189,0x030819,173,"
箱子八",0x030819,136,0x030819,ascii,Box 8,pending_semantic_review,
0x03018B,0x030821,174,"
携带已满!",0x030821,137,0x03081F,ascii,Party Full,pending_semantic_review,
0x03018D,0x03082C,175,"
你好!欢迎你光临宠物精灵的世界!大家都叫我大木博士,在这世界住着被称为宠物精灵的生物!",0x03082C,138,0x03082C,ascii,Hello there! Welcome to the world of Pok@mon! My name is OAK! People call me the Pok@mon PROF!,pending_semantic_review,
0x03018F,0x030880,176,"
这生物被视为宠物,或使用于对战等等.而我是研究这宠物精灵的!",0x035DCC,874,0x035DCC,ascii,"This world is inhabited by creatures called Pok@mon! For some people, Pok@mon are pets.Others use them for fights. Myself...I study Pok@mon as a profession.",pending_semantic_review,
0x030191,0x0308BB,177,"
小智,一个将属于你的故事,梦想即将开始!",0x035E82,875,0x035E82,ascii,ASH! Your very own Pok@mon legend is about to unfold! A world of dreams & adventureswith Pok@mon awaits! Let's go!,pending_semantic_review,
0x030193,0x0308E2,178,"
买",0x0308E1,142,0x0308E1,ascii,Buy,pending_semantic_review,
0x030195,0x0308E6,179,"
卖",0x0308E5,143,0x0308E5,ascii,Sel,pending_semantic_review,
0x030197,0x0308EA,180,"
欢迎光临",0x0308D4,141,0x0308D3,ascii,Item Shop,pending_semantic_review,
0x030199,0x0308F4,181,"
买几个?",0x0308E9,144,0x0308E9,ascii,How Many?,pending_semantic_review,
0x03019B,0x0308FD,182,"
卖几个?",0x0308E9,144,0x0308E9,ascii,How Many?,pending_semantic_review,
0x03019D,0x030906,183,"
交易成功",0x0308F6,145,0x0308F6,ascii,Thank you!,pending_semantic_review,
0x03019F,0x030910,184,"
无法交易",0x03090C,146,0x030902,ascii,Can't Hold!,pending_semantic_review,
0x0301A1,0x03091A,185,"
钱不够",0x030AC9,153,0x030AC9,ascii,Can't Afford it!,pending_semantic_review,
0x0301A3,0x030922,186,"
未得到图鉴!",0x030921,147,0x030919,ascii,Don't have!,pending_semantic_review,
0x0301A5,0x03092F,187,"
没有精灵",0x03092D,148,0x03092D,ascii,No Pokemon!,pending_semantic_review,
0x0301A7,0x030939,188,"
也有所损伤",0x030939,149,0x030939,ascii,Hit with recoil!,pending_semantic_review,
0x0301A9,0x030945,189,"
攻击",0x0308C7,140,0x0308C7,ascii,Unleashed!,pending_semantic_review,
0x0301AB,0x03094B,190,"
受到诅咒",0x03094B,150,0x03094A,graphical_codes,0<B4A9><B0DB><B9BA><B9BB>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0301AD,0x030955,191,"
撞击",0x030AE5,155,0x030AE5,ascii,Used Struggle!,pending_semantic_review,
0x0301AF,0x03095B,192,"
使用了伤药",0x0364F0,1012,0x0364F0,ascii,Used a Max Potion!,pending_semantic_review,
0x0301B1,0x030967,193,"
血值恢复了",0x030966,151,0x030955,ascii,Regained HP!,pending_semantic_review,
0x030977,0x030ABB,194,"
妙蛙种子",0x035FCD,888,0x035FCD,ascii,Bulbasaur,pending_semantic_review,
0x030979,0x030AC5,195,"
妙蛙草",0x035FD7,889,0x035FD7,ascii,Ivysaur,pending_semantic_review,
0x03097B,0x030ACD,196,"
妙蛙花",0x035FDF,890,0x035FDF,ascii,Venusaur,pending_semantic_review,
0x03097D,0x030AD5,197,"
小火龙",0x035FE8,891,0x035FE8,ascii,Charmander,pending_semantic_review,
0x03097F,0x030ADD,198,"
火恐龙",0x035FF3,892,0x035FF3,ascii,Charmeleon,pending_semantic_review,
0x030981,0x030AE5,199,"
喷火龙",0x035FFE,893,0x035FFE,ascii,Charizard,pending_semantic_review,
0x030983,0x030AED,200,"
杰尼龟",0x036008,894,0x036008,ascii,Squirtle,pending_semantic_review,
0x030985,0x030AF5,201,"
卡米龟",0x036011,895,0x036011,ascii,Wartortle,pending_semantic_review,
0x030987,0x030AFD,202,"
水箭龟",0x03601B,896,0x03601B,ascii,Blastoise,pending_semantic_review,
0x030989,0x030B05,203,"
绿毛虫",0x036025,897,0x036025,ascii,Caterpie,pending_semantic_review,
0x03098B,0x030B0D,204,"
铁甲蛹",0x03602E,898,0x03602E,ascii,Metapod,pending_semantic_review,
0x03098D,0x030B15,205,"
巴大蝴",0x036036,899,0x036036,ascii,Butterfree,pending_semantic_review,
0x03098F,0x030B1D,206,"
独角虫",0x036041,900,0x036041,ascii,Weedle,pending_semantic_review,
0x030991,0x030B25,207,"
铁壳昆",0x036048,901,0x036048,ascii,Kakuna,pending_semantic_review,
0x030993,0x030B2D,208,"
大针蜂",0x03604F,902,0x03604F,ascii,Beedrill,pending_semantic_review,
0x030995,0x030B35,209,"
波波",0x036058,903,0x036058,ascii,Pidgey,pending_semantic_review,
0x030997,0x030B3B,210,"
比比鸟",0x03605F,904,0x03605F,ascii,Pidgeotto,pending_semantic_review,
0x030999,0x030B43,211,"
比雕",0x036069,905,0x036069,ascii,Pidgeot,pending_semantic_review,
0x03099B,0x030B49,212,"
小拉达",0x036071,,,,,unresolved_alignment,
0x03099D,0x030B51,213,"
拉达",0x036079,906,0x036079,ascii,Raticate,pending_semantic_review,
0x03099F,0x030B57,214,"
烈雀",0x036082,907,0x036082,ascii,Spearow,pending_semantic_review,
0x0309A1,0x030B5D,215,"
大嘴雀",0x03608A,908,0x03608A,ascii,Fearow,pending_semantic_review,
0x0309A3,0x030B65,216,"
阿柏蛇",0x036091,909,0x036091,ascii,Ekans,pending_semantic_review,
0x0309A5,0x030B6D,217,"
阿柏怪",0x036097,,,,,unresolved_alignment,
0x0309A7,0x030B75,218,"
皮卡丘",0x03609D,,,,,unresolved_alignment,
0x0309A9,0x030B7D,219,"
雷丘",0x0360A5,,,,,unresolved_alignment,
0x0309AB,0x030B83,220,"
穿山鼠",0x0360AC,910,0x0360AC,ascii,Sandshrew,pending_semantic_review,
0x0309AD,0x030B8B,221,"
穿山王",0x0360B6,911,0x0360B6,ascii,Sandslash,pending_semantic_review,
0x0309AF,0x030B93,222,"
尼多兰",0x0360C0,,,,,unresolved_alignment,
0x0309B1,0x030B9B,223,"
尼多娜",0x0360CA,912,0x0360C9,ascii,Nidorina,pending_semantic_review,
0x0309B3,0x030BA3,224,"
尼多后",0x0360D3,,,,,unresolved_alignment,
0x0309B5,0x030BAB,225,"
尼多朗",0x0360DD,,,,,unresolved_alignment,
0x0309B7,0x030BB3,226,"
尼多力诺",0x0360E7,913,0x0360E6,ascii,Nidorino,pending_semantic_review,
0x0309B9,0x030BBD,227,"
尼多王",0x0360F0,,,,,unresolved_alignment,
0x0309BB,0x030BC5,228,"
皮皮",0x0360F9,914,0x0360F9,ascii,Clefairy,pending_semantic_review,
0x0309BD,0x030BCB,229,"
皮可西",0x036102,915,0x036102,ascii,Clefable,pending_semantic_review,
0x0309BF,0x030BD3,230,"
六尾",0x03610B,916,0x03610B,ascii,Vulpix,pending_semantic_review,
0x0309C1,0x030BD9,231,"
九尾",0x036112,917,0x036112,ascii,Ninetales,pending_semantic_review,
0x0309C3,0x030BDF,232,"
胖丁",0x03611C,918,0x03611C,ascii,Jigglypuff,pending_semantic_review,
0x0309C5,0x030BE5,233,"
胖可西",0x036127,919,0x036127,ascii,Wigglytuff,pending_semantic_review,
