stable_key,record_type,entry_index,dialogue_id,category,source_offset_or_pointer,pointer_references,selected_pointer_references,layout,speaker,chinese_record_indexes,chinese_offsets,chinese_text,english_2015_storage,english_2015,english_v2,editorial_origin,alignment_method,alignment_confidence,source_resolution,review_status,source_capacity_bytes,compression,compression_justification,fidelity_comment,multi_source_mode,pointer_variant_count,storage_overlap_group,storage_overlap_role
MAIN:0x0302FA,MAIN,22,,Ordinary text,0x0302FA,0x03006B 0x03006D,0x03006B 0x03006D,,,33 34,0x030322 0x03032C,"中剧毒了
---

害怕了",ascii,Flinched, was badly poisoned!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_variants_declared,ai_source_reviewed,9,no,,The primary pointer 0x03006B is the badly-poisoned infliction suffix and preserves its structural leading space; pointer 0x03006D is split to the distinct flinched suffix in pointer_variants.csv. Full-text review: Keeps the distinct bad-poison result natural on the engine-provided second row.,pointer_variant_split,2,,
MAIN:0x030304,MAIN,23,,Ordinary text,0x030304,0x030065,0x030065,,,30,0x030308,被烧伤了,ascii,is burned, was burned!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,no,,Renders the burn-infliction suffix and preserves its structural leading space.,,,,
MAIN:0x03030E,MAIN,24,,Ordinary text,0x03030E,0x030067,0x030067,,,31,0x030312,混乱了,ascii,is confused, became confused!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,11,no,,Conveys the transition into confusion rather than merely labeling a standing condition. Full-text review: Keeps the normal confusion result natural on the engine-provided second row.,,,,
MAIN:0x03031A,MAIN,25,,Ordinary text,0x03031A,0x030069,0x030069,,,32,0x03031A,冰冻了,ascii,is frozen, was frozen!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,no,,Renders the freeze-infliction suffix with its required leading join.,,,,
MAIN:0x030324,MAIN,26,,Ordinary text,0x030324,0x03006F,0x03006F,,,35,0x030334,中毒了有损伤,ascii,is hurt due to poison!, was hurt by poison!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,28,no,,"Preserves that poison, not the initial infliction, causes this damage tick. Full-text review: Keeps poison damage intact on the engine-provided second row.",,,,
MAIN:0x030341,MAIN,27,,Ordinary text,0x030341,0x030071,0x030071,,,36,0x030342,睡着了,ascii,is asleep, fell asleep!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,no,,Conveys entering sleep and retains the suffix join after the Pokémon name.,,,,
MAIN:0x03034B,MAIN,28,,Ordinary text,0x03034B,0x030075,0x030075,,,38,0x030358,烧伤了有损伤,ascii,is hurt from it's burn!, was hurt by its burn!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,24,no,,Faithfully identifies the burn as the source of this residual damage tick. Full-text review: Keeps burn damage intact on the engine-provided second row.,,,,
MAIN:0x030364,MAIN,29,,Ordinary text,0x030364,0x030077,0x030077,,,39,0x030366,混乱了攻击自己,ascii,is confused, hurt itself!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,14,no,,Preserves the omitted old-English fact that confusion causes the Pokémon to attack itself. Full-text review: Uses the concise official battle sense without splitting a word.,,,,
MAIN:0x030373,MAIN,30,,Ordinary text,0x030373,0x030079,0x030079,,,40,0x030376,冰冻了不能动,ascii,is frozen, is frozen solid!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,13,no,,Retains both facts in the Chinese: the Pokémon is frozen and therefore unable to move. Full-text review: Keeps the frozen/no-action state natural within one row.,,,,
MAIN:0x030381,MAIN,31,,Ordinary text,0x030381,0x03007B,0x03007B,,,41,0x030384,中剧毒了损伤,graphical_codes,0000<B0DC><B7AE><B8D8><B0F8><BBA2><B9C7>, was hurt by poison!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,16,no,,Distinguishes the severe-poison damage tick expressed by the Chinese from ordinary poison damage. Full-text review: Keeps the severe-poison damage event clear without overflowing.,,,,
MAIN:0x030392,MAIN,32,,Ordinary text,0x030392,0x03007D,0x03007D,,,42,0x030392,害怕不能行动,graphical_codes,<0A><B3EE><B8AC><B0CE><B0EC><B3A9><B0B2>, flinched!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,13,no,,Uses the matching battle mechanic for fear while retaining the source's explicit inability to act. Full-text review: Uses the concise Gen I flinch formula on the engine-provided second row.,,,,
MAIN:0x0303A1,MAIN,33,,Ordinary text,0x0303A1,0x03007F,0x03007F,,,43,0x0303A0,上升了,ascii,Rose, rose!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,5,no,,"Supplies the stat-increase suffix after a separately printed stat label, with the required leading space.",,,,
MAIN:0x0303A9,MAIN,34,,Ordinary text,0x0303A9,0x030083,0x030083,,,45,0x0303B4,不能再上升了,ascii,can't go higher!, won't rise!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,18,no,,Preserves the failed stat-increase limit and its suffix join after the stat label. Full-text review: Keeps the stat-limit result grammatical alongside the longest stat label.,,,,
MAIN:0x0303BC,MAIN,35,,Ordinary text,0x0303BC,0x030085,0x030085,,,46,0x0303C2,下降了,ascii,Fell, fell!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,11,no,,"Runtime order confirms this is the decrease suffix following a stat label, so its leading space is significant.",,,,
MAIN:0x0303C8,MAIN,36,,Ordinary text,0x0303C8,0x030087,0x030087,,,47,0x0303CA,迅速下降了,graphical_codes,000<BBA4><B9D4><B0F9><BBA5><B0F8>, fell sharply!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,13,no,,"Preserves the stronger, rapid stat decrease rather than flattening it to an ordinary fall.",,,,
MAIN:0x0303D6,MAIN,37,,Ordinary text,0x0303D6,0x030089,0x030089,,,48,0x0303D6,不能再下降了,ascii,can't go lower, won't fall!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,15,no,,Preserves the failed stat-decrease limit and its suffix join after the stat label. Full-text review: Keeps the stat-limit result grammatical alongside the longest stat label.,,,,
MAIN:0x0303E6,MAIN,38,,Ordinary text,0x0303E6,0x03008B,0x03008B,,,49,0x0303E4,谢谢,graphical_codes,<B0D8><B0D8>,Thanks!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,4,no,,Directly translates this first distinct pointer's brief expression of thanks.,,,,
MAIN:0x0303EB,MAIN,39,,Ordinary text,0x0303EB,0x03008D,0x03008D,,,50,0x0303EA,谢谢,graphical_codes,<B0D8><B0D8>,Thanks!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,4,no,,Directly translates this second distinct pointer's brief expression of thanks.,,,,
MAIN:0x0303F0,MAIN,40,,Ordinary text,0x0303F0,0x03008F,0x03008F,,,51,0x0303F0,谢谢,graphical_codes,<0A><B0D8><B0D8>,Thanks!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,5,no,,Directly translates this third distinct pointer's brief expression of thanks.,,,,
MAIN:0x0303F6,MAIN,41,,Ordinary text,0x0303F6,0x030091,0x030091,,,52,0x0303F6,谢谢,graphical_codes,<0A><B0D8><B0D8>,Thanks!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,5,no,,Directly translates this fourth distinct pointer's brief expression of thanks.,,,,
MAIN:0x0303FC,MAIN,42,,Ordinary text,0x0303FC,0x030093,0x030093,,,53,0x0303FC,谢谢,graphical_codes,<0A><B0D8><B0D8>,Thanks!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,5,no,,Directly translates this fifth distinct pointer's brief expression of thanks.,,,,
MAIN:0x030403,MAIN,43,,Ordinary text,0x030403,0x030095,0x030095,,,54,0x030402,什么!?,ascii,What?,What!?,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,5,no,,Preserves the startled question and the source's emphatic paired punctuation at evolution onset.,,,,
MAIN:0x030409,MAIN,44,,Ordinary text,0x030409,0x030097,0x030097,,,55,0x03040A,的样子...!,ascii,is Evolving!, is evolving!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,13,no,,The pointer neighborhood identifies the changing appearance as evolution; the leading space joins it to the Pokémon name. Full-text review: Removes the contradictory ellipsis-plus-exclamation ending from the dynamic evolution suffix.,,,,
MAIN:0x030417,MAIN,45,,Ordinary text,0x030417,0x030099,0x030099,,,56,0x030416,恭喜!,ascii,Wow!,Congrats! ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,5,no,,Restores the explicit congratulation following evolution rather than weakening it to surprise. Full-text review: Keeps the evolution result plus a ten-cell Pokémon name within the first physical row.,,,,
MAIN:0x03041D,MAIN,46,,Ordinary text,0x03041D,0x03002D,0x03002D,,,2,0x0301D6,啊!野生的,ascii,Oh!A Wild,Wild ,adapted_from_official_english_gen1_with_chinese_fidelity_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,10,no,,Uses the official Generation I wild-encounter lead-in and preserves the trailing join before the species name.,,,,
MAIN:0x030428,MAIN,47,,Ordinary text,0x030428,,,,,58,0x030428,学会了,ascii,learned,learned,translated_directly_from_reviewed_chinese_source_ai_review,exact_offset,medium,reviewed_source_adjudication,ai_source_reviewed,8,no,,Keeps the exact sequential source as the lowercase learned fragment used to complete a move-learning sentence.,,,,
MAIN:0x03043F,MAIN,48,,Ordinary text,0x03043F,0x0300A7,0x0300A7,,,61,0x030444,四个技能已经满了!,ascii,more than 4 moves!,It knows four moves!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,24,no,,"Correctly states that all four move slots are occupied, not that the Pokémon knows more than four moves. Full-text review: Keeps the full move-slot warning natural within one artifact-free row.",,,,
MAIN:0x030458,MAIN,49,,Ordinary text,0x030458,0x0300A9,0x0300A9,,,62,0x030457,要学会,graphical_codes,<B0C3><B4C3><B1F9>, wants to learn ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,6,no,,"Forms the move-learning connector between the Pokémon and move names, preserving both joining spaces.",,,,
MAIN:0x03045F,MAIN,50,,Ordinary text,0x03045F,0x0300B1,0x0300B1,,,66,0x030487,将,ascii,Forgot,The move ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,no,,"Restructures the Chinese object marker into a grammatical connector between the Pokémon and forgotten move names, preserving both joins. Full-text review: Starts a complete passive sentence with the forgotten move on row one; the verb is rendered alone on row two.",,,,
MAIN:0x030467,MAIN,51,,Ordinary text,0x030467,0x0300AD,0x0300AD,,,64,0x030472,是否,graphical_codes,000000000000<B0C2><B1A1>,Yes  No,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,16,no,,Renders the binary whether-or-not choice as its executable Yes/No menu and retains the two-cell separation.,,,,
MAIN:0x030479,MAIN,52,,Ordinary text,0x030479,0x0300AF,0x0300AF,,,65,0x030478,忘记哪个技能?,ascii,Which move?,"Which move should be
forgotten?",translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,11,no,,Preserves both the requested selection and the fact that the chosen move will be forgotten. Full-text review: Keeps the complete move-forgetting prompt across two bounded rows.,,,,
MAIN:0x030485,MAIN,53,,Ordinary text,0x030485,0x0300B3,0x0300B3,,,67,0x03048B,用法完全忘记了!,ascii,And...,was forgotten!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,6,no,,Completes the restructured forgotten-move construction directly after the move name; the preceding fragment retains completely. Full-text review: Completes the forgotten-move sentence on the engine-provided second row instead of leaving an orphan exclamation mark.,,,,
MAIN:0x03048C,MAIN,54,,Ordinary text,0x03048C,0x030081,0x030081,,,44,0x0303A8,迅速上升了,ascii,Greatly Rose, rose sharply!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,13,no,,"Preserves the stronger, rapid stat increase and the suffix join after its stat label.",,,,
MAIN:0x03049A,MAIN,55,,Ordinary text,0x03049A,0x0300B5,0x0300B5,,,68,0x03049C,而且学会了,ascii,Learned,Learned move:,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,11,no,,Retains the connective sense and both joins in the Pokémon-plus-new-move construction. Full-text review: Introduces the newly learned move as a complete standalone result before the engine renders its name on row two.,,,,
MAIN:0x0304AB,MAIN,56,,Ordinary text,0x0304AB,0x0300BB,0x0300BB,,,71,0x0304B7,没有学习,ascii,Did not learn, didn't learn,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,22,no,,Forms the negative move-learning result between the Pokémon and move names with both structural spaces. Full-text review: Fits Pokémon plus result on row one; the move is rendered separately on row two.,,,,
MAIN:0x0304C2,MAIN,57,,Ordinary text,0x0304C2,0x0300BD,0x0300BD,,,72,0x0304C1,聚集了太阳光,graphical_codes,<BAB7><B6B8><B0F8><B6C6><BBA7><B0E4>, absorbed sunlight!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,12,no,,"The executable move-message sequence identifies this as the sunlight-gathering turn, rendered in standard battle language. Full-text review: Keeps the charging message intact on the engine-provided second row.",,,,
MAIN:0x0304CF,MAIN,58,,Ordinary text,0x0304CF,0x0300BF,0x0300BF,,,73,0x0304CF,太阳光射出,graphical_codes,<0A><B6C6><BBA7><B0E4><BBA8><B0A4>, unleashed solar energy!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,11,no,,Preserves the second-stage release of the gathered sunlight rather than treating it as another charge. Full-text review: Uses the complete solar-release message within exactly 24 cells.,,,,
MAIN:0x0304DB,MAIN,59,,Ordinary text,0x0304DB,0x0300C1,0x0300C1,,,74,0x0304DB,钻到了地下,graphical_codes,<0A><BBA9><B0DB><B0F8><B3BB><B0F9>, burrowed underground!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,11,no,,Faithfully describes the acting Pokémon going underground for the move's hidden turn. Full-text review: Keeps the underground message intact on the engine-provided second row.,,,,
MAIN:0x0304E7,MAIN,60,,Ordinary text,0x0304E7,0x0300C3,0x0300C3,,,75,0x0304E7,迅速攻击,graphical_codes,<0A><BBA4><B9D4><B4AB><B4AC>, attacked swiftly!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,no,,Preserves the source's defining fact that this attack is executed rapidly without assigning an unsupported move name. Full-text review: Keeps the swift-attack message intact on the engine-provided second row.,,,,
MAIN:0x0304F1,MAIN,61,,Ordinary text,0x0304F1,0x0300C5,0x0300C5,,,76,0x0304F1,蓄集力量,graphical_codes,<0A><BBAA><B6B8><B0E3><B3EC>, stored up power!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,no,,Renders the first power-storage battle state and keeps it as a suffix after the acting Pokémon. Full-text review: Keeps the stored-power message intact on the engine-provided second row.,,,,
MAIN:0x0304FB,MAIN,62,,Ordinary text,0x0304FB,0x0300C7,0x0300C7,,,77,0x0304FB,全力一击,graphical_codes,<0A><B6C0><B0E3><B1D1><B4AC>, struck with full force!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,no,,Preserves the corresponding all-out release attack without inventing a move identity. Full-text review: Uses exactly 24 artifact-free cells on the engine-provided second row.,,,,
MAIN:0x030505,MAIN,63,,Ordinary text,0x030505,0x0300C9,0x0300C9,,,78,0x030505,蓄集力量,graphical_codes,<0A><BBAA><B6B8><B0E3><B3EC>, stored up power!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,no,,Faithfully retains the duplicate executable pointer's power-storage state for the parallel battle path. Full-text review: Applies the same bounded stored-power formula to the duplicate state.,,,,
MAIN:0x03050F,MAIN,64,,Ordinary text,0x03050F,0x0300CB,0x0300CB,,,79,0x03050F,全力一击,graphical_codes,<0A><B6C0><B0E3><B1D1><B4AC>, struck with full force!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,no,,Faithfully retains the duplicate executable pointer's full-force release for the parallel battle path. Full-text review: Applies the same bounded full-force formula to the duplicate state.,,,,
MAIN:0x030519,MAIN,65,,Ordinary text,0x030519,0x0300CD,0x0300CD,,,80,0x030519,蓄集打消,graphical_codes,<0A><BBAA><B6B8><B0CF><B4F1>, stopped storing power!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,no,,Preserves cancellation of the stored-power state rather than describing an attack or ordinary failure. Full-text review: Keeps the release-cancel message intact on the engine-provided second row.,,,,
MAIN:0x030523,MAIN,66,,Ordinary text,0x030523,0x0300CF,0x0300CF,,,81,0x030523,飞上高空,graphical_codes,<0A><B1AC><B1E5><B8AF><B1A2>, flew high into the sky!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,no,,Directly describes the airborne preparation state and retains the suffix join after the Pokémon name. Full-text review: Uses exactly 24 artifact-free cells on the engine-provided second row.,,,,
MAIN:0x03052D,MAIN,67,,Ordinary text,0x03052D,0x0300D1,0x0300D1,,,82,0x03052D,舍命一击,graphical_codes,<0A><BBAB><B4B9><B1D1><B4AC>, risked everything!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,no,,Keeps both the self-endangering commitment and the single all-out strike expressed by the Chinese. Full-text review: Keeps the one-strike risk in a natural compact formula.,,,,
MAIN:0x030537,MAIN,68,,Ordinary text,0x030537,0x0300D3,0x0300D3,,,83,0x030537,蓄集神力,graphical_codes,<0A><BBAA><B6B8><B6DD><B0E3>, gathered mystical power!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,no,,Preserves the preparatory gathering of mystical power as a distinct first-stage action. Full-text review: Keeps the complete charge wording within the fully cleared 25-cell row.,,,,
MAIN:0x030541,MAIN,69,,Ordinary text,0x030541,0x0300D5,0x0300D5,,,84,0x030541,神力射出,graphical_codes,<0A><B6DD><B0E3><BBA8><B0A4>, released mystic power!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,no,,Preserves the release stage paired with the preceding mystical-power charge. Full-text review: Keeps the release meaning within 22 second-row cells.,,,,
MAIN:0x03054B,MAIN,70,,Ordinary text,0x03054B,0x0300D7,0x0300D7,,,85,0x03054B,预知未来,graphical_codes,<0A><B6EC><B2D7><B3E5><B0FC>, foresaw an attack!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,no,,Renders the Future Sight setup action while avoiding a premature claim that damage has already occurred. Full-text review: Keeps the foresight message intact on the engine-provided second row.,,,,
MAIN:0x030555,MAIN,71,,Ordinary text,0x030555,0x0300D9,0x0300D9,,,86,0x030555,受到预知未来攻击,graphical_codes,<0A><B4A9><B0DB><B6EC><B2D7><B3E5><B0FC><B4AB><B4AC>, hit by Future Sight!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,17,no,,Identifies the delayed Future Sight hit and keeps the leading join after the target Pokémon's name. Full-text review: Keeps the named move and result within one second row.,,,,
MAIN:0x030567,MAIN,72,,Ordinary text,0x030567,0x0300DB,0x0300DB,,,87,0x030567,吃掉了,graphical_codes,<0A><B9B3><B8AB><B0F8>, ate ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,no,,"Forms the verb between the acting Pokémon and target names in the dream-eating sentence, with both joins intact.",,,,
MAIN:0x03056F,MAIN,73,,Ordinary text,0x03056F,0x0300DD,0x0300DD,,,88,0x03056F,的梦,graphical_codes,<0A><B0BC><B1D6>,'s dream!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,5,no,,Completes the dream-eating construction as a possessive suffix directly after the target's name.,,,,
