stable_key,record_type,entry_index,dialogue_id,category,source_offset_or_pointer,pointer_references,selected_pointer_references,layout,speaker,chinese_record_indexes,chinese_offsets,chinese_text,english_2015_storage,english_2015,english_v2,editorial_origin,alignment_method,alignment_confidence,source_resolution,review_status,source_capacity_bytes,compression,compression_justification,fidelity_comment,multi_source_mode,pointer_variant_count,storage_overlap_group,storage_overlap_role
MAIN:0x0388BD,MAIN,1162,D0293,In-game dialogue,0x0388BD,0x038273,0x038273,dialogue_19_19,PROF. OAK,1238,0x038906,"大木:嗨!小智,怎样啊?与我给你的精灵好像相处的不错哦,你有宠物精灵训练师的才能喔!",ascii,"Oh,Ash! How is Pikachu?","OAK: Ash, you two get along! You have the makings of a Trainer!",translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,32,yes,"Uses complete, natural English while respecting dialogue pagination and ROM bank limits; no displayed word is truncated.","Compressed directly against the Chinese source. Preserves Oak's greeting, assessment of Ash's bond with the given Pokémon, and praise for his Trainer talent. Full-text review: Restores the source's assessment in idiomatic English.",,,,
MAIN:0x0388DE,MAIN,1163,D0294,In-game dialogue,0x0388DE,0x038275,0x038275,dialogue_19_19,PROF. OAK,1239,0x038956,大木:啊?有东西要交给我?,ascii,He seems to like you...Hm? you have something for me?,OAK: Oh? Something for me?,adapted_from_official_english_gen1_with_chinese_fidelity_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,55,no,,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.,,,,
MAIN:0x038916,MAIN,1164,D0295,In-game dialogue,0x038916,0x038277,0x038277,dialogue_19_19,,1240,0x03896F,小智将包裹交给博士了!,ascii,Ah! This is the custom Pok@ball I ordered!,ASH delivered Oak's parcel!,translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,46,yes,"Uses complete, natural English while respecting dialogue pagination and ROM bank limits; no displayed word is truncated.",Compressed directly against the Chinese source. Restores the narrated handoff from Ash to the professor; the 2015 line belongs to Oak's following reaction. Full-text review: Uses the official-style delivery formula and natural possessive item name.,,,,
MAIN:0x038945,MAIN,1165,D0296,In-game dialogue,0x038945,0x038279,0x038279,dialogue_19_19,OAK,1241,0x038986,"大木:这不就是我订的特制精灵球吗?谢谢你,对了!忘了告诉你有事要拜托你",ascii,Thank you!,OAK: My custom Poké Ball! Thanks. I have a favor to ask...,translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,10,yes,"Uses complete, natural English while respecting dialogue pagination and ROM bank limits; no displayed word is truncated.","Compressed directly against the Chinese source. Preserves identification of the ordered custom Poké Ball, Oak's thanks, and his remembered request for a favor. Full-text review: Makes the final request explicit and grammatical.",,,,
MAIN:0x038950,MAIN,1166,D0297,In-game dialogue,0x038950,0x03827B,0x03827B,dialogue_19_19,GARY,1242,0x0389CA,小茂:爷爷!我的精灵成长了!快来看啊,ascii,Gary:Gramps! What did you call me for?,"GARY: Gramps, look! It grew!",translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,42,yes,"Uses shorter direct clauses and removes English-only scaffolding, reducing this entry from 47 to 27 formatted bytes while retaining every Chinese-source detail identified in the fidelity comment.",Compressed directly against the Chinese source. Restores Gary's excited report that his Pokémon has grown and his invitation to Grandpa to look.,,,,
MAIN:0x03897B,MAIN,1167,D0298,In-game dialogue,0x03897B,0x03827F,0x03827F,dialogue_19_19,,1244,0x038A8B,得到图鉴,ascii,Received Pok@dex!,Got Pokédex!,official_english_gen1_reviewed_chinese_specific_retained_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,17,yes,"Drops only the optional English determiner in the acquisition formula, reducing this entry from 16 to 12 formatted bytes; the exact acquired item Pokédex remains explicit.",Reviewed against the matching English Red/Blue/Yellow scene; the Chinese/Famicom wording is retained because the official line omits or contradicts a material source detail.,,,,
MAIN:0x03898D,MAIN,1168,D0299,In-game dialogue,0x03898D,0x038281,0x038281,dialogue_19_19,PROF. OAK,1245,0x038A95,"大木:我的梦想就是制作一本完整的图鉴,但我已经老了不行了!现在希望由你们替我完成梦想!这是能在宠物精灵历史留名的工作,你们该出发了!",ascii,Gary:Okay Gramps! Leave it all to me!,"OAK: I dream of a full Pokédex, but I'm too old. I want you two to finish it and make Pokémon history! Now go!",translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,38,yes,"Uses complete, natural English while respecting dialogue pagination and ROM bank limits; no displayed word is truncated.","Compressed directly against the Chinese source. Preserves Oak's complete-Pokédex dream, age, charge to both youths, promise of a place in Pokémon history, and order to depart. Full-text review: Uses complete clauses while preserving every source beat.",,,,
MAIN:0x0389B4,MAIN,1169,D0300,In-game dialogue,0x0389B4,0x038283,0x038283,dialogue_19_19,GARY,1246,0x038B15,"小茂:爷爷!就交给我一个人就好了,小智真可惜没有你出场的份!对了我要去向姐姐借城镇地图去,我要叫他不要借给你,小智!哈哈,你去也没用的!",ascii,"Ash, I hate to say it, but I don't need you! I know! I'll borrow a Town Map from my Sis! I'll tell her not to lend you one, Ash! Hahaha!","GARY: Leave it to me, Gramps! I don't need your help, Ash! I'll borrow Sis's map and tell her not to lend you one! Ha! Your trip is pointless!",translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,145,yes,"Uses complete, natural English while respecting dialogue pagination and ROM bank limits; no displayed word is truncated.","Corrected against the Chinese source: explicitly restores Gary's future plan to borrow his sister's map and tell her not to lend one to Ash, alongside his solo boast and taunt. Full-text review: Uses the official-scene voice while preserving Gary's taunt, map plan, and source-only final insult.",,,,
MAIN:0x038A46,MAIN,1170,D0301,In-game dialogue,0x038A46,0x038285,0x038285,dialogue_19_19,GARY'S SISTER,1247,0x038B96,"小茂姐姐:爷爷有任务交给你啊,真辛苦,这个给你用吧",ascii,"Gary's Sis:Grandpa asked you to run anerrand? Here,this will help you!","GARY'S SIS: Grandpa asked you to run an errand? Here, this will help you!",adapted_from_official_english_gen1_with_chinese_fidelity_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,71,no,,Uses the official English Gen I scene voice where it agrees with the Chinese; Chinese-only facts and bootleg-specific terminology are retained.,,,,
MAIN:0x038A8E,MAIN,1171,D0302,In-game dialogue,0x038A8E,0x038287,0x038287,dialogue_19_19,,1248,0x038BC7,得到地图,ascii,Received Town Map!,Got Town Map!,official_english_gen1_reviewed_chinese_specific_retained_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,18,yes,"Drops only the optional English determiner in the acquisition formula, reducing this entry from 17 to 13 formatted bytes; the exact acquired item Town Map remains explicit.",Reviewed against the matching English Red/Blue/Yellow scene; the Chinese/Famicom wording is retained because the official line omits or contradicts a material source detail.,,,,
MAIN:0x038AA1,MAIN,1172,D0303,In-game dialogue,0x038AA1,0x038289,0x038289,dialogue_19_19,,1249,0x038BD1,"老爷爷:上次好像喝醉似的头好痛,什么?我妨碍了你,你在完成精灵图鉴啊?那么抓精灵需要精灵球,只要到附近的商店就能买到",ascii,"Old man:Ahhh! I'm feeling much betternow! Hm? Oh! Sure, you can go through!",I was out of it last time; my head was pounding... What? I blocked your way? You're filling your Pokédex? Buy Poké Balls at the nearby shop.,translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,76,yes,"Uses official Gen I field-dialogue style: the visible sprite and encounter identify the sole speaker, so no redundant class label consumes text-bank space.","Full-text review: Restores subjects and every step of the source's explanation and advice. Omits the contextual one-speaker label 'OLD MAN', as in official Gen I field dialogue; the sprite and encounter retain the speaker identity.",,,,
MAIN:0x038AEE,MAIN,1173,D0304,In-game dialogue,0x038AEE,0x03828B,0x03828B,dialogue_19_19,,1250,0x038C41,常青道馆上了锁,ascii,It's locked!,The Viridian Gym is locked.,translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,20,no,,Preserves the specific locked location as Viridian Gym rather than the generic 2015 message.,,,,
MAIN:0x038B03,MAIN,1174,D0305,In-game dialogue,0x038B03,0x03828D,0x03828D,dialogue_19_19,GARY,1251,0x038C51,"小茂:小智!你要去宠物精灵联盟啊?算了吧!反正我看你也没有徽章,把关的人不会让你过去的!还有你的精灵到底有没有变强啊?",ascii,"Gary:Hey Ash!You'regoing to the Pok@mon League? Forget it, you probably don't haveany Badges! The guard won't let youthrough! So,did your Pok@mon get any stronger?","GARY: League, Ash? No Badges, no pass! Did your Pokémon get stronger?",adapted_from_official_english_gen1_with_chinese_fidelity_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,184,no,,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.,,,,
MAIN:0x038BBC,MAIN,1175,D0306,In-game dialogue,0x038BBC,0x03828F,0x03828F,dialogue_19_19,GARY,1252,0x038CC2,"小茂:在宠物精灵联盟里尽是非常强劲的训兽师,不能不想办法通过那里,你也不能尽是停留在这里,想办法往前进吧!",ascii,"I hear the Pok@mon League has many tough trainers,I have to figure out how to get past them!You should quit dawdling and get a move on!",GARY: The League has tough Trainers! I must get past them. Quit dawdling and move on!,adapted_from_official_english_gen1_with_chinese_fidelity_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,147,no,,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.,,,,
MAIN:0x038C50,MAIN,1176,D0307,In-game dialogue,0x038C50,0x03829B,0x03829B,dialogue_19_19,,1258,0x038DE5,捉虫少年:以最强的训练家为目标你能赢的了我吗?,ascii,Hey! You have a Pikachu!,Want to reach the top? Beat me!,translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,27,yes,"Uses official Gen I field-dialogue style: the visible sprite and encounter identify the sole speaker, so no redundant class label consumes text-bank space.","Full-text review: Replaces the clipped phrase 'Want top?'. Omits the contextual one-speaker label 'BUG CATCHER', as in official Gen I field dialogue; the sprite and encounter retain the speaker identity.",,,,
MAIN:0x038C6C,MAIN,1177,D0308,In-game dialogue,0x038C6C,0x03829D,0x03829D,dialogue_19_19,,1259,0x038E13,捉虫少年:你果然很强!,ascii,"I looked, but I cannot find one.",You're strong!,translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,32,yes,"Uses official Gen I field-dialogue style: the visible sprite and encounter identify the sole speaker, so no redundant class label consumes text-bank space.",Compressed directly against the Chinese source. Directly restores the Bug Catcher's praise for the player's strength. Full-text review: Normalizes nonstandard speaker abbreviation 'BUG:' to 'BUG CATCHER:'.,,,,
MAIN:0x038C8D,MAIN,1178,D0309,In-game dialogue,0x038C8D,0x0382A1,0x0382A1,dialogue_19_19,,1261,0x038E40,捉虫少年:不可能...,ascii,No! Caterpie can't cut it!,Impossible...,translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,26,yes,"Uses official Gen I field-dialogue style: the visible sprite and encounter identify the sole speaker, so no redundant class label consumes text-bank space.",Compressed directly against the Chinese source. Keeps the Bug Catcher's bare disbelief without adding the 2015 Caterpie explanation. Full-text review: Normalizes nonstandard speaker abbreviation 'BUG:' to 'BUG CATCHER:'.,,,,
MAIN:0x038CA8,MAIN,1179,D0310,In-game dialogue,0x038CA8,0x038293,0x038293,dialogue_19_19,,1254,0x038D7A,"捉虫少年:你也是训练师吧,让我们来较量一下!",ascii,"Hey,wait up! What'sthe Hurry?",You're a Trainer too? Let's battle!,translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,29,yes,"Uses official Gen I field-dialogue style: the visible sprite and encounter identify the sole speaker, so no redundant class label consumes text-bank space.","Full-text review: Restores the source's shared Trainer identity and natural invitation. Omits the contextual one-speaker label 'BUG CATCHER', as in official Gen I field dialogue; the sprite and encounter retain the speaker identity.",,,,
MAIN:0x038CC6,MAIN,1180,D0311,In-game dialogue,0x038CC6,0x038295,0x038295,dialogue_19_19,,1255,0x038DA5,捉虫少年:你真厉害...,ascii,You're very good!,So tough...,translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,17,yes,"Uses official Gen I field-dialogue style: the visible sprite and encounter identify the sole speaker, so no redundant class label consumes text-bank space.",Compressed directly against the Chinese source. Directly preserves the Bug Catcher's impressed post-battle reaction. Full-text review: Normalizes nonstandard speaker abbreviation 'BUG:' to 'BUG CATCHER:'.,,,,
MAIN:0x038CD8,MAIN,1181,D0312,In-game dialogue,0x038CD8,0x038297,0x038297,dialogue_19_19,,1256,0x038DBB,"捉虫少年:不要逃避,来吧!",ascii,Hey!You scared the bugs away!,Don't run away! Fight me!,translated_directly_from_chinese_ai_review,pointer_table,high,dialogue_inventory_overlay,ai_source_reviewed,29,yes,"Uses official Gen I field-dialogue style: the visible sprite and encounter identify the sole speaker, so no redundant class label consumes text-bank space.","Full-text review: Uses a natural imperative and explicit object. Omits the contextual one-speaker label 'BUG CATCHER', as in official Gen I field dialogue; the sprite and encounter retain the speaker identity.",,,,
