id,stable_key,pointer_reference_hex,chinese_text,english_2015,french_reference_text,status
D1002,RESTORED:0x038323,0x038323,"小次郎:白洞,白色的明天在等着我们!",ABSENT — dialogue removed from the English ROM,"JAMES : Rendez-vous, sinon guerre à vous !",restored and verified in the French ROM
D1003,RESTORED:0x038325,0x038325,喵喵:说的对!喵...,ABSENT — dialogue removed from the English ROM,"MIAOUSS : Miaouss, oui la guerre !",restored and verified in the French ROM
D1004,RESTORED:0x038347,0x038347,迷你裙:我承认你了,INCORRECT POINTER — displayed text: UNTRANSLATED — Chinese text retained in the English ROM,FILLETTE : Tu as fait tes preuves.,restored and verified in the French ROM
D1005,RESTORED:0x03834B,0x03834B,谈判小子:有两下子,INCORRECT POINTER — displayed text: Got Charmander!,GARÇON : Pas mal !,restored and verified in the French ROM
D1006,RESTORED:0x03834F,0x03834F,迷你裙:我今后就关注你吧,INCORRECT POINTER — displayed text: I saw trainers fromall over!,"FILLETTE :
Je te surveillerai.",restored and verified in the French ROM
D1007,RESTORED:0x038353,0x038353,侦察员:你是第一个打败我们的,INCORRECT POINTER — displayed text: I'm off to see Bill,"SCOUT :
Tu es le premier
à nous avoir tous
battus !",restored and verified in the French ROM
D1008,RESTORED:0x03AF94,0x03AF94,小智:你们是?,ABSENT — dialogue removed from the English ROM,"SACHA :
Qui êtes-vous ?",restored and verified in the French ROM
D1009,RESTORED:0x03AF96,0x03AF96,武藏:既然你诚心诚意的问了,ABSENT — dialogue removed from the English ROM,"JESSIE :
Nous revoilà !",restored and verified in the French ROM
D1010,RESTORED:0x03AF98,0x03AF98,小次郎:那我就大发慈悲的告诉你们!,ABSENT — dialogue removed from the English ROM,JAMES : Un mauvais tour vous attend !,restored and verified in the French ROM
D1011,RESTORED:0x03AF9A,0x03AF9A,武藏:为了防止世界被破坏,ABSENT — dialogue removed from the English ROM,"JESSIE :
Préservons le monde
de la dévastation !",restored and verified in the French ROM
D1012,RESTORED:0x03AF9C,0x03AF9C,小次郎:为了维护世界的和平.,ABSENT — dialogue removed from the English ROM,"JAMES : Peuples du monde, ralliez notre nation !",restored and verified in the French ROM
D1013,RESTORED:0x03AF9E,0x03AF9E,武藏:坚持爱与真实的罪恶,ABSENT — dialogue removed from the English ROM,JESSIE : Écrasons amour et vérité !,restored and verified in the French ROM
D1014,RESTORED:0x03AFA0,0x03AFA0,小次郎:最有魅力的反派人物!,ABSENT — dialogue removed from the English ROM,"JAMES :
Notre pouvoir
s'étend jusqu'à
la Voie Lactée !",restored and verified in the French ROM
D1015,RESTORED:0x03AFA2,0x03AFA2,武藏:武藏!,ABSENT — dialogue removed from the English ROM,JESSIE : Jessie !,restored and verified in the French ROM
D1016,RESTORED:0x03AFA4,0x03AFA4,小次郎:小次郎!,ABSENT — dialogue removed from the English ROM,JAMES : James !,restored and verified in the French ROM
D1017,RESTORED:0x03AFA6,0x03AFA6,武藏:我们是穿过银河系的火箭队!,ABSENT — dialogue removed from the English ROM,"JESSIE :
La Team Rocket,
plus rapide
que la lumière !",restored and verified in the French ROM
D1018,RESTORED:0x03AFA8,0x03AFA8,"小次郎:白洞,白色的明天在等着我们!",ABSENT — dialogue removed from the English ROM,"JAMES : Rendez-vous, sinon guerre à vous !",restored and verified in the French ROM
D1019,RESTORED:0x03AFAA,0x03AFAA,喵喵:说的对!喵...,ABSENT — dialogue removed from the English ROM,"MIAOUSS : Miaouss, oui la guerre !",restored and verified in the French ROM
D1020,RESTORED:0x03AFAC,0x03AFAC,小次郎:现在就让我们算清旧帐吧!!,ABSENT — dialogue removed from the English ROM,JAMES : C'est l'heure de régler nos vieux comptes !,restored and verified in the French ROM
D1021,RESTORED:0x03AFB0,0x03AFB0,武藏:好讨厌的感觉哟...,ABSENT — dialogue removed from the English ROM,"TEAM ROCKET :
À la vitesse
du son...",restored and verified in the French ROM
D1022,RESTORED:0x03AFB2,0x03AFB2,喵喵:喵...,ABSENT — dialogue removed from the English ROM,MIAOUSS : Miaouss...,restored and verified in the French ROM
D1023,RESTORED:0x03AFEA,0x03AFEA,小智:你们是?,ABSENT — dialogue removed from the English ROM,"SACHA :
Qui êtes-vous ?",restored and verified in the French ROM
D1024,RESTORED:0x03AFEC,0x03AFEC,武藏:既然你诚心诚意的问了,ABSENT — dialogue removed from the English ROM,"JESSIE :
Nous revoilà !",restored and verified in the French ROM
D1025,RESTORED:0x03AFEE,0x03AFEE,小次郎:那我就大发慈悲的告诉你们!,ABSENT — dialogue removed from the English ROM,JAMES : Un mauvais tour vous attend !,restored and verified in the French ROM
D1026,RESTORED:0x03AFF0,0x03AFF0,武藏:为了防止世界被破坏,ABSENT — dialogue removed from the English ROM,"JESSIE :
Préservons le monde
de la dévastation !",restored and verified in the French ROM
D1027,RESTORED:0x03AFF2,0x03AFF2,小次郎:为了维护世界的和平.,ABSENT — dialogue removed from the English ROM,"JAMES : Peuples du monde, ralliez notre nation !",restored and verified in the French ROM
D1028,RESTORED:0x03AFF4,0x03AFF4,武藏:坚持爱与真实的罪恶,ABSENT — dialogue removed from the English ROM,JESSIE : Écrasons amour et vérité !,restored and verified in the French ROM
D1029,RESTORED:0x03AFF6,0x03AFF6,小次郎:最有魅力的反派人物!,ABSENT — dialogue removed from the English ROM,"JAMES :
Notre pouvoir
s'étend jusqu'à
la Voie Lactée !",restored and verified in the French ROM
D1030,RESTORED:0x03AFF8,0x03AFF8,武藏:武藏!,ABSENT — dialogue removed from the English ROM,JESSIE : Jessie !,restored and verified in the French ROM
D1031,RESTORED:0x03AFFA,0x03AFFA,小次郎:小次郎!,ABSENT — dialogue removed from the English ROM,JAMES : James !,restored and verified in the French ROM
D1032,RESTORED:0x03AFFC,0x03AFFC,武藏:我们是穿过银河系的火箭队!,ABSENT — dialogue removed from the English ROM,"JESSIE :
La Team Rocket,
plus rapide
que la lumière !",restored and verified in the French ROM
D1033,RESTORED:0x03AFFE,0x03AFFE,"小次郎:白洞,白色的明天在等着我们!",ABSENT — dialogue removed from the English ROM,"JAMES : Rendez-vous, sinon guerre à vous !",restored and verified in the French ROM
D1034,RESTORED:0x03B000,0x03B000,喵喵:说的对!喵...,ABSENT — dialogue removed from the English ROM,"MIAOUSS : Miaouss, oui la guerre !",restored and verified in the French ROM
D1035,RESTORED:0x03B004,0x03B004,武藏:好讨厌的感觉哟...,ABSENT — dialogue removed from the English ROM,"TEAM ROCKET :
À la vitesse
d'un gros vélo...",restored and verified in the French ROM
D1036,RESTORED:0x03B006,0x03B006,喵喵:喵...,ABSENT — dialogue removed from the English ROM,MIAOUSS : Miaouss...,restored and verified in the French ROM
D1037,RESTORED:0x03CF3E,0x03CF3E,武藏:既然你诚心诚意的问了,ABSENT — dialogue removed from the English ROM,"JESSIE :
Nous revoilà !",restored and verified in the French ROM
D1038,RESTORED:0x03CF40,0x03CF40,小次郎:那我就大发慈悲的告诉你们!,ABSENT — dialogue removed from the English ROM,JAMES : Un mauvais tour vous attend !,restored and verified in the French ROM
D1039,RESTORED:0x03CF42,0x03CF42,武藏:为了防止世界被破坏,ABSENT — dialogue removed from the English ROM,"JESSIE :
Préservons le monde
de la dévastation !",restored and verified in the French ROM
D1040,RESTORED:0x03CF44,0x03CF44,小次郎:为了维护世界的和平.,ABSENT — dialogue removed from the English ROM,"JAMES : Peuples du monde, ralliez notre nation !",restored and verified in the French ROM
D1041,RESTORED:0x03CF46,0x03CF46,武藏:坚持爱与真实的罪恶,ABSENT — dialogue removed from the English ROM,JESSIE : Écrasons amour et vérité !,restored and verified in the French ROM
D1042,RESTORED:0x03CF48,0x03CF48,小次郎:最有魅力的反派人物!,ABSENT — dialogue removed from the English ROM,"JAMES :
Notre pouvoir
s'étend jusqu'à
la Voie Lactée !",restored and verified in the French ROM
D1043,RESTORED:0x03CF4A,0x03CF4A,武藏:武藏!,ABSENT — dialogue removed from the English ROM,JESSIE : Jessie !,restored and verified in the French ROM
D1044,RESTORED:0x03CF4C,0x03CF4C,小次郎:小次郎!,ABSENT — dialogue removed from the English ROM,JAMES : James !,restored and verified in the French ROM
D1045,RESTORED:0x03CF4E,0x03CF4E,武藏:我们是穿过银河系的火箭队!,ABSENT — dialogue removed from the English ROM,"JESSIE :
La Team Rocket,
plus rapide
que la lumière !",restored and verified in the French ROM
D1046,RESTORED:0x03CF50,0x03CF50,"小次郎:白洞,白色的明天在等着我们!",ABSENT — dialogue removed from the English ROM,"JAMES : Rendez-vous, sinon guerre à vous !",restored and verified in the French ROM
D1047,RESTORED:0x03CF52,0x03CF52,喵喵:说的对!喵...,ABSENT — dialogue removed from the English ROM,"MIAOUSS : Miaouss, oui la guerre !",restored and verified in the French ROM
D1048,RESTORED:0x03CF54,0x03CF54,小次郎:果然和平常一样...,ABSENT — dialogue removed from the English ROM,TEAM ROCKET : ... Ça craint...,restored and verified in the French ROM
D1049,RESTORED:0x03CF56,0x03CF56,武藏:好讨厌的感觉哟...,ABSENT — dialogue removed from the English ROM,"TEAM ROCKET :
À la vitesse
d'une voiture !",restored and verified in the French ROM
D1050,RESTORED:0x03CF58,0x03CF58,喵喵:喵...,ABSENT — dialogue removed from the English ROM,"MIAOUSS :
En gros...",restored and verified in the French ROM
D1051,RESTORED:0x03D07A,0x03D07A,小次郎:为了维护世界的和平.,ABSENT — dialogue removed from the English ROM,"JAMES : Peuples du monde, ralliez notre nation !",restored and verified in the French ROM
D1052,RESTORED:0x03D07C,0x03D07C,武藏:坚持爱与真实的罪恶,ABSENT — dialogue removed from the English ROM,JESSIE : Écrasons amour et vérité !,restored and verified in the French ROM
D1053,RESTORED:0x03D07E,0x03D07E,小次郎:最有魅力的反派人物!,ABSENT — dialogue removed from the English ROM,"JAMES :
Notre pouvoir
s'étend jusqu'à
la Voie Lactée !",restored and verified in the French ROM
D1054,RESTORED:0x03D080,0x03D080,武藏:武藏!,ABSENT — dialogue removed from the English ROM,JESSIE : Jessie !,restored and verified in the French ROM
D1055,RESTORED:0x0348F1,0x0348F1,得到解麻药,SHARED TEXT — displayed text: A S.Heal!,Anti-Para reçu !,restored and verified in the French ROM
