pointer_reference_hex,chinese_record_index,chinese_offset_hex,chinese_text,english_offset_hex,english_storage,english_text,english_translation_status,french_source_offset_hex,french_text,present_in_french,pointer_redirected_for_french,review_category,review_note
0x038349,1345,0x039D4D,"
谈判小子:第三人登场!我不会给你太好过",0x039B45,ascii,I'm No.4!Tired Yet?,english_ascii_present,0x039B45,"Troisième ! Tu vas
en baver !",yes,no,wrong_order,Le troisième dresseur devient le quatrième.
0x03834B,1346,0x039D73,"
谈判小子:有两下子",0x039D74,ascii,Got Charmander!,english_ascii_present,0x039AF5,Pas mal ! Tu peux tous nous battre ?,yes,yes,wrong_pointer,La réplique devient l'obtention de Salamèche.
0x03834D,1347,0x039D86,"
迷你裙:我是第四人,你不就是为了引人注目才来的吗?",0x039B2C,ascii,No.3! I won't be easy!,english_ascii_present,0x039B2C,Quatrième ! Tu veux te faire remarquer ?,yes,no,wrong_order,Le quatrième dresseur devient le troisième.
0x03834F,1348,0x039DB7,"
迷你裙:我今后就关注你吧",0x039DA8,ascii,I saw trainers fromall over!,english_ascii_present,0x039AF5,Pas mal ! Tu peux tous nous battre ?,yes,yes,wrong_pointer,Le suivi de Sacha devient un autre dialogue.
0x038353,1350,0x039DF4,"
侦察员:你是第一个打败我们的",0x039DE5,ascii,I'm off to see Bill,english_ascii_present,0x039AF5,Pas mal ! Tu peux tous nous battre ?,yes,yes,wrong_pointer,La victoire sur les cinq devient le départ vers Léo.
0x038397,1384,0x03A2E1,"
马沙:对了,给你看一下我的收藏品吧.传说现在被发现的精灵种类在这个世界上有150种之多,但实际数量可能要比这还多,我一直在这个海边就是要等传说中的精灵出现...",0x039FF5,ascii,Have fun!,english_ascii_present,0x039FF5,"LÉO : Ma collection ! 150 espèces sont connues, peut-être plus. J'attends ici un Pokémon légendaire...",yes,no,major_omission,La collection et les 150 espèces disparaissent.
0x0383C3,1406,0x03A62F,"
绅士:我是从宝石大陆来的",0x03A1FA,ascii,My Pok@mon are my freinds!,english_ascii_present,0x03A1FA,Je viens de Hoenn.,yes,no,world_lore_removed,L'origine du continent de Hoenn disparaît.
0x0383CB,1410,0x03A6A0,"
绅士:来到这个方元地区还真是舒服",0x03A296,ascii,"You,pup! How dare you barge in!",english_ascii_present,0x03A296,On se sent vraiment bien à Hoenn.,yes,no,semantic_replacement,Le confort à Hoenn devient une insulte.
0x0383CD,1411,0x03A6C1,"
绅士:你听说过还有金银地区的传说吗?",0x03A2B7,ascii,Humph! You rude child!,english_ascii_present,0x03A2B7,"Légendes de Johto :
tu connais ?",yes,no,world_lore_removed,La légende de Johto disparaît.
0x038409,1441,0x03A9F6,"
小智:我帮你拍拍!",0x03A9F7,ascii,raw!,english_ascii_present,0x03A9F7,"SACHA :
Je vais vous masser
le dos !",yes,no,broken_sequence,Le massage de Sacha devient le fragment raw.
0x03840B,1442,0x03AA08,"
名人:嗯,好多了...谢谢你!什么你想看我的居合斩?如果我的身体好点的话就可以表演给你看...对了,这个给你吧!只要教你的精灵那你就随时都可看到居合斩了!",0x03A517,ascii,"(Rub,rub,rub)",english_ascii_present,0x03A517,"Merci, ça va mieux ! Coupe ? Je suis épuisé... Apprends-la plutôt à un Pokémon.",yes,no,sequence_shift,Le don de Coupe devient seulement le massage.
0x038421,1453,0x03AC50,"
得到技能24",0x03A745,ascii,You're the real deal kid!Here's theThunderbadge! That badge lets you use FLY any time kid! And take this TM aswell!,english_ascii_present,0x03A745,CT24 reçue !,yes,no,sequence_shift,La CT24 devient tout le discours du Badge Foudre.
0x03AE7A,1483,0x03B1EC,"
是吗?那真是太可惜了...",0x03B1E7,ascii,Take good care of him!,english_ascii_present,0x03B1E7,Ah bon ? Dommage...,yes,no,branch_inversion,Le refus devient l'acceptation.
0x03AE7C,1484,0x03B204,"
那拜托你了!",0x03B1FF,ascii,Got Bulbasaur!,english_ascii_present,0x03B1FF,"Alors, prends soin
de Bulbizarre !",yes,no,branch_inversion,L'acceptation devient l'obtention.
0x03AE7E,1485,0x03B211,"
得到妙蛙种子",0x03B20E,ascii,Oh...too bad...,english_ascii_present,0x03B20E,Bulbizarre reçu !,yes,no,branch_inversion,L'obtention devient le refus.
0x03AF3A,1579,0x03BCFC,"
小红:我是绘图师,画你的人就是我喔!",0x03BCF6,ascii,My friend and I aretrading Pok@mon!,english_ascii_present,0x03BCF6,"XIAOHONG : C'est moi, la graphiste qui t'a dessiné !",yes,no,developer_cameo_removed,Le graphiste est remplacé.
0x03AF3C,1580,0x03BD1F,"
卡美优:我是写剧本的...比卡丘很可爱吧!",0x03BD1A,ascii,Caught Pok@mon are given ID numbers.,english_ascii_present,0x03BD1A,"KAMEIYU : Le scénario, c'est moi ! Pikachu est mignon, non ?",yes,no,developer_cameo_removed,Le scénariste est remplacé.
0x03AF3E,1581,0x03BD46,"
魏村夫:我吗?我是程序师,多多关照!",0x03BD3F,ascii,My buddy's sending me her Kangaskhan!,english_ascii_present,0x03BD3F,WEI CUNFU : Je suis le programmeur. Enchanté !,yes,no,developer_cameo_removed,Le programmeur est remplacé.
0x03AF40,1582,0x03BD68,"
BOSS:哎呀!我是BOSS!要集全所有的宠物精灵很难,不过好好加油吧!如果全部集全的话就去告诉卡美优吧!",0x03BD65,ascii,I heard you can seeghosts using Silph Co.'s Silph Scope!,english_ascii_present,0x03BD65,"BOSS : La tâche est
rude : les attraper
tous ! Courage !
Une fois ta quête
achevée, préviens
Kameiyu.",yes,no,developer_cameo_removed,Le message du boss est remplacé.
0x03AFB4,1640,0x03C514,"
老大:哈哈!你真有办法能到这里!这是将世界上的宠物用来交易的火箭队总部,我就是火箭队的老大,我的名字叫沙奇!!想反抗我只有自讨苦吃",0x03BDE2,ascii,"So,I must say, I amimpressed you got here!",english_ascii_present,0x03BDE2,"GIOVANNI : Ha ha !
Bien joué.
Je dirige ce QG
de trafic Pokémon.
Tu vas le payer !",yes,no,major_omission,L'identité et le but du chef Rocket disparaissent.
0x03CFA0,1859,0x03E43C,"
得到金色徽章",0x03DC83,ascii,Got TM 40!,english_ascii_present,0x03DC83,Badge Marais reçu !,yes,no,sequence_shift,Le Badge Marais devient la CT40.
0x03CFA2,1860,0x03E44A,"
得到技能机器40",0x03DC8E,ascii,That TM teaches Psybeam.,english_ascii_present,0x03DC8E,CT40 reçue !,yes,no,sequence_shift,La CT40 devient sa description.
0x03D070,1963,0x03F145,"
火箭队:等等!你居然害我们失业了我们不会饶恕你的!!",0x03E6A6,ascii,Your Pok@mon will cower at my power!,english_ascii_present,0x03E6A6,ROCKET : Tu nous as mis au chômage ! Impardonnable !,yes,no,semantic_replacement,La vengeance des Rockets licenciés disparaît.
0x03D072,1964,0x03F177,"
小智:你们是?",0x03E6CC,ascii,Wait! I was just careless.,english_ascii_present,0x03E6CC,"SACHA :
Qui êtes-vous ?",yes,no,sequence_shift,La question de Sacha devient une défaite.
0x03D084,1973,0x03F244,"
娜梅:你还有什么事嘛!讨厌!",0x03DCAA,ascii,All people have Psychic power. Theyjust don't know it.,english_ascii_present,0x03DCAA,"MORGANE :
Encore toi ? Pff !",yes,no,semantic_replacement,L'agacement de Morgane devient une leçon psy.
0x03D086,1974,0x03F25F,"
你真是个难缠的人......",0x03F033,ascii,Take care of 'em,english_ascii_present,0x03F033,Tu es vraiment coriace...,yes,no,semantic_replacement,Le reproche devient une consigne de soin.
