pointer_reference_hex,chinese_record_index,chinese_offset_hex,chinese_text,english_offset_hex,english_storage,english_text,english_translation_status,french_source_offset_hex,french_text,present_in_french,pointer_redirected_for_french
0x03316D,955,0x03357B,"
裁判:未来的冠军,来到这里真不容易不过挑战四大天王的决胜规则就是将四人一一打败如果输了就从第一人从新打起!加油了!",0x0334D1,ascii,"From here on, you face the Elite Fourone by one! If you win, a door opens to the next trainerGood luck!",english_ascii_present,0x0334D1,Futur Champion ! Bats les quatre de suite. Toute défaite te renvoie au début. Courage !,yes,no
0x03316F,956,0x0335EB,"
女孩:现在就开始四大天王的对战!朝最强努力吧!",0x03353B,ascii,"Here at the Pok@monLeague, you have toface the Elite Fourin succession.",english_ascii_present,0x03353B,"Tu vas affronter
les quatre membres
du Conseil des 4.
Vise la victoire !",yes,no
0x033171,957,0x033618,"
加纳:欢迎来到宠物精灵联盟!我是冰系四天王加纳!还没碰过害怕的东西,让我生气了就让你的精灵动弹不得!哈哈觉悟吧!",0x033583,ascii,"Welcome,I'm Loreleiof the Elite Four! Your Pok@mon will be at my mercy whenthey're frozen solid! Hahaha! Are you ready?",english_ascii_present,0x033583,"Bienvenue !
Je zuis OLGA,
du Conzeil des 4 !
Ma glaze va figer
toute ton équipe !
Ach ! Z'est parti !",yes,no
0x033173,958,0x033684,"
加纳:你到底是什么人物?...好吧,我输了就朝下一个房间前进吧",0x033604,ascii,You're better than I thought! Go on ahead!This was justa taste of Pok@mon League power!,english_ascii_present,0x033604,"Tu es fort.
Z'est bien.
J'ai perdu.
Passe dans la salle
suivante !",yes,no
0x033175,959,0x0336BE,"
西巴:我是地系四天王西巴!不管是精灵或人只要战斗磨练都能变的很强,就靠这中磨练与我的精灵工生存!你是小智吧,来尝尝我们的超级力量吧!",0x03365E,ascii,"I am Bruno of the Elite Four! Throughrigorous training, people and Pok@mon can become strongerAsh! We will grind you with our power!",english_ascii_present,0x03365E,"Mon nom est ALDO,
du Conseil des 4 !
Mes Pokémon et moi,
on adore la muscu !
Sacha, en garde !
À table !",yes,no
0x033177,960,0x03373E,"
西巴:到底是怎么回事?我竟然输了...既然输了,我无话可说,你就前进吧!",0x0336E4,ascii,My job is done! Go face your next challenge!,english_ascii_present,0x0336E4,"J'ai perdu...
Bien joué !
La suite t'attend.",yes,no
0x033179,961,0x033780,"
菊子:我是鬼系四天王菊子,听说真新镇的大木博士相当疼你!大木博士以前是相当强的男人!现在看不出来了,光只是做宠物精灵图鉴是不够的!精灵是要用来战斗的!让我来教你真正的战斗吧!",0x033715,ascii,"I am Agatha of the Elite Four! Oak's taken a lot of int-erest in you,child!That old duff was once tough and han-dsome! Now he just wants to fiddle with his Pok@dex, He's wrong! Pok@monare for fighting! Ash! I'll show you how a real trainer fights!",english_ascii_present,0x033715,"Je suis AGATHA,
du Conseil des 4 !
CHEN mise sur toi.
Ce vieux machin
était fort et beau.
Mais le Pokédex
ne suffit pas :
les Pokémon
servent au combat !
Je vais te montrer
un vrai combat !",yes,no
0x03317B,962,0x033828,"
菊子:真了不起啊,是你胜了,大木博士真有眼光,我心服口服你就朝下一个房间去吧!",0x033814,ascii,"I see what he sees in you now! I have nothing else to sayRun along now,child",english_ascii_present,0x033814,"Je vois pourquoi
CHEN t'apprécie !
J'ai perdu.
Tu peux passer.",yes,no
0x03317D,963,0x033873,"
瓦它诺:你是小智?我是龙系四天王菊子瓦它诺,你应该知道龙是神圣传说中的生物,很难抓但培育的好将是天下第一!一般的攻击对龙系是没用的!开始吧,我会让你夹着尾巴逃跑的!",0x033861,ascii,I heard about you Ilead the Elite FourI am Lance the dra-gon tamer! Dragon'spowers are superiorReady to lose? YourLeague challenge ends with me!,english_ascii_present,0x033861,"Moi, c'est PETER !
Je dirige
le Conseil des 4 !
Les dragons sont
des êtres sacrés.
Durs à capturer,
ils sont presque
invincibles !
Le glas sonne...
Tu vas perdre !",yes,no
0x03317F,964,0x033911,"
瓦它诺:虽然难过但你的技术一流!我想说小智从今开始你是宠物精灵联盟的冠军!但你必须再与一人战斗不可!那位训练家就是...小茂!他比你早战胜我们四天王,所以你们要决出真正的冠军,去吧小智!",0x0338F4,ascii,"I can't believe my dragons lost! You are the League Cha-mpion!...or,you would have been. Another trainer named Gary beat theElite Four before you! He is the realchampion!",english_ascii_present,0x0338F4,"Incroyable !
Tu mérites le titre
de Maître Pokémon !
Enfin...
Pas encore !
RÉGIS a déjà battu
le Conseil des 4.
Bats-le et deviens
le vrai Champion !",yes,no
0x033181,965,0x0339C2,"
小茂:小智啊?你也来了?既然做为对手的你这么弱也没什么好竞争的!我在收集图鉴的同时也找到一些完美的精灵!告诉你吧,我就是世界最强的精灵训练师!!",0x0339A9,ascii,"Hey Ash! I looked all over for power-ful Pokemon and assembled a strong team, now I'm the League Champion! I'm the strongest trainer in the world!",english_ascii_present,0x0339A9,"RÉGIS : Bonjour,
minable. Toi, ici ?
En complétant
mon Pokédex,
j'ai trouvé
l'équipe parfaite !
Je suis le meilleur
Dresseur du monde !",yes,no
0x033183,966,0x033A4C,"
小茂:怎么回事?真的结束了吗?尽了全力却还是输了!好不容易爬到这个地步...为什么我会输...我的培育方法不可能出错的...没办法,你是宠物联盟的新冠军...我真不太想承认",0x037994,ascii,"No! After all that work to become champ, it's over already? Why did I lose? I never made mistakes raising myPok@mon!...Darn it!You're the league champ, although I hate to admit it.",english_ascii_present,0x037994,"RÉGIS :
Quoi ? Déjà fini ?
J'ai tout donné,
mais j'ai perdu...
Tant d'efforts...
Et je perds ?
Mon entraînement
était parfait !
Bon... Tu es
le Champion.
J'ai du mal
à l'admettre...",yes,no
0x033185,967,0x033AE9,"
大木博士:堂堂正正的赢了!恭喜你小智,从你刚开始得到比卡丘开始到现在你真的变强了,应该说你长大了!小茂...真是可惜!听说你战胜四天王而飞奔到这里,但看到你到最后输了!你知道为什么会输吗?因为你忘了给予精灵们信任和感情!所以你再怎么努力也不可能站在高峰的!",0x033A48,ascii,"So,you won! Congra-tulations! You've grown so much sinceyou first left withPikachu, Ash! I'm disappointed Gary, I came when I heardyou became League Champion.But you already lost, do you understand why?You've forgotten totreat your Pok@mon with trust and lovewithout them,you'llnever become champ again.",english_ascii_present,0x033A48,"PROF. CHEN : Bravo,
Sacha !
Pikachu et toi
avez bien grandi.
Régis... Dommage !
Je venais saluer
le Champion.
Mais tu as perdu.
Pourquoi ?
Tu leur as refusé
amour et confiance.
Sans ce lien
tu ne seras jamais
Champion !",yes,no
0x033187,968,0x033BDD,"
大木博士:小智,你能制霸宠物精灵联盟!不是你一个人的力量!是你与精灵之间巧妙的感情!小智你跟我来!",0x033B7F,ascii,"Ash, you understandyour victory was not your own doing!The bond you share with your Pok@mon is marvelous! Come with me,Ash!",english_ascii_present,0x033B7F,"PROF. CHEN :
Sacha ! Ta victoire
vient du lien
qui t'unit
à tes Pokémon.
C'est merveilleux !
Suis-moi !",yes,no
0x033189,969,0x033C3B,"
大木博士:小智,你经过激烈的战斗!而如今成为联盟冠军!在此记录下小智的名字与精灵的名字吧!和我一起回家吧,你妈妈一定很想你",0x033BFE,ascii,"Congratulations AshThis is the Pok@monHall of Fame! The League Champions and their Pok@mon are honored here! Congratulations,Ashyou and your Pok@-mon are Hall of Famers!",english_ascii_present,0x033BFE,PROF. CHEN : Sacha est Champion ! Inscrivons ton nom et tes Pokémon. Rentrons : ta mère t'attend.,yes,no
0x03318B,970,0x033CB1,"
妈妈:听说华蓝市附近有个山洞发生异常,连精灵联盟的四天王加纳都去调查了...",0x033CB1,ascii,"Ash,Lorelei was looking for you,shewent to Cerulean cave.",english_ascii_present,0x033CB1,MAMAN : Étrange phénomène près d'Azuria. Olga enquête...,yes,no
0x03318D,971,0x033CFA,"
裁判:真是抱歉,四天王的加纳因为不在所以现在联盟暂停训练家挑战...加纳好像去华蓝市调查异变去了...",0x033CF0,graphical_codes,"00000000000<B3FC><B3FD>:<B1F5><B0C2><B9FA><B9FB>,<B1E1><B1AD><B4F7><B0BC><B2FC><BDAB><B0E9><B0EA><B0CE><B0B8><B0AD><B0DF><B2F5><B0B8><B3CE><B3CF><B0EF><B3DB><B2DE><B2C5><B1BF><B3FB><B0F2>...<B2FC><BDAB><B1B4><B1B5><B0C7><B4CF><B4D0><B4D1><BDF6><BDAA><BCEC><B3D6><B0C7><B0F8>...",not_translated_in_english,0x033CF0,"ARBITRE :
Désolé.
Olga est absente,
alors la Ligue
suspend les défis.
Elle enquête
à Azuria...",yes,no
0x03318F,972,0x033D5A,"
超梦:......",0x033D5B,ascii,MewTwo:....,english_ascii_present,0x033D5B,MEWTWO : ...,yes,no
0x033191,973,0x033D67,"
加纳:原来发生异变的原因就是这只超梦引起的.",0x033D67,ascii,"There you are Ash! It seems TeamRockethas appeared again,they've gone to Indigo Plateau. Oh!And I have some- thing for you as well, here's a passto go to Navel RockYou can get there by the S.S. Anne. I'll see you at Indigo Plateau Ash.",english_ascii_present,0x033D67,"OLGA : Mewtwo
causait tout ça.",yes,no
0x03319B,978,0x033EA4,"
船员:那个是梦幻船票??那么请进!!欢迎再次来乘做铁达尼号!",0x033E5F,ascii,"Hello, May I see your pass for NavelRock? ...Thank you sir!",english_ascii_present,0x033E5F,Un Ticket Mystik ? Monte à bord ! Bienvenue à nouveau sur l'Océane !,yes,no
0x03319D,979,0x033EDC,"
凤凰:......",0x033EAA,ascii,Ho-oh: Kwee!,english_ascii_present,0x033EAA,HO-OH : ...,yes,no
0x03319F,980,0x033EE9,"
路基亚:......",0x033EEA,ascii,Lugia: Roar!!,english_ascii_present,0x033EEA,LUGIA : ...,yes,no
0x0331A1,981,0x033EF8,"
船员:怎么样,是场神奇的旅行吧.现在精灵联盟因为四天王的加纳又回来了,所以又开始接受新的冠军挑战了!",0x033EF8,ascii,"Welcome to Navel Rock! If you'd liketo leave, just board the S.S.Anne.",english_ascii_present,0x033EF8,"Quel voyage !
Olga est revenue :
la Ligue rouvre !",yes,no
0x0331A3,982,0x033F59,"
加纳:欢迎来到宠物精灵联盟!我是冰系四天王加纳!还没碰过害怕的东西,让我生气了就让你的精灵动弹不得!哈哈觉悟吧!",0x033F45,graphical_codes,"000000000000000000000<B2FC><BDAB>:<B0D2><B0D3><B0FC><B0DB><B0C0><B0C1><B0A1><B0A2><B3CE><B3CF>!<B1C2><B0C2><BAE8><B0AF><B1E1><B1AD><B4F7><B2FC><BDAB>!<B2BD><B2B6><B8A4><B3D4><B3EE><B8AC><B0BC><B0D5><B0D6>,<B2CB><B1C2><B1C9><B4AA><B0F8><B2AB><B2CB><B0C5><B0BC><B0A1><B0A2><B0B2><BBF7><B0CE><B2C1>!<B3BC><B3BC><B5EB><BAB8><B0BE>!",not_translated_in_english,0x033F45,"OLGA : Bienvenue !
Je zuis OLGA,
du Conzeil des 4 !
Ma glaze va figer
toute ton équipe !
Ach ! Z'est parti !",yes,no
0x0331A5,983,0x033FC5,"
加纳:你到底是什么人物?...好吧,我输了就朝下一个房间前进吧",0x033FC5,graphical_codes,"<0A><B2FC><BDAB>:<B0C5><B0DB><B3D5><B0C2><B2AF><B1E6><B2B5><B0C1>?...<B1B4><B0BE>,<B1C2><B3F1><B0F8><B2AB><B3FE><B0F9><B1D1><B0BA><B9EA><BAF1><B3DD><B3DE><B0BE>",not_translated_in_english,0x033FC5,"OLGA : Tu es fort.
Z'est bien.
J'ai perdu.
Passe à la suite !",yes,no
0x0331A7,984,0x033FFF,"
西巴:我是地系四天王西巴!不管是精灵或人只要战斗磨练都能变的很强,就靠这中磨练与我的精灵工生存!你是小智吧,来尝尝我们的超级力量吧!",0x033FFF,graphical_codes,"<0A><B0D6><BBC0>:<B1C2><B0C2><B3BB><B0AF><B1E1><B1AD><B4F7><B0D6><BBC0>!<B0CE><B3A4><B0C2><B0A1><B0A2><B1CB><B2B5><B2BE><B0C3><B0F2><B4B7><BDEC><B2C5><B1C0><B0EC><B3D6><B0BC><B3F7><B2C9>,<B2AB><BAC4><B0EE><B0DC><BDEC><B2C5><B2A1><B1C2><B0BC><B0A1><B0A2><B3B2><B1C9><B0A5>!<B0C5><B0C2><B0B6><B0B7><B0BE>,<B0FC><B7EA><B7EA><B1C2><B2EF><B0BC><B4E4><B8B2><B0E3><B3EC><B0BE>!",not_translated_in_english,0x033FFF,"ALDO : Je suis ALDO
du Conseil des 4 !
Mes Pokémon et moi,
on adore la muscu !
Sacha, en garde !
À table !",yes,no
0x0331A9,985,0x03407F,"
西巴:到底是怎么回事?我竟然输了...既然输了,我无话可说,你就前进吧!",0x03407F,graphical_codes,"<0A><B0D6><BBC0>:<B0DB><B3D5><B0C2><B2D0><B1E6><B2A3><B1D5>?<B1C2><B7D5><B2AA><B3F1><B0F8>...<B2A9><B2AA><B3F1><B0F8>,<B1C2><B3E6><B1EF><B0DE><B1E7>,<B0C5><B2AB><B3DD><B3DE><B0BE>!",not_translated_in_english,0x03407F,"ALDO : Perdu...
Bien joué !
La suite t'attend.",yes,no
0x0331AB,986,0x0340C1,"
菊子:我是鬼系四天王菊子,听说真新镇的大木博士相当疼你!大木博士以前是相当强的男人!现在看不出来了,光只是做宠物精灵图鉴是不够的!精灵是要用来战斗的!让我来教你真正的战斗吧!",0x0340C1,graphical_codes,"<0A><BADE><B1DF>:<B1C2><B0C2><B7B2><B0AF><B1E1><B1AD><B4F7><BADE><B1DF>,<B1F1><B1E7><B1F5><B2D5><B2D6><B0BC><B1BE><B1C3><B1C4><B1C5><B0D0><B2C4><B5F2><B0C5>!<B1BE><B1C3><B1C4><B1C5><B0DF><B3DD><B0C2><B0D0><B2C4><B2C9><B0BC><B1DD><B2B5>!<B2F5><B0B8><B0FD><B0CE><B0A4><B0FC><B0F8>,<B0E4><B2BE><B0C2><B2B4><B0C0><B0C1><B0A1><B0A2><B2F1><B2F2><B0C2><B0CE><B0F1><B0BC>!<B0A1><B0A2><B0C2><B0C3><B1A8><B0FC><B0F2><B4B7><B0BC>!<B2CB><B1C2><B0FC><B7DB><B0C5><B1F5><B2BA><B0BC><B0F2><B4B7><B0BE>!",not_translated_in_english,0x0340C1,"AGATHA :
Conseil des 4 !
CHEN mise sur toi.
Ce vieux machin
était fort et beau.
Mais le Pokédex
ne suffit pas :
les Pokémon
servent au combat !
Montre-moi
ce que tu vaux !",yes,no
0x0331AD,987,0x034169,"
瓦它诺:你是小智?我是龙系四天王菊子瓦它诺,你应该知道龙是神圣传说中的生物,很难抓但培育的好将是天下第一!一般的攻击对龙系是没用的!开始吧,我会让你夹着尾巴逃跑的!",0x034169,graphical_codes,"<0A><BAF4><B6A6><BBCF>:<B0C5><B0C2><B0B6><B0B7>?<B1C2><B0C2><B6D9><B0AF><B1E1><B1AD><B4F7><BADE><B1DF><BAF4><B6A6><BBCF>,<B0C5><B6B9><B3B3><B2D7><B1A4><B6D9><B0C2><B6DD><BCB3><B6F2><B1E7><B0DC><B0BC><B1C9><B0C1>,<B3F7><B4A7><B2C0><B3A8><B6A3><B6D8><B0BC><B1B4><B1D2><B0C2><B1AD><B0F9><B6A7><B1D1>!<B1D1><BAFD><B0BC><B4AB><B4AC><B0E7><B6D9><B0AF><B0C2><B2B6><B1A8><B0BC>!<B1D9><B1DA><B0BE>,<B1C2><B1F9><B2CB><B0C5><BCBB><B1C7><BBD0><BBC0><B3EF><B8B9><B0BC>!",not_translated_in_english,0x034169,"PETER :
Je dirige
le Conseil des 4 !
Les dragons sont
des êtres sacrés.
Durs à capturer,
ils sont presque
invincibles !
Le glas sonne...
Tu vas perdre !",yes,no
0x0331AF,988,0x034207,"
瓦它诺:虽然难过但你的技术一流!不过要想成为真正的冠军就应该进入冠军的房间打败里面的训练师!!他比你早一步打败我们四天王!",0x034207,graphical_codes,<0A><BAF4><B6A6><BBCF>:<B4A4><B2AA><B4A7><B3D4><B3A8><B0C5><B0BC><B4BF><B1AE><B1D1><B9D7>!<B0CE><B3D4><B0C3><B1D7><B2EA><B0EA><B1F5><B2BA><B0BC><B4A1><B4A2><B2AB><B6B9><B3B3><B3DE><B5BB><B4A1><B4A2><B0BC><B9EA><BAF1><B0CF><B6A2><B0BF><B4A8><B0BC><B2DE><B2C5><B2DF>!!<B1F0><B2B2><B0C5><B2BB><B1D1><B7D4><B0CF><B6A2><B1C2><B2EF><B1E1><B1AD><B4F7>!,not_translated_in_english,0x034207,"PETER : Bien joué !
Mais pour être
le vrai Champion,
bats le Dresseur
qui nous a vaincus.
Il t'attend
dans la salle
suivante !",yes,no
0x0331B1,989,0x03427E,"
小智:你们就是新的冠军?啊?难道你们是...",0x03427E,ascii,"Jesse: Long time nosee brat! Our boss has disbanded Team Rocket because of you! James: We plan to take over Indigo Plateau and make sure Team Rocket takes its place as true Pok@mon mast- ers. We can't allowa dreadful little twerp such as your-self stand in our way! Meowth:Hehe, you don't stand a chance against Meowth!",english_ascii_present,0x03427E,"SACHA : C'est vous, les nouveaux Champions ? Hein ? Vous êtes...",yes,no
0x0331CB,1002,0x0343F3,"
小次郎:居然又输了,有本事去挑战我们的新老大!!",0x0343EF,ascii,"James: Again! We lost again to this twerp! Jesse&James: Looks like Team Rocket's blasting off again!Meowth:Hey,Wait forMeowth!",english_ascii_present,0x0343EF,JAMES : Encore battus ! Va défier le nouveau chef !,yes,no
0x0331CD,1003,0x034421,"
武藏:对!!他就在彩虹市的南晶科技开发部!!名字叫卡美优!",0x037A51,ascii,"Once again, congra-tulations Ash! You put an end to Team Rocket, hopefully for good this time.",english_ascii_present,0x037A51,"JESSIE : Oui !
Son nom : Kameiyu !
Il est développeur
chez Nanjing Tech,
à Céladopole !",yes,no
0x0331CF,1004,0x034457,"
喵喵:喵...就是这样",0x037AB1,ascii,You truly are a remarkable trainer Ash!,english_ascii_present,0x037AB1,"MIAOUSS : C'est exact, Miaouss !",yes,no
0x0331D3,1006,0x0344B8,"
大木博士:你又堂堂正正的赢了!恭喜你小智,从你刚开始得到比卡丘开始到现在你真的变强了,应该说你长大了!小智,你能制霸宠物精灵联盟!不是你一个人的力量!是你与精灵之间巧妙的感情!小智你跟我来!",0x03447C,graphical_codes,"0000000000000000000000000000000000000000000000000000000000000<B1BE><B1C3><B1C4><B1C5>:<B0C5><B5B0><BDF2><BDF2><B2BA><B2BA><B0BC><B3F5><B0F8>!<BBA6><B6EB><B0C5><B0B6><B0B7>,<B1FA><B0C5><B2BF><B1D9><B1DA><B2C1><B0DB><B2B2><B2C2><B2C3><B1D9><B1DA><B0DB><B2F5><B0B8><B0C5><B1F5><B0BC><B3D6><B2C9><B0F8>,<B6B9><B3B3><B1E7><B0C5><B2EB><B1BE><B0F8>!<B0B6><B0B7>,<B0C5><B0EC><B2E4><BBD4><B0C0><B0C1><B0A1><B0A2><B3CE><B3CF>!<B0CE><B0C2><B0C5><B1D1><B0BA><B2B5><B0BC><B0E3><B3EC>!<B0C2><B0C5><B2A1><B0A1><B0A2><B3E3><BAF1><BDF5><B7FC><B0BC><B5EA><B7AB>!<B0B6><B0B7><B0C5><B2A2><B1C2><B0FC>!",not_translated_in_english,0x03447C,"PROF. CHEN : Bravo,
Sacha !
Avec Pikachu,
tu as tant grandi !
Grâce au lien noué
avec tes Pokémon,
tu as gagné !
Suis-moi !",yes,no
0x0331D5,1007,0x03456E,"
大木博士:小智,你经过激烈的战斗!而如今成为联盟冠军!在此记录下小智的名字与精灵的名字吧!和我一起回家吧,你妈妈一定很想你",0x03456E,graphical_codes,"<0A><B1BE><B1C3><B1C4><B1C5>:<B0B6><B0B7>,<B0C5><B2A5><B3D4><BAB4><BBC8><B0BC><B0F2><B4B7>!<B1CE><B1FE><B6C9><B2EA><B0EA><B3CE><B3CF><B4A1><B4A2>!<B0B8><BDE7><B2F8><B2F9><B0F9><B0B6><B0B7><B0BC><B3B1><B9B1><B2A1><B0A1><B0A2><B0BC><B3B1><B9B1><B0BE>!<B0C9><B1C2><B1D1><B0E8><B2A3><B1BF><B0BE>,<B0C5><B1DB><B1DB><B1D1><B2B1><B3F7><B1D7><B0C5>",not_translated_in_english,0x03456E,"PROF. CHEN : Bravo,
Sacha !
Te voilà Champion
de la Ligue !
Notons vos noms.
Puis rentrons :
ta mère t'attend.",yes,no
0x0331D7,1008,0x0345E4,"
妈妈:我听说你要去彩虹市的南晶科技开发部挑战名叫卡美优的训练师!听说他的精灵至今还没有被人打败过,你千万要小心啊...",0x0345E4,graphical_codes,"<0A><B1DB><B1DB>:<B1C2><B1F1><B1E7><B0C5><B0C3><B0C7><B6CA><B8FD><B4D1><B0BC><B0A7><B0A8><BDE0><B4BF><B1D9><B2F4><B6C1><B3FB><B0F2><B3B1><B1C1><B2C2><B6A8><B8EE><B0BC><B2DE><B2C5><B2DF>!<B1F1><B1E7><B1F0><B0BC><B0A1><B0A2><BDFA><B6C9><B2BD><B2B6><B0AE><B1B6><B2B5><B0CF><B6A2><B3D4>,<B0C5><B8F9><B4B1><B0C3><B0B6><B0DD><B2AC>...",not_translated_in_english,0x0345E4,"MAMAN : Kameiyu, chez Nanjing Tech à Céladopole, aurait des Pokémon invaincus. Tu vas le défier ? Prudence...",yes,no
0x0331D9,1009,0x034656,"
卡美优:小智,我知道你一定会来的!这一战应该没有任何遗憾吧!!来吧,准备好了吗?",0x037ADC,ascii,Eusine: Greetings! I've heard about you Ash! Glad to meet you! I've searched the world for the greatest Legendary Pok@mon and finally found them! They seem to want to see your power for them- selves! Allow me toshow you the power of the Legendary Pok@mon!,english_ascii_present,0x037ADC,"KAMEIYU : Sacha !
Te voilà,
comme prévu !
Battons-nous
sans aucun regret !
Alors, prêt ?",yes,no
0x0331DB,1010,0x0346A1,"
卡美优:不错,你的实力在这个石英地区已经无人能敌了,但别忘了人外有人天外有天啊,在这个世界上还存在别的大陆...有机会的话一定要去宝石大陆看看,那里有这里所没有的精灵!!!那么你的精灵图鉴如果收集齐了的话再来找我吧!",0x0346A1,ascii,"You're amazing! It seems you've earnedthe respect of the Legendary Pok@mon! If you can find allthe Pok@mon in Kanto, return and speak to me again!",english_ascii_present,0x0346A1,"KAMEIYU : Bravo ! Tu es sans rival à Kanto. Pourtant, il y a plus fort ailleurs. Hoenn a d'autres Pokémon. Reviens, Pokédex complet.",yes,no
