entry_index,english_offset_hex,script_line,layout,source_length,alignment_method,alignment_confidence,pointer_references,chinese_record_indexes,chinese_offsets,chinese_text,english_storage,english_text,fidelity_status,review_note
26,0x030324,135,,28,pointer_table,high,0x03006F,35,0x030334,"
中毒了有损伤",ascii,is hurt due to poison!,pending_semantic_review,
27,0x030341,136,,9,pointer_table,high,0x030071,36,0x030342,"
睡着了",ascii,is asleep,pending_semantic_review,
28,0x03034B,137,,24,pointer_table,high,0x030075,38,0x030358,"
烧伤了有损伤",ascii,is hurt from it's burn!,pending_semantic_review,
29,0x030364,138,,14,pointer_table,high,0x030077,39,0x030366,"
混乱了攻击自己",ascii,is confused,pending_semantic_review,
30,0x030373,139,,13,pointer_table,high,0x030079,40,0x030376,"
冰冻了不能动",ascii,is frozen,pending_semantic_review,
31,0x030381,6031,,16,pointer_table,high,0x03007B,41,0x030384,"
中剧毒了损伤",graphical_codes,0000<B0DC><B7AE><B8D8><B0F8><BBA2><B9C7>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
32,0x030392,6032,,13,pointer_table,high,0x03007D,42,0x030392,"
害怕不能行动",graphical_codes,<0A><B3EE><B8AC><B0CE><B0EC><B3A9><B0B2>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
33,0x0303A1,5820,,5,pointer_table,high,0x03007F,43,0x0303A0,"
上升了",ascii,Rose,pending_semantic_review,
34,0x0303A9,140,,18,pointer_table,high,0x030083,45,0x0303B4,"
不能再上升了",ascii,can't go higher!,pending_semantic_review,
35,0x0303BC,5418,,11,pointer_table,high,0x030085,46,0x0303C2,"
下降了",ascii,Fell,pending_semantic_review,
36,0x0303C8,6033,,13,pointer_table,high,0x030087,47,0x0303CA,"
迅速下降了",graphical_codes,000<BBA4><B9D4><B0F9><BBA5><B0F8>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
37,0x0303D6,141,,15,pointer_table,high,0x030089,48,0x0303D6,"
不能再下降了",ascii,can't go lower,pending_semantic_review,
38,0x0303E6,6034,,4,pointer_table,high,0x03008B,49,0x0303E4,"
谢谢",graphical_codes,<B0D8><B0D8>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
39,0x0303EB,6035,,4,pointer_table,high,0x03008D,50,0x0303EA,"
谢谢",graphical_codes,<B0D8><B0D8>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
40,0x0303F0,6036,,5,pointer_table,high,0x03008F,51,0x0303F0,"
谢谢",graphical_codes,<0A><B0D8><B0D8>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
41,0x0303F6,6037,,5,pointer_table,high,0x030091,52,0x0303F6,"
谢谢",graphical_codes,<0A><B0D8><B0D8>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
42,0x0303FC,6038,,5,pointer_table,high,0x030093,53,0x0303FC,"
谢谢",graphical_codes,<0A><B0D8><B0D8>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
43,0x030403,5419,,5,pointer_table,high,0x030095,54,0x030402,"
什么!?",ascii,What?,pending_semantic_review,
44,0x030409,142,,13,pointer_table,high,0x030097,55,0x03040A,"
的样子...!",ascii,is Evolving!,pending_semantic_review,
45,0x030417,5821,,5,pointer_table,high,0x030099,56,0x030416,"
恭喜!",ascii,Wow!,pending_semantic_review,
46,0x03041D,5420,,10,pointer_table,high,0x03002D,2,0x0301D6,"
啊!野生的",ascii,Oh!A Wild,pending_semantic_review,
47,0x030428,143,,8,exact_offset,medium,,58,0x030428,"
学会了",ascii,learned,pending_semantic_review,
48,0x03043F,144,,24,pointer_table,high,0x0300A7,61,0x030444,"
四个技能已经满了!",ascii,more than 4 moves!,pending_semantic_review,
49,0x030458,6039,,6,pointer_table,high,0x0300A9,62,0x030457,"
要学会",graphical_codes,<B0C3><B4C3><B1F9>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
50,0x03045F,145,,7,pointer_table,high,0x0300B1,66,0x030487,"
将",ascii,Forgot,pending_semantic_review,
51,0x030467,6040,,16,pointer_table,high,0x0300AD,64,0x030472,"
是否",graphical_codes,000000000000<B0C2><B1A1>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
52,0x030479,146,,11,pointer_table,high,0x0300AF,65,0x030478,"
忘记哪个技能?",ascii,Which move?,pending_semantic_review,
53,0x030485,5822,,6,pointer_table,high,0x0300B3,67,0x03048B,"
用法完全忘记了!",ascii,And...,pending_semantic_review,
54,0x03048C,147,,13,pointer_table,high,0x030081,44,0x0303A8,"
迅速上升了",ascii,Greatly Rose,pending_semantic_review,
55,0x03049A,148,,11,pointer_table,high,0x0300B5,68,0x03049C,"
而且学会了",ascii,Learned,pending_semantic_review,
56,0x0304AB,149,,22,pointer_table,high,0x0300BB,71,0x0304B7,"
没有学习",ascii,Did not learn,pending_semantic_review,
57,0x0304C2,6042,,12,pointer_table,high,0x0300BD,72,0x0304C1,"
聚集了太阳光",graphical_codes,<BAB7><B6B8><B0F8><B6C6><BBA7><B0E4>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
58,0x0304CF,6043,,11,pointer_table,high,0x0300BF,73,0x0304CF,"
太阳光射出",graphical_codes,<0A><B6C6><BBA7><B0E4><BBA8><B0A4>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
59,0x0304DB,6044,,11,pointer_table,high,0x0300C1,74,0x0304DB,"
钻到了地下",graphical_codes,<0A><BBA9><B0DB><B0F8><B3BB><B0F9>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
60,0x0304E7,6045,,9,pointer_table,high,0x0300C3,75,0x0304E7,"
迅速攻击",graphical_codes,<0A><BBA4><B9D4><B4AB><B4AC>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
61,0x0304F1,6046,,9,pointer_table,high,0x0300C5,76,0x0304F1,"
蓄集力量",graphical_codes,<0A><BBAA><B6B8><B0E3><B3EC>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
62,0x0304FB,6047,,9,pointer_table,high,0x0300C7,77,0x0304FB,"
全力一击",graphical_codes,<0A><B6C0><B0E3><B1D1><B4AC>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
63,0x030505,6048,,9,pointer_table,high,0x0300C9,78,0x030505,"
蓄集力量",graphical_codes,<0A><BBAA><B6B8><B0E3><B3EC>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
64,0x03050F,6049,,9,pointer_table,high,0x0300CB,79,0x03050F,"
全力一击",graphical_codes,<0A><B6C0><B0E3><B1D1><B4AC>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
65,0x030519,6050,,9,pointer_table,high,0x0300CD,80,0x030519,"
蓄集打消",graphical_codes,<0A><BBAA><B6B8><B0CF><B4F1>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
66,0x030523,6051,,9,pointer_table,high,0x0300CF,81,0x030523,"
飞上高空",graphical_codes,<0A><B1AC><B1E5><B8AF><B1A2>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
67,0x03052D,6052,,9,pointer_table,high,0x0300D1,82,0x03052D,"
舍命一击",graphical_codes,<0A><BBAB><B4B9><B1D1><B4AC>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
68,0x030537,6053,,9,pointer_table,high,0x0300D3,83,0x030537,"
蓄集神力",graphical_codes,<0A><BBAA><B6B8><B6DD><B0E3>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
69,0x030541,6054,,9,pointer_table,high,0x0300D5,84,0x030541,"
神力射出",graphical_codes,<0A><B6DD><B0E3><BBA8><B0A4>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
70,0x03054B,6055,,9,pointer_table,high,0x0300D7,85,0x03054B,"
预知未来",graphical_codes,<0A><B6EC><B2D7><B3E5><B0FC>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
71,0x030555,6056,,17,pointer_table,high,0x0300D9,86,0x030555,"
受到预知未来攻击",graphical_codes,<0A><B4A9><B0DB><B6EC><B2D7><B3E5><B0FC><B4AB><B4AC>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
72,0x030567,6057,,7,pointer_table,high,0x0300DB,87,0x030567,"
吃掉了",graphical_codes,<0A><B9B3><B8AB><B0F8>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
73,0x03056F,6058,,5,pointer_table,high,0x0300DD,88,0x03056F,"
的梦",graphical_codes,<0A><B0BC><B1D6>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
74,0x030575,6059,,7,pointer_table,high,0x0300DF,89,0x030575,"
发怒了",graphical_codes,<0A><B2F4><BAF0><B0F8>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
75,0x03057D,6060,,9,pointer_table,high,0x0300E1,90,0x03057D,"
受到诅咒",graphical_codes,<0A><B4A9><B0DB><B9BA><B9BB>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
76,0x030588,166,,5,pointer_table,high,0x0300E3,91,0x030587,"
战斗",ascii,Fight,pending_semantic_review,
77,0x03058E,167,,5,pointer_table,high,0x0300E5,92,0x03058D,"
背包",ascii,Item,pending_semantic_review,
78,0x030594,168,,4,pointer_table,high,0x0300E7,93,0x030593,"
精灵",ascii,PKMN,pending_semantic_review,
79,0x030599,169,,3,pointer_table,high,0x0300E9,94,0x030599,"
逃跑",ascii,Ru,pending_semantic_review,
80,0x0305E8,175,,6,containing_offset,medium,,113,0x0305E7,"
战斗",ascii,Send,pending_semantic_review,
81,0x0305F5,5426,,9,pointer_table,high,0x030115,116,0x0305F9,"
普  通",ascii,00Item,pending_semantic_review,
82,0x030602,176,,5,pointer_table,high,0x030117,117,0x030601,"
精灵球",ascii,Balls,pending_semantic_review,
83,0x030608,177,,8,pointer_table,high,0x030119,118,0x030609,"
秘传技",ascii,TM/HMs,pending_semantic_review,
84,0x030611,5823,,6,pointer_table,high,0x03011B,119,0x030611,"
贵  重",ascii,KeyItm,pending_semantic_review,
85,0x030618,5427,,7,pointer_table,high,0x03011D,120,0x030619,"
威力:",ascii,PWR :,pending_semantic_review,
86,0x030621,5824,,5,pointer_table,high,0x03011F,121,0x030620,"
命中:",ascii,Acc.:,pending_semantic_review,
87,0x03062E,5825,,5,pointer_table,high,0x030123,123,0x03062E,"
野生",ascii,Wild,pending_semantic_review,
88,0x030634,178,,6,pointer_table,high,0x030125,124,0x030634,"
对手",ascii,Enemy,pending_semantic_review,
89,0x03063B,5421,,9,pointer_table,high,0x030127,125,0x03063A,"
命中要害!",ascii,Critical!,pending_semantic_review,
90,0x030646,179,,18,pointer_table,high,0x030129,126,0x030645,"
使用下一个怪兽吗?",ascii,Send another PKMN?,pending_semantic_review,
91,0x030659,180,,6,pointer_table,high,0x03012B,127,0x030658,"
是  否",ascii,Yes No,pending_semantic_review,
92,0x030660,150,,28,pointer_table,high,0x03012F,129,0x03066C,"
小智要改变怪兽吗?",ascii,Switch Pok@mon?,pending_semantic_review,
93,0x03067D,151,,16,pointer_table,high,0x030131,130,0x03067F,"
等级提升到了",ascii,Grew to level,pending_semantic_review,
94,0x03068E,5422,,15,pointer_table,high,0x030135,132,0x030698,"
已经",ascii,already,pending_semantic_review,
95,0x03069F,5809,,6,pointer_table,high,0x030137,133,0x03069E,"
攻击力",ascii,Attack,pending_semantic_review,
96,0x0306A6,5826,,7,pointer_table,high,0x030139,134,0x0306A6,"
防御力",ascii,Defense,pending_semantic_review,
97,0x0306AF,5827,,5,pointer_table,high,0x03013B,135,0x0306AE,"
特攻",ascii,S.Atk,pending_semantic_review,
98,0x0306B5,5828,,4,pointer_table,high,0x03013D,136,0x0306B4,"
特防",ascii,S.DE,pending_semantic_review,
99,0x0306BA,5829,,5,pointer_table,high,0x03013F,137,0x0306BA,"
速度",ascii,Speed,pending_semantic_review,
100,0x0306C0,5428,,8,pointer_table,high,0x030141,138,0x0306C0,"
命中率",ascii,Accuracy,pending_semantic_review,
101,0x0306C9,181,,13,pointer_table,high,0x030143,139,0x0306C8,"
血值有所恢复",ascii,Recovered HP!,pending_semantic_review,
102,0x0306D7,6063,,9,pointer_table,high,0x030145,140,0x0306D6,"
不能行动!",graphical_codes,<B0CE><B0EC><B3A9><B0B2>!,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
103,0x0306E1,6064,,10,pointer_table,high,0x030147,141,0x0306E1,"
一击必杀!",graphical_codes,<0A><B1D1><B4AC><BAC5><B8BC>!,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
104,0x0306EC,6065,,8,pointer_table,high,0x030149,142,0x0306EC,"
逃跑了!",graphical_codes,<0A><B3EF><B8B9><B0F8>!,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
105,0x0306F5,6066,,8,pointer_table,high,0x03014B,143,0x0306F5,"
不能逃!",graphical_codes,<0A><B0CE><B0EC><B3EF>!,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
106,0x0306FE,6067,,11,pointer_table,high,0x03014D,144,0x0306FE,"
中毒解除了",graphical_codes,<0A><B0DC><B8D8><B9B5><BBB2><B0F8>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
107,0x03070B,182,,8,pointer_table,high,0x03014F,145,0x03070A,"
醒过来了",ascii,Woke up!,pending_semantic_review,
108,0x030714,6068,,11,pointer_table,high,0x030151,146,0x030714,"
麻痹解除了",graphical_codes,<0A><B2ED><B5FA><B9B5><BBB2><B0F8>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
109,0x030720,6069,,11,pointer_table,high,0x030153,147,0x030720,"
烧伤解除了",graphical_codes,<0A><BAE7><B9C7><B9B5><BBB2><B0F8>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
110,0x03072D,5423,,10,pointer_table,high,0x030155,148,0x03072C,"
混乱解除了",ascii,Recovered!,pending_semantic_review,
111,0x030738,6070,,11,pointer_table,high,0x030157,149,0x030738,"
冰冻解除了",graphical_codes,<0A><BAE8><BAD4><B9B5><BBB2><B0F8>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
112,0x030744,6071,,11,pointer_table,high,0x030159,150,0x030744,"
剧毒解除了",graphical_codes,<0A><B7AE><B8D8><B9B5><BBB2><B0F8>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
113,0x030750,6072,,11,pointer_table,high,0x03015B,151,0x030750,"
害怕解除了",graphical_codes,<0A><B3EE><B8AC><B9B5><BBB2><B0F8>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
114,0x03075C,183,,8,pointer_table,high,0x03015D,152,0x03075C,"
得到了",ascii,You got,pending_semantic_review,
115,0x030765,184,,5,pointer_table,high,0x03015F,153,0x030764,"
支付了",ascii,Lost,pending_semantic_review,
116,0x03076B,185,,9,pointer_table,high,0x030161,154,0x03076C,"
和",ascii,Trainer,pending_semantic_review,
117,0x030775,5810,,4,pointer_table,high,0x030163,155,0x030770,"
比试失败了",ascii,Won!,pending_semantic_review,
118,0x03077A,6073,,7,pointer_table,high,0x030165,156,0x03077C,"
需要",graphical_codes,000<B3C7><B0C3>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
119,0x030782,6074,,9,pointer_table,high,0x030167,157,0x030782,"
蓝色徽章",graphical_codes,<0A><B4D0><B4BC><B3D1><B3D2>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
120,0x03078C,6075,,9,pointer_table,high,0x030169,158,0x03078C,"
橙色徽章",graphical_codes,<0A><B7EB><B4BC><B3D1><B3D2>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
121,0x030796,6076,,9,pointer_table,high,0x03016B,159,0x030796,"
粉红徽章",graphical_codes,<0A><BBB3><B5CE><B3D1><B3D2>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
122,0x0307A0,6077,,9,pointer_table,high,0x03016D,160,0x0307A0,"
彩虹徽章",graphical_codes,<0A><B6CA><B8FD><B3D1><B3D2>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
123,0x0307AA,6078,,9,pointer_table,high,0x03016F,161,0x0307AA,"
灰色徽章",graphical_codes,<0A><B4BB><B4BC><B3D1><B3D2>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
124,0x0307B9,6079,,10,pointer_table,high,0x030173,162,0x0307B9,"
不能中毒!",graphical_codes,<0A><B0CE><B0EC><B0DC><B8D8>!,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
125,0x0307C4,6080,,10,pointer_table,high,0x030175,163,0x0307C4,"
不能烧伤!",graphical_codes,<0A><B0CE><B0EC><BAE7><B9C7>!,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
126,0x0307CF,6081,,10,pointer_table,high,0x030177,164,0x0307CF,"
不能冰冻!",graphical_codes,<0A><B0CE><B0EC><BAE8><BAD4>!,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
127,0x0307DA,5830,,6,pointer_table,high,0x030179,165,0x0307DA,"
存放",ascii,Send,pending_semantic_review,
128,0x0307E1,191,,5,pointer_table,high,0x03017B,166,0x0307E0,"
箱子一",ascii,Box 1,pending_semantic_review,
129,0x0307E9,192,,5,pointer_table,high,0x03017D,167,0x0307E8,"
箱子二",ascii,Box 2,pending_semantic_review,
130,0x0307F1,193,,5,pointer_table,high,0x03017F,168,0x0307F0,"
箱子三",ascii,Box 3,pending_semantic_review,
131,0x0307F9,194,,5,pointer_table,high,0x030181,169,0x0307F8,"
箱子四",ascii,Box 4,pending_semantic_review,
132,0x030801,195,,5,pointer_table,high,0x030183,170,0x030800,"
箱子五",ascii,Box 5,pending_semantic_review,
133,0x030809,196,,5,pointer_table,high,0x030185,171,0x030808,"
箱子六",ascii,Box 6,pending_semantic_review,
134,0x030811,197,,5,pointer_table,high,0x030187,172,0x030810,"
箱子七",ascii,Box 7,pending_semantic_review,
135,0x030819,198,,5,pointer_table,high,0x030189,173,0x030818,"
箱子八",ascii,Box 8,pending_semantic_review,
136,0x03081F,5429,,12,pointer_table,high,0x03018B,174,0x030820,"
携带已满!",ascii,Party Full,pending_semantic_review,
137,0x03082C,221,dialogue_intro_17_19,106,pointer_table,high,0x03018D,175,0x03082B,"
你好!欢迎你光临宠物精灵的世界!大家都叫我大木博士,在这世界住着被称为宠物精灵的生物!",ascii,Hello there! Welcome to the world of Pok@mon! My name is OAK! People call me the Pok@mon PROF!,pending_semantic_review,
138,0x030898,152,pokedex_13x4,46,pointer_table,high,0x03201E,744,0x032160,"
在阳光的照耀下种子慢慢生长",ascii,It uses the bulb on it's back to storeenergy.,pending_semantic_review,
139,0x0308C7,153,,11,pointer_table,high,0x0301A9,189,0x030944,"
攻击",ascii,Unleashed!,pending_semantic_review,
140,0x0308D3,204,,12,pointer_table,high,0x030197,180,0x0308E9,"
欢迎光临",ascii,Item Shop,pending_semantic_review,
141,0x0308E1,5831,,3,pointer_table,high,0x030193,178,0x0308E1,"
买",ascii,Buy,pending_semantic_review,
142,0x0308E5,5832,,3,pointer_table,high,0x030195,179,0x0308E5,"
卖",ascii,Sel,pending_semantic_review,
143,0x0308E9,205,,12,pointer_table,high,0x030199 0x03019B,181 182,0x0308F3 0x0308FC,"
买几个?
---

卖几个?",ascii,How Many?,pending_semantic_review,
144,0x0308F6,206,,11,pointer_table,high,0x03019D,183,0x030905,"
交易成功",ascii,Thank you!,pending_semantic_review,
145,0x030902,154,,22,pointer_table,high,0x03019F,184,0x03090F,"
无法交易",ascii,Can't Hold!,pending_semantic_review,
146,0x030919,155,,19,pointer_table,high,0x0301A3,186,0x030921,"
未得到图鉴!",ascii,Don't have!,pending_semantic_review,
147,0x03092D,207,,11,pointer_table,high,0x0301A5,187,0x03092E,"
没有精灵",ascii,No Pokemon!,pending_semantic_review,
148,0x030939,208,,16,pointer_table,high,0x0301A7,188,0x030938,"
也有所损伤",ascii,Hit with recoil!,pending_semantic_review,
149,0x03094A,6061,,9,pointer_table,high,0x0301AB,190,0x03094A,"
受到诅咒",graphical_codes,0<B4A9><B0DB><B9BA><B9BB>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
150,0x030955,156,,29,pointer_table,high,0x0301B1,193,0x030966,"
血值恢复了",ascii,Regained HP!,pending_semantic_review,
151,0x030AB5,157,,19,pointer_table,high,0x030037,7,0x030202,"
经验值得到了!",ascii,Experience Gained!,pending_semantic_review,
152,0x030AC9,158,,17,pointer_table,high,0x0301A1,185,0x030919,"
钱不够",ascii,Can't Afford it!,pending_semantic_review,
153,0x030ADB,159,,9,pointer_table,high,0x03004B,17,0x030284,"
打败了",ascii,Defeated,pending_semantic_review,
154,0x030AE5,160,,14,pointer_table,high,0x0301AD,191,0x030954,"
撞击",ascii,Used Struggle!,pending_semantic_review,
155,0x030F83,5557,,10,pointer_table,high,0x03168D,561,0x0317FA,"
梦幻船票",ascii,Secret Key,pending_semantic_review,
156,0x030F8E,5447,,8,pointer_table,high,0x031675,549,0x03179A,"
叶之石",ascii,LeafSton,pending_semantic_review,
157,0x0310FB,5835,,5,unaligned,low,,,,,ascii,Ember,unaligned_or_non_dialogue,
158,0x031101,5896,,6,pointer_table,high,0x030F9B,353,0x031100,"
火炎车",graphical_codes,<B0C7><B0C9><B0CB>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
159,0x031108,5897,,6,pointer_table,high,0x030F9D,354,0x031108,"
炎之拳",graphical_codes,<B0CD><B0CF><B0D1>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
160,0x03110F,5898,,8,pointer_table,high,0x030F9F,355,0x031110,"
火炎放射",graphical_codes,<B0D3><B0D5><B0D7><B0D9>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
161,0x031118,5899,,6,pointer_table,high,0x030FA1,356,0x03111A,"
神圣火焰",graphical_codes,<B0DB><B0DD><B0DF>,english_graphical_residual,La ROM anglaise conserve des codes graphiques; ce texte n'est pas une chaîne anglaise lisible.
