stable_key,record_type,offset_hex,layout,max_len,chinese_text,source_en,fr_text,source_alignment
MAIN:0x030373,MAIN,0x030373,,13,"
冰冻了不能动",0000is frozen,0000 est gelé !,unique
MAIN:0x030381,MAIN,0x030381,,16,"
中剧毒了损伤",0000<B0DC><B7AE><B8D8><B0F8><BBA2><B9C7>, souffre du poison !,unique
MAIN:0x030392,MAIN,0x030392,,13,"
害怕不能行动",<0A><B3EE><B8AC><B0CE><B0EC><B3A9><B0B2>, a trop peur !,unique
MAIN:0x0303A1,MAIN,0x0303A1,,5,"
上升了", Rose, monte !,unique
MAIN:0x0303A9,MAIN,0x0303A9,,18,"
不能再上升了",  can't go higher!, au maximum !,unique
MAIN:0x0303BC,MAIN,0x0303BC,,11,"
下降了",000000 Fell,000000 baisse !,unique
MAIN:0x0303C8,MAIN,0x0303C8,,13,"
迅速下降了",000<BBA4><B9D4><B0F9><BBA5><B0F8>, baisse fort !,unique
MAIN:0x0303D6,MAIN,0x0303D6,,15,"
不能再下降了", can't go lower, au minimum !,unique
MAIN:0x0303E6,MAIN,0x0303E6,,4,"
谢谢",<B0D8><B0D8>,Merci,unique
MAIN:0x0303EB,MAIN,0x0303EB,,4,"
谢谢",<B0D8><B0D8>,Merci,unique
MAIN:0x0303F0,MAIN,0x0303F0,,5,"
谢谢",<0A><B0D8><B0D8>,Merci,unique
MAIN:0x0303F6,MAIN,0x0303F6,,5,"
谢谢",<0A><B0D8><B0D8>,Merci,unique
MAIN:0x0303FC,MAIN,0x0303FC,,5,"
谢谢",<0A><B0D8><B0D8>,Merci,unique
MAIN:0x030403,MAIN,0x030403,,5,"
什么!?",What?,Hein ?,unique
MAIN:0x030409,MAIN,0x030409,,13,"
的样子...!", is Evolving!, évolue !,unique
MAIN:0x030417,MAIN,0x030417,,5,"
恭喜!",Wow! ,Bravo ! ,unique
MAIN:0x03041D,MAIN,0x03041D,,10,"
啊!野生的",Oh!A Wild ,Un ,unique
MAIN:0x030428,MAIN,0x030428,,8,, learned, apprend,non_aligne
MAIN:0x03043F,MAIN,0x03043F,,24,"
四个技能已经满了!",000000more than 4 moves!,000000déjà 4 attaques !,unique
MAIN:0x030458,MAIN,0x030458,,6,"
要学会",<B0C3><B4C3><B1F9>, veut apprendre ,unique
MAIN:0x03045F,MAIN,0x03045F,,7,"
将",Forgot ,L'attaque ,unique
MAIN:0x030467,MAIN,0x030467,,16,"
是否",000000000000<B0C2><B1A1>,Oui / Non,unique
MAIN:0x030479,MAIN,0x030479,,11,"
忘记哪个技能?",Which move?,Quelle attaque ?,unique
MAIN:0x030485,MAIN,0x030485,,6,"
用法完全忘记了!",And...,est oubliée !,unique
MAIN:0x03048C,MAIN,0x03048C,,13,"
迅速上升了", Greatly Rose, monte fort !,unique
MAIN:0x03049A,MAIN,0x03049A,,11,"
而且学会了",000Learned ,000Attaque apprise :,unique
MAIN:0x0304A9,MAIN,0x0304A9,,1,"
吗?",?, ?,unique
MAIN:0x0304AB,MAIN,0x0304AB,,22,"
没有学习",00000000 Did not learn,00000000 n'apprend pas,unique
MAIN:0x0304C2,MAIN,0x0304C2,,12,"
聚集了太阳光",<BAB7><B6B8><B0F8><B6C6><BBA7><B0E4>, rayonne !,unique
MAIN:0x0304CF,MAIN,0x0304CF,,11,"
太阳光射出",<0A><B6C6><BBA7><B0E4><BBA8><B0A4>, se décharge !,unique
MAIN:0x0304DB,MAIN,0x0304DB,,11,"
钻到了地下",<0A><BBA9><B0DB><B0F8><B3BB><B0F9>, creuse un trou !,unique
MAIN:0x0304E7,MAIN,0x0304E7,,9,"
迅速攻击",<0A><BBA4><B9D4><B4AB><B4AC>, frappe vite !,unique
MAIN:0x0304F1,MAIN,0x0304F1,,9,"
蓄集力量",<0A><BBAA><B6B8><B0E3><B3EC>, se concentre !,unique
MAIN:0x0304FB,MAIN,0x0304FB,,9,"
全力一击",<0A><B6C0><B0E3><B1D1><B4AC>, frappe à fond !,unique
MAIN:0x030505,MAIN,0x030505,,9,"
蓄集力量",<0A><BBAA><B6B8><B0E3><B3EC>, se concentre !,unique
MAIN:0x03050F,MAIN,0x03050F,,9,"
全力一击",<0A><B6C0><B0E3><B1D1><B4AC>, frappe à fond !,unique
MAIN:0x030519,MAIN,0x030519,,9,"
蓄集打消",<0A><BBAA><B6B8><B0CF><B4F1>,cesse de se concentrer !,unique
MAIN:0x030523,MAIN,0x030523,,9,"
飞上高空",<0A><B1AC><B1E5><B8AF><B1A2>, s'envole !,unique
MAIN:0x03052D,MAIN,0x03052D,,9,"
舍命一击",<0A><BBAB><B4B9><B1D1><B4AC>, se sacrifie !,unique
MAIN:0x030537,MAIN,0x030537,,9,"
蓄集神力",<0A><BBAA><B6B8><B6DD><B0E3>, se concentre !,unique
MAIN:0x030541,MAIN,0x030541,,9,"
神力射出",<0A><B6DD><B0E3><BBA8><B0A4>, libère sa force !,unique
MAIN:0x03054B,MAIN,0x03054B,,9,"
预知未来",<0A><B6EC><B2D7><B3E5><B0FC>, prévoit un coup !,unique
MAIN:0x030555,MAIN,0x030555,,17,"
受到预知未来攻击",<0A><B4A9><B0DB><B6EC><B2D7><B3E5><B0FC><B4AB><B4AC>, subit Prescience !,unique
MAIN:0x030567,MAIN,0x030567,,7,"
吃掉了",<0A><B9B3><B8AB><B0F8>, dévore le rêve de ,unique
MAIN:0x03056F,MAIN,0x03056F,,5,"
的梦",<0A><B0BC><B1D6>, !,unique
MAIN:0x030575,MAIN,0x030575,,7,"
发怒了",<0A><B2F4><BAF0><B0F8>, enrage !,unique
MAIN:0x03057D,MAIN,0x03057D,,9,"
受到诅咒",<0A><B4A9><B0DB><B9BA><B9BB>, maudit !,unique
MAIN:0x030588,MAIN,0x030588,,5,"
战斗",Fight,ATQ.,unique
MAIN:0x03058E,MAIN,0x03058E,,5,"
背包", Item,Objet,unique
MAIN:0x030594,MAIN,0x030594,,4,"
精灵",PKMN,PKMN,unique
MAIN:0x030599,MAIN,0x030599,,3,"
逃跑", Ru,Fuite,unique
MAIN:0x0305E8,MAIN,0x0305E8,,6,,Send  ,Combat,non_aligne
MAIN:0x0305F5,MAIN,0x0305F5,,9,"
普  通",   00Item,   00Objet,unique
MAIN:0x030602,MAIN,0x030602,,5,"
精灵球",Balls,Balle,unique
MAIN:0x030608,MAIN,0x030608,,8,"
秘传技",00TM/HMs,00CT/CS ,unique
MAIN:0x030611,MAIN,0x030611,,6,"
贵  重",KeyItm,ObjClé,unique
MAIN:0x030618,MAIN,0x030618,,7,"
威力:",00PWR :,00PUI :,unique
MAIN:0x030621,MAIN,0x030621,,5,"
命中:",Acc.:,Préc.,unique
MAIN:0x03062E,MAIN,0x03062E,,5,"
野生",Wild ,Sauv. ,unique
MAIN:0x030634,MAIN,0x030634,,6,"
对手",Enemy , ,unique
MAIN:0x03063B,MAIN,0x03063B,,9,"
命中要害!",Critical!,Critique !,unique
MAIN:0x030646,MAIN,0x030646,,18,"
使用下一个怪兽吗?",Send another PKMN?,Changer de Pokémon ?,unique
MAIN:0x030659,MAIN,0x030659,,6,"
是  否",Yes No,Oui Non,unique
MAIN:0x030660,MAIN,0x030660,,28,"
小智要改变怪兽吗?",0000000000000Switch Pok@mon?,0000000000000Changer de Pokémon ?,unique
MAIN:0x03067D,MAIN,0x03067D,,16,"
等级提升到了",000Grew to level,000Monte au niv. ,unique
MAIN:0x03068E,MAIN,0x03068E,,15,"
已经",0000000already ,0000000Statut inchangé !,unique
MAIN:0x03069F,MAIN,0x03069F,,6,"
攻击力",Attack,: Attaque,unique
MAIN:0x0306A6,MAIN,0x0306A6,,7,"
防御力",Defense,: Défense,unique
MAIN:0x0306AF,MAIN,0x0306AF,,5,"
特攻",S.Atk,: Atq.Spé,unique
MAIN:0x0306B5,MAIN,0x0306B5,,4,"
特防",S.DE,: Déf.Spé,unique
MAIN:0x0306BA,MAIN,0x0306BA,,5,"
速度",Speed,: Vitesse,unique
MAIN:0x0306C0,MAIN,0x0306C0,,8,"
命中率",Accuracy,: Préc.,unique
MAIN:0x0306C9,MAIN,0x0306C9,,13,"
血值有所恢复",Recovered HP!,PV restaurés !,unique
MAIN:0x0306D7,MAIN,0x0306D7,,9,"
不能行动!",<B0CE><B0EC><B3A9><B0B2>!, immobile !,unique
MAIN:0x0306E1,MAIN,0x0306E1,,10,"
一击必杀!",<0A><B1D1><B4AC><BAC5><B8BC>!,K.O. en un coup !,unique
MAIN:0x0306EC,MAIN,0x0306EC,,8,"
逃跑了!",<0A><B3EF><B8B9><B0F8>!, s'est enfui !,unique
MAIN:0x0306F5,MAIN,0x0306F5,,8,"
不能逃!",<0A><B0CE><B0EC><B3EF>!, ne peut pas fuir !,unique
MAIN:0x0306FE,MAIN,0x0306FE,,11,"
中毒解除了",<0A><B0DC><B8D8><B9B5><BBB2><B0F8>, est guéri !,unique
MAIN:0x03070B,MAIN,0x03070B,,8,"
醒过来了",Woke up!, se réveille !,unique
MAIN:0x030714,MAIN,0x030714,,11,"
麻痹解除了",<0A><B2ED><B5FA><B9B5><BBB2><B0F8>, n'est plus paralysé !,unique
MAIN:0x030720,MAIN,0x030720,,11,"
烧伤解除了",<0A><BAE7><B9C7><B9B5><BBB2><B0F8>, n'est plus brûlé !,unique
MAIN:0x03072D,MAIN,0x03072D,,10,"
混乱解除了",Recovered!,Confusion dissipée !,unique
MAIN:0x030738,MAIN,0x030738,,11,"
冰冻解除了",<0A><BAE8><BAD4><B9B5><BBB2><B0F8>, n'est plus gelé !,unique
MAIN:0x030744,MAIN,0x030744,,11,"
剧毒解除了",<0A><B7AE><B8D8><B9B5><BBB2><B0F8>, est guéri !,unique
MAIN:0x030750,MAIN,0x030750,,11,"
害怕解除了",<0A><B3EE><B8AC><B9B5><BBB2><B0F8>, n'a plus peur !,unique
MAIN:0x03075C,MAIN,0x03075C,,8,"
得到了",You got ,Reçu : ,unique
MAIN:0x030765,MAIN,0x030765,,5,"
支付了",Lost ,Sacha perd ,unique
MAIN:0x03076B,MAIN,0x03076B,,9,"
和",00Trainer,00Dresseur ,unique
MAIN:0x030775,MAIN,0x030775,,4,"
比试失败了",Won!,gagne !,unique
MAIN:0x03077A,MAIN,0x03077A,,7,"
需要",000<B3C7><B0C3>,Requis : ,unique
MAIN:0x030782,MAIN,0x030782,,9,"
蓝色徽章",<0A><B4D0><B4BC><B3D1><B3D2>,Badge Cascade,unique
MAIN:0x03078C,MAIN,0x03078C,,9,"
橙色徽章",<0A><B7EB><B4BC><B3D1><B3D2>,Badge Foudre,unique
MAIN:0x030796,MAIN,0x030796,,9,"
粉红徽章",<0A><BBB3><B5CE><B3D1><B3D2>,Badge Âme,unique
MAIN:0x0307A0,MAIN,0x0307A0,,9,"
彩虹徽章",<0A><B6CA><B8FD><B3D1><B3D2>,Badge Prisme,unique
MAIN:0x0307AA,MAIN,0x0307AA,,9,"
灰色徽章",<0A><B4BB><B4BC><B3D1><B3D2>,Badge Roche,unique
MAIN:0x0307B9,MAIN,0x0307B9,,10,"
不能中毒!",<0A><B0CE><B0EC><B0DC><B8D8>!,"
Résiste au poison !",unique
MAIN:0x0307C4,MAIN,0x0307C4,,10,"
不能烧伤!",<0A><B0CE><B0EC><BAE7><B9C7>!,"
Résiste aux brûlures !",unique
MAIN:0x0307CF,MAIN,0x0307CF,,10,"
不能冰冻!",<0A><B0CE><B0EC><BAE8><BAD4>!,"
Résiste au gel !",unique
MAIN:0x0307DA,MAIN,0x0307DA,,6,"
存放",Send  ,Envoi ,unique
MAIN:0x0307E1,MAIN,0x0307E1,,5,"
箱子一",Box 1,Bte 1,unique
MAIN:0x0307E9,MAIN,0x0307E9,,5,"
箱子二",Box 2,Bte 2,unique
MAIN:0x0307F1,MAIN,0x0307F1,,5,"
箱子三",Box 3,Bte 3,unique
MAIN:0x0307F9,MAIN,0x0307F9,,5,"
箱子四",Box 4,Bte 4,unique
MAIN:0x030801,MAIN,0x030801,,5,"
箱子五",Box 5,Bte 5,unique
MAIN:0x030809,MAIN,0x030809,,5,"
箱子六",Box 6,Bte 6,unique
MAIN:0x030811,MAIN,0x030811,,5,"
箱子七",Box 7,Bte 7,unique
MAIN:0x030819,MAIN,0x030819,,5,"
箱子八",Box 8,Bte 8,unique
MAIN:0x03081F,MAIN,0x03081F,,12,"
携带已满!",00Party Full,00Équipe plei,unique
MAIN:0x03082C,MAIN,0x03082C,dialogue_intro_17_19,106,"
你好!欢迎你光临宠物精灵的世界!大家都叫我大木博士,在这世界住着被称为宠物精灵的生物!",Hello there!     Welcome to the     world of Pok@mon!  My name is OAK!    People call me the Pok@mon PROF!,"PROF. CHEN :
Bien le bonjour !
Bienvenue !
Voici le monde
des Pokémon !
Moi, c'est Chen,
le Prof Pokémon !
Ici vivent
des créatures
appelées Pokémon !",unique
MAIN:0x030898,MAIN,0x030898,pokedex_13x4,46,"
在阳光的照耀下种子慢慢生长",It uses the  bulb on it's back to storeenergy.,Il stocke de l'énergie dans le bulbe de son dos.,unique
MAIN:0x0308C7,MAIN,0x0308C7,,11,"
攻击", Unleashed!, Déchaîne !,unique
MAIN:0x0308D3,MAIN,0x0308D3,,12,"
欢迎光临",0Item   Shop,0Magasin    ,unique
MAIN:0x0308E1,MAIN,0x0308E1,,3,"
买",Buy,Achat,unique
MAIN:0x0308E5,MAIN,0x0308E5,,3,"
卖",Sel,Vente,unique
MAIN:0x0308E9,MAIN,0x0308E9,,12,"
买几个?
---

卖几个?",How    Many?,Combien ?   ,multiple
MAIN:0x0308F6,MAIN,0x0308F6,,11,"
交易成功",Thank  you!,Merci !    ,unique
MAIN:0x030902,MAIN,0x030902,,22,"
无法交易",0000000000Can't  Hold!,0000000000Sac plein ! ,unique
MAIN:0x030919,MAIN,0x030919,,19,"
未得到图鉴!",00000000Don't have!,00000000Indisponible,unique
MAIN:0x03092D,MAIN,0x03092D,,11,"
没有精灵",No Pokemon!,Pas de PKMN,unique
MAIN:0x030939,MAIN,0x030939,,16,"
也有所损伤",Hit with recoil!,Dégâts de recul !,unique
MAIN:0x03094A,MAIN,0x03094A,,9,"
受到诅咒",0<B4A9><B0DB><B9BA><B9BB>, maudit !,unique
MAIN:0x030955,MAIN,0x030955,,29,"
血值恢复了",00000000000000000Regained HP!,00000000000000000PV restaurés !,unique
MAIN:0x030AB5,MAIN,0x030AB5,,19,"
经验值得到了!", Experience Gained!, EXP gagnés !,unique
MAIN:0x030AC9,MAIN,0x030AC9,,17,"
钱不够",Can't  Afford it!,Pas assez d'argent !,unique
MAIN:0x030ADB,MAIN,0x030ADB,,9,"
打败了",Defeated ,"Sacha a vaincu
",unique
MAIN:0x030AE5,MAIN,0x030AE5,,14,"
撞击",Used Struggle!,Lance Lutte !,unique
MAIN:0x030F83,MAIN,0x030F83,,10,"
梦幻船票",Secret Key,CléSec.,unique
MAIN:0x030F8E,MAIN,0x030F8E,,8,"
叶之石",LeafSton,P.Plte,unique
MAIN:0x0310FB,MAIN,0x0310FB,,5,,Ember,Flammèch,non_aligne
MAIN:0x031101,MAIN,0x031101,,6,"
火炎车",<B0C7><B0C9><B0CB>,Roue Feu,unique
MAIN:0x031108,MAIN,0x031108,,6,"
炎之拳",<B0CD><B0CF><B0D1>,Poing Feu,unique
MAIN:0x03110F,MAIN,0x03110F,,8,"
火炎放射",<B0D3><B0D5><B0D7><B0D9>,LanceFlam.,unique
MAIN:0x031118,MAIN,0x031118,,6,"
神圣火焰",<B0DB><B0DD><B0DF>,Feu Sacré,unique
MAIN:0x03111F,MAIN,0x03111F,,6,"
大文字烧",<B0E1><B0E3><B0E5>,Déflagr.,unique
MAIN:0x031126,MAIN,0x031126,,5,"
喷火",Erupt,Éruption,unique
MAIN:0x03112C,MAIN,0x03112C,,4,"
鬼火",Wisp,Feu Follet,unique
MAIN:0x031131,MAIN,0x031131,,6,"
泡泡",Bubble,Écume,unique
MAIN:0x031138,MAIN,0x031138,,6,"
水枪",<B561><B563><B565>,Pistolet O,unique
MAIN:0x031142,MAIN,0x031142,,6,"
水之波动",<B0E7><B0E9><B0EB>,Vibraqua,unique
MAIN:0x031149,MAIN,0x031149,,6,"
泡泡光线",<B0ED><B0EF><B0F1>,Bulles d'O,unique
MAIN:0x031150,MAIN,0x031150,,6,"
墨汁炮",<B567><B569><B56B>,Octazook,unique
MAIN:0x03115A,MAIN,0x03115A,,6,"
大钳槌",<B0F3><B0F5><B0F7>,PinceMasse,unique
MAIN:0x031166,MAIN,0x031166,,6,"
高压水泵",<B56D><B56F><B571>,Hydrocan,unique
MAIN:0x031170,MAIN,0x031170,,6,"
喷水",<B0F9><B0FB><B0FD>,Tourniq.,unique
MAIN:0x031177,MAIN,0x031177,,5,"
贝壳夹",Clamp,Claquoir,unique
MAIN:0x03117D,MAIN,0x03117D,,8,"
躲进贝壳",Withdraw,Repli,unique
MAIN:0x031186,MAIN,0x031186,,8,"
电气",<B1A1><B1A3><B1A5><B1A7>,Éclair,unique
MAIN:0x03118F,MAIN,0x03118F,,6,"
电击波",<B1A9><B1AB><B1AD>,Onde de Choc,unique
MAIN:0x031196,MAIN,0x031196,,5,"
电火花",Spark,Étincell,unique
MAIN:0x03119C,MAIN,0x03119C,,8,"
闪电拳",<B1AF><B1B1><B1B3><B1B5>,Poing-Écl.,unique
MAIN:0x0311A5,MAIN,0x0311A5,,8,"
十万伏特",<B1B7><B1B9><B1BB><B1BD>,Tonnerre,unique
MAIN:0x0311AE,MAIN,0x0311AE,,6,"
电磁炮",<B1BF><B1C1><B1C3>,Élecanon,unique
MAIN:0x0311B5,MAIN,0x0311B5,,6,"
高压电击",<B1C5><B1C7><B1C9>,Électacl,unique
MAIN:0x0311BC,MAIN,0x0311BC,,7,"
雷电",Thunder,FatalFoud.,unique
MAIN:0x0311C4,MAIN,0x0311C4,,8,"
电磁波",<B1CB><B1CD><B1CF><B1D1>,CageÉclair,unique
MAIN:0x0311CD,MAIN,0x0311CD,,6,"
吸取",Avsorb,Vol-Vie,unique
MAIN:0x0311D4,MAIN,0x0311D4,,6,"
百力吸取",<B1D3><B1D5><B1D7>,Méga-Sang.,unique
MAIN:0x0311DB,MAIN,0x0311DB,,6,"
亿力吸取",<B1D9><B1DB><B1DD>,FeuilMagik,unique
MAIN:0x0311E2,MAIN,0x0311E2,,4,"
蔓藤鞭",<B573><B575>,FouetLiane,unique
MAIN:0x0311E7,MAIN,0x0311E7,,4,,Whip,Fou.,non_aligne
MAIN:0x0311EC,MAIN,0x0311EC,,6,"
飞叶快刀",<B1DF><B1E1><B1E3>,TranchHerb,unique
MAIN:0x0311F3,MAIN,0x0311F3,,6,"
魔叶斩",<B1E5><B1E7><B1E9>,Poing Dard,unique
MAIN:0x0311FA,MAIN,0x0311FA,,4,"
刃叶斩",<B577><B579>,CanonGrain,unique
MAIN:0x0311FF,MAIN,0x0311FF,,4,,Bomb,Bomb,non_aligne
MAIN:0x031204,MAIN,0x031204,,6,"
太阳光线",<B1EB><B1ED><B1EF>,Lance-Sol.,unique
MAIN:0x03120B,MAIN,0x03120B,,6,"
硬化植物",<B1F1><B1F3><B1F5>,Végé-Att.,unique
MAIN:0x031212,MAIN,0x031212,,8,"
草笛",<B1F7><B1F9><B1FB><B1FD>,Siffl'Herb,unique
MAIN:0x03121B,MAIN,0x03121B,,8,"
催眠粉",<B1FF><B101><B103><B105>,PoudreDodo,unique
MAIN:0x031224,MAIN,0x031224,,5,"
蘑菇孢子",Spore,Spore,unique
MAIN:0x03122A,MAIN,0x03122A,,6,"
麻痹粉",<B107><B109><B10B>,Para-Spore,unique
MAIN:0x031231,MAIN,0x031231,,6,"
细雪",<B10D><B10F><B111>,Poudreus,unique
MAIN:0x031238,MAIN,0x031238,,8,"
冰结之风",Icy Wind,Vent Glace,unique
MAIN:0x031241,MAIN,0x031241,,6,"
极光光线",<B113><B115><B117>,BriseGlace,unique
MAIN:0x031248,MAIN,0x031248,,6,"
冷冻拳",<B57B><B57D><B57F>,Poinglace,unique
MAIN:0x031252,MAIN,0x031252,,8,"
冷冻光线",Ice Beam,LaserGlace,unique
MAIN:0x03125B,MAIN,0x03125B,,8,"
吹雪",Blizzard,Blizzard,unique
MAIN:0x031264,MAIN,0x031264,,6,"
绝对零度",<B119><B11B><B11D>,Glaciat.,unique
MAIN:0x03126B,MAIN,0x03126B,,8,"
扔泥",Mud Slap,Coud'Boue,unique
MAIN:0x031274,MAIN,0x031274,,8,"
泥浆喷射",Mud Shot,TirBoue,unique
MAIN:0x03127D,MAIN,0x03127D,,3,"
挖洞",Dig,Tunnel,unique
MAIN:0x031281,MAIN,0x031281,,4,"
骨头击",<B581><B583>,Massd'Os,unique
MAIN:0x031286,MAIN,0x031286,,4,,Club,Mas.,non_aligne
MAIN:0x03128B,MAIN,0x03128B,,6,"
地震",<B11F><B121><B123>,Séisme,unique
MAIN:0x031292,MAIN,0x031292,,10,"
骨头旋镖",0000<B129><B12B><B12D>,0000Osmerang,unique
MAIN:0x03129D,MAIN,0x03129D,,11,"
地裂",0000Fissure,0000Abîme  ,unique
MAIN:0x0312A9,MAIN,0x0312A9,,6,"
扔沙",<B133><B135><B137>,JetSable,unique
MAIN:0x0312B0,MAIN,0x0312B0,,6,"
落石",<B139><B13B><B13D>,JetPierres,unique
MAIN:0x0312B7,MAIN,0x0312B7,,4,"
岩石封杀",<B585><B587>,Tomberoc,unique
MAIN:0x0312BC,MAIN,0x0312BC,,4,,Tomb,Tomb,non_aligne
MAIN:0x0312C1,MAIN,0x0312C1,,8,"
原始力量",<B13F><B141><B143><B145>,PouvAntiq.,unique
MAIN:0x0312CA,MAIN,0x0312CA,,6,"
岩崩",<B147><B149><B14B>,Éboulem.,unique
MAIN:0x0312D1,MAIN,0x0312D1,,6,"
吸血",<B14D><B14F><B151>,Vampir.,unique
MAIN:0x0312D8,MAIN,0x0312D8,,6,"
双针",<B153><B155><B157>,DoubleDard,unique
MAIN:0x0312DF,MAIN,0x0312DF,,6,"
银色之风",<B159><B15B><B15D>,VentArgent,unique
MAIN:0x0312E6,MAIN,0x0312E6,,6,"
信号光线",<B15F><B161><B163>,RayonSign.,unique
MAIN:0x0312ED,MAIN,0x0312ED,,4,"
威力角突",<B589><B58B>,Mégacorn,unique
MAIN:0x0312F2,MAIN,0x0312F2,,4,,Horn,Corn,non_aligne
MAIN:0x0312F7,MAIN,0x0312F7,,4,"
萤火",<B58D><B58F>,Lumiqueue,unique
MAIN:0x0312FC,MAIN,0x0312FC,,4,,Glow,Halo,non_aligne
MAIN:0x031301,MAIN,0x031301,,6,"
吐丝",<B165><B167><B169>,Sécrét.,unique
MAIN:0x031308,MAIN,0x031308,,10,"
毒针",0000<B16F><B171><B173>,0000Dard-Venin,unique
MAIN:0x031313,MAIN,0x031313,,4,"
烟雾",Smog,Purédp.,unique
MAIN:0x031318,MAIN,0x031318,,4,"
溶解液",Acid,Acide,unique
MAIN:0x03131D,MAIN,0x03131D,,6,"
毒尾巴",<B175><B177><B179>,QueuePois.,unique
MAIN:0x031324,MAIN,0x031324,,6,"
剧毒之牙",<B17B><B17D><B17F>,Croc Venin,unique
MAIN:0x03132B,MAIN,0x03132B,,6,"
泥攻击",Sludge,Détritus,unique
MAIN:0x031332,MAIN,0x031332,,6,"
泥爆弹",<B181><B183><B185>,Bomb-Beurk,unique
MAIN:0x031339,MAIN,0x031339,,10,"
毒烟",0000<B18B><B18D><B18F>,0000Gaz Toxik,unique
MAIN:0x031344,MAIN,0x031344,,5,"
剧毒",Toxic,Toxik,unique
MAIN:0x03134A,MAIN,0x03134A,,8,"
岩碎",Low Kick,Balayage,unique
MAIN:0x031353,MAIN,0x031353,,6,"
音速拳",<B191><B193><B195>,Éclate-Roc,unique
MAIN:0x03135A,MAIN,0x03135A,,6,"
空手切",<B197><B199><B19B>,PoingKarat,unique
MAIN:0x031361,MAIN,0x031361,,6,"
低踢",<B3E1><B3E3><B3E5>,DoublePied,unique
MAIN:0x031368,MAIN,0x031368,,7,"
二段踢",Revenge,Vendetta,unique
MAIN:0x031370,MAIN,0x031370,,8,"
回旋踢",<B3E7><B3E9><B3EB><B3ED>,MawashiG.,unique
MAIN:0x031379,MAIN,0x031379,,6,"
当身投",<B3EF><B3F1><B3F3>,CorpsPerdu,unique
MAIN:0x031380,MAIN,0x031380,,8,"
飞踢",<B3F5><B3F7><B3F9><B3FB>,FrappAtlas,unique
MAIN:0x031389,MAIN,0x031389,,6,"
瓦割",<B3FD><B3FF><B301>,CasseBriq.,unique
MAIN:0x031390,MAIN,0x031390,,8,"
天升拳",<B303><B305><B307><B309>,Stratop.,unique
