stable_key,dialogue_id,chinese_text,previous_english_v2,revised_english_v2,reference_priority,disposition,source_url,source_revision,reason
MAIN:0x034C2D,D0104,您的精灵都精神了!!欢迎光临!!,Your Pokémon feel great! Come again!,Your Pokémon are fighting fit! See you again!,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x034C96,D0107,欢迎!买东西吗?,Welcome! Want to buy something?,Hi there! May I help you?,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x034CA6,D0108,谢谢惠顾!!,Thank you for shopping with us!,Thank you! Please come again!,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x034DE5,D0114,我从没见过这家道场的首领,I've never seen this Gym's Leader.,I've never seen this Gym's Leader.,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x034FBD,D0127,"小孩子需要50元,参观吗?",Admission for kids is $50. Want to look around?,It's $50 for a child's ticket. Would you like to come in?,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x034FCE,D0128,"好的,50元收下了!",All right! I'll take the $50!,"Right! $50, please!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x035077,D0134,"太不幸了,这家人被偷了!是火箭队干的!即使是警察也拿火箭队没办法!",How awful! This family was robbed! Team Rocket did it! Even the police are helpless against them!,Those poor people were robbed! We're sure Team Rocket did it. Even our Police Force has trouble with them!,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x035206,D0145,"这里是精灵的墓地,有名的城镇...精灵死的时候都会带到精灵塔","This town is famous for its Pokémon graveyard... When Pokémon die, they're brought to Pokémon Tower.","This town is famous for its Pokémon graveyard. When Pokémon die, they're brought to Pokémon Tower.",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x03523F,D0146,最近幽灵塔里好象出现幽灵...好像是被火箭队杀害的精灵的幽灵...,Ghosts have been appearing in Pokémon Tower lately... They seem to be the spirits of Pokémon killed by Team Rocket.,Ghosts appeared in Pokémon Tower. I think they're the spirits of Pokémon that Team Rocket killed.,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x0352E4,D0151,这个紫苑镇最有名的塔也是宠物精灵的墓园...人们将死亡的精灵带到这幽灵塔来祈求冥福,Lavender Town's famous tower is also a Pokémon cemetery... People bring their departed Pokémon there and pray for their peace.,Lavender Town's famous Pokémon Tower is a cemetery. People bring their departed Pokémon there to pray for them.,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x0358D2,D0193,"使用怪兽的人不同,结果就有好有坏!","Depending on their Trainer, Pokémon can be used for good or evil!",Pokémon are not good or evil. It depends on their Trainer!,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x035DCC,D0227,"这生物被视为宠物,或使用于对战等等.而我是研究这宠物精灵的!",Pets or battle: I study Pokémon!,People keep Pokémon as pets or use them in fights. I study them.,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the official English Gen I scene voice where it agrees with the Chinese; Chinese-only facts and bootleg-specific terminology are retained.
MAIN:0x035E82,D0228,"小智,一个将属于你的故事,梦想即将开始!",ASH! Tale and dream begin!,ASH! Your Pokémon story and dreams begin now!,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the official English Gen I scene voice where it agrees with the Chinese; Chinese-only facts and bootleg-specific terminology are retained.
MAIN:0x0365FE,D0231,休息一下如何?,Want to rest?,How about a rest?,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x037994,D0244,"小茂:怎么回事?真的结束了吗?尽了全力却还是输了!好不容易爬到这个地步...为什么我会输...我的培育方法不可能出错的...没办法,你是宠物联盟的新冠军...我真不太想承认","GARY: Over? I gave all, still lost. Why? My training can't be wrong... Fine, new Champion. Hard to admit.",GARY: What? Is it really over? I gave it everything and still lost! I worked so hard to get here... Why did I lose? I couldn't have raised my Pokémon wrong... Fine. You're the new Pokémon League Champion. I hate to admit it.,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x038092,D0253,"喔...小智在那有个圆圆的球吧,那里有宠物精灵是要给你的!拿去吧!","OAK: Ash, that ball has your Pokémon. Take it!","OAK: That ball holds your Pokémon, Ash. Go ahead, it's yours!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokeyellow,e6ba56989b0f2694f393e6924820be11dcc1fbb8,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x0380C5,D0255,欢迎!买东西吗?,Welcome! Buying?,Hi there! May I help you?,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x038445,D0274,"你好!欢迎你光临宠物精灵的世界!大家都叫我大木博士,在这世界住着被称为宠物精灵的生物!这生物被视为宠物,或使用于对战等等.而我是研究这宠物精灵的!小智,一个将属于你的故事,梦想即将开始!","PROF. OAK: Hello! Welcome to the world of Pokémon! Everyone calls me Professor Oak. This world is home to creatures called Pokémon! Some are kept as pets, while others are used in battle. I study these Pokémon! Ash, your own story and dreams are about to begin!","PROF. OAK: Hello there! Welcome to the world of Pokémon! I'm Oak, the Pokémon Prof.! Pokémon live here as pets or fighters. I study them! Ash, your own Pokémon story and dreams begin now!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x0384F8,D0275,"小茂:嗨!小智,你要找大木爷爷的话,他不在喔!我也是听他说要给宠物精灵才赶紧来的...","GARY: Hey, Ash! If you're looking for Gramps, he's not here! I rushed over too when I heard he was giving out Pokémon...","GARY: Yo, Ash! Gramps isn't around! I ran here 'cos he said he had a Pokémon for me.",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokeyellow,e6ba56989b0f2694f393e6924820be11dcc1fbb8,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x0385F3,D0279,大木:小茂你急什么!我等一下也会给你的,"PROF. OAK: What's the rush, Gary? I'll give you one later too.","OAK: Be patient, Gary. I'll give you one later.",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokeyellow,e6ba56989b0f2694f393e6924820be11dcc1fbb8,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x038620,D0280,小茂:哼!我一定能拿到比你好的!,GARY: Hmph! I'll get a better Pokémon than yours!,GARY: Humph! I'll get a better Pokémon than you!,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokeyellow,e6ba56989b0f2694f393e6924820be11dcc1fbb8,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x038670,D0282,大木:喂!什么!你在做什么!,OAK: Hey! What are you doing?,OAK: Gary! What are you doing?,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokeyellow,e6ba56989b0f2694f393e6924820be11dcc1fbb8,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x03868A,D0283,小茂:爷爷!人家就是想要这个嘛!,"GARY: Gramps, I want it!","GARY: Gramps, I want this one!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokeyellow,e6ba56989b0f2694f393e6924820be11dcc1fbb8,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x0386A2,D0284,"大木:真是拿你没办法,好吧!那个宠物精灵就给你吧!反正是早晚的是...小智,你来一下好吗?","OAK: Fine! Take it; you'd get one anyway. Ash, come.","OAK: All right! That Pokémon is yours. You'd get one anyway... Ash, come.",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokeyellow,e6ba56989b0f2694f393e6924820be11dcc1fbb8,Uses the official English Gen I scene voice where it agrees with the Chinese; Chinese-only facts and bootleg-specific terminology are retained.
MAIN:0x038755,D0287,小茂:刚得到精灵就当我的对手练习练习吧!,GARY: Just got one; practice on me!,"GARY: Wait, Ash! Let's test our new Pokémon! I'll take you on!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokeyellow,e6ba56989b0f2694f393e6924820be11dcc1fbb8,Uses the official English Gen I scene voice where it agrees with the Chinese; Chinese-only facts and bootleg-specific terminology are retained.
MAIN:0x0387F3,D0289,"店员:你是从真新镇来的吧?你知道大木博士吧.这是他要的东西,请转交给他!",CLERK: Pallet? Know Oak? Give him his order!,"You're from Pallet Town, right? You know Prof. Oak? Please deliver this order to him.",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the official English Gen I scene voice where it agrees with the Chinese; Chinese-only facts and bootleg-specific terminology are retained.
MAIN:0x0388DE,D0294,大木:啊?有东西要交给我?,OAK: Something for me?,OAK: Oh? Something for me?,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x038A46,D0301,"小茂姐姐:爷爷有任务交给你啊,真辛苦,这个给你用吧",GARY'S SIS: Grandpa's task is tough. Take this.,"GARY'S SIS: Grandpa asked you to run an errand? Here, this will help you!",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the official English Gen I scene voice where it agrees with the Chinese; Chinese-only facts and bootleg-specific terminology are retained.
MAIN:0x038B03,D0305,"小茂:小智!你要去宠物精灵联盟啊?算了吧!反正我看你也没有徽章,把关的人不会让你过去的!还有你的精灵到底有没有变强啊?","GARY: League, Ash? No Badges, no pass! Is your team stronger?","GARY: League, Ash? No Badges, no pass! Did your Pokémon get stronger?",Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the official English Gen I scene voice where it agrees with the Chinese; Chinese-only facts and bootleg-specific terminology are retained.
MAIN:0x038BBC,D0306,"小茂:在宠物精灵联盟里尽是非常强劲的训兽师,不能不想办法通过那里,你也不能尽是停留在这里,想办法往前进吧!",GARY: League has strong Trainers. I must pass! You can't stay; move on!,GARY: The League has tough Trainers! I must get past them. Quit dawdling and move on!,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the matching official English Red/Blue/Yellow scene as its primary voice while retaining Chinese-only facts and Famicom-specific terminology.
MAIN:0x038D7A,D0316,男孩:你是精灵训练家吧?小刚正在找寻对手...来吧!,BOY: Trainer? Brock wants a rival. Come!,Trainer? Brock wants challengers! Follow me!,Official English Red/Blue/Yellow + Chinese fidelity,adapted,https://github.com/pret/pokered,2ab2421410b764e4dfebeddf8d9249d2cba947c4,Uses the official English Gen I scene voice where it agrees with the Chinese; Chinese-only facts and bootleg-specific terminology are retained.
