stable_key,record_type,dialogue_id,category,layout,speaker,source_offset_or_pointer,chinese_text,english_2015,french_v2_gloss,english_v2,official_reference_class,reference_disposition,reference_url,reference_revision,changed_during_official_reference_pass,english_before_reference_pass,reference_reason,compression,compression_justification,fidelity_comment,alignment_confidence,source_resolution,ai_review_status,human_review_status,human_reviewer,human_review_notes
MAIN:0x030242,MAIN,,Ordinary text,,,0x030242,从精灵球中跑出来了,Broke free!,S'échappe! , broke free!,Not identified as a Gen I scene,n/a,,,No,,,no,,"Preserves both the escape and the explicit Poké Ball, with a leading space for attachment to the Pokémon name. Full-text review: Uses the compact Gen I capture-failure formula on the engine-provided second row.",high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x03024E,MAIN,,Ordinary text,,,0x03024E,抓到了,was caught!,00000000est capturé!, was caught!,Not identified as a Gen I scene,n/a,,,No,,,no,,Renders the capture-result suffix and preserves its join after the Pokémon name. Full-text review: Keeps the capture-success suffix on the engine-provided second row.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030262,MAIN,,Ordinary text,,,0x030262,使用了,sent out,0envoie   , sent out ,Not identified as a Gen I scene,n/a,,,No,,,no,,"Uses the battle-context sense of the verb between the Trainer and Pokémon names, retaining both joining spaces.",high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x03026D,MAIN,,Ordinary text,,,0x03026D,不行!胜负的关键不能逃!,Can't run from trainer,Fuite impossible!    ,"No! There's no running
from a Trainer battle!",Not identified as a Gen I scene,n/a,,,No,,,yes,"Uses complete, natural English while respecting dialogue pagination and ROM bank limits; no displayed word is truncated.",Preserves the prohibition on fleeing while using the natural official English battle phrasing. Full-text review: Keeps the complete Gen I Trainer-battle escape formula across two bounded rows.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030290,MAIN,,Ordinary text,,,0x030290,不行!这是偷盗行为!,Trainer blocked the ball,Le Dresseur bloque la Poké Ball!,"No! That would be
stealing!",Not identified as a Gen I scene,n/a,,,No,,,no,,Directly preserves the warning that attempting this action would constitute theft. Full-text review: Keeps the complete Gen I stealing warning across two bounded rows.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0302A9,MAIN,,Ordinary text,,,0x0302A9,请准备应战,Your turn!,0000000000À ton tour,Your turn!,Not identified as a Gen I scene,n/a,,,No,,,yes,The left battle pane cannot safely render Prepare to battle!; the concise 2015 Luiga wording fits without overwriting the command menu.,Preserves the Chinese prompt to prepare for battle in the compact battle-screen voice used by the 2015 English build.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0302BF,MAIN,,Ordinary text,,,0x0302BF,使用,used, util, used ,Not identified as a Gen I scene,n/a,,,No,,,no,,"Preserves the move-use connector between the acting Pokémon and move names, including both structural spaces.",high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0302C5,MAIN,,Ordinary text,,,0x0302C5,效果一般!,Good Hit!,Bon coup!,It was effective!,Not identified as a Gen I scene,n/a,,,No,,,no,,"Conveys the Chinese assessment that the attack had an effective, ordinary result without importing the old unrelated hit-quality wording.",high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0302CF,MAIN,,Ordinary text,,,0x0302CF,效果不好!,Not very effective!,0Peu efficace!     ,It's not very effective!,Not identified as a Gen I scene,n/a,,,No,,,no,,Uses the standard Pokémon phrasing for the explicitly poor-effectiveness branch. Full-text review: Uses the canonical effectiveness formula in exactly 24 artifact-free cells.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0302E4,MAIN,,Ordinary text,,,0x0302E4,没有效果!,Missed!,00Raté!,It had no effect!,Not identified as a Gen I scene,n/a,,,No,,,no,,Restores the explicit no-effect result instead of the mechanically different old message about missing.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0302EE,MAIN,,Ordinary text,,,0x0302EE,中毒了,is poisoned,est empoisonné, was poisoned!,Not identified as a Gen I scene,n/a,,,No,,,no,,Renders the poison-infliction suffix with the leading space needed after the affected Pokémon's name.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0302FA,MAIN,,Ordinary text,,,0x0302FA,"中剧毒了
---

害怕了",Flinched, Recule , was badly poisoned!,Not identified as a Gen I scene,n/a,,,No,,,no,,The primary pointer 0x03006B is the badly-poisoned infliction suffix and preserves its structural leading space; pointer 0x03006D is split to the distinct flinched suffix in pointer_variants.csv. Full-text review: Keeps the distinct bad-poison result natural on the engine-provided second row.,high,pointer_variants_declared,ai_source_reviewed,To review,,
MAIN:0x030304,MAIN,,Ordinary text,,,0x030304,被烧伤了,is burned,est brûlé, was burned!,Not identified as a Gen I scene,n/a,,,No,,,no,,Renders the burn-infliction suffix and preserves its structural leading space.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x03030E,MAIN,,Ordinary text,,,0x03030E,混乱了,is confused,est confus , became confused!,Not identified as a Gen I scene,n/a,,,No,,,no,,Conveys the transition into confusion rather than merely labeling a standing condition. Full-text review: Keeps the normal confusion result natural on the engine-provided second row.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x03031A,MAIN,,Ordinary text,,,0x03031A,冰冻了,is frozen,est gelé , was frozen!,Not identified as a Gen I scene,n/a,,,No,,,no,,Renders the freeze-infliction suffix with its required leading join.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030324,MAIN,,Ordinary text,,,0x030324,中毒了有损伤,is hurt due to poison!,000000souffre du poison!    , was hurt by poison!,Not identified as a Gen I scene,n/a,,,No,,,no,,"Preserves that poison, not the initial infliction, causes this damage tick. Full-text review: Keeps poison damage intact on the engine-provided second row.",high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030341,MAIN,,Ordinary text,,,0x030341,睡着了,is asleep,dort     , fell asleep!,Not identified as a Gen I scene,n/a,,,No,,,no,,Conveys entering sleep and retains the suffix join after the Pokémon name.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x03034B,MAIN,,Ordinary text,,,0x03034B,烧伤了有损伤,is hurt from it's burn!,0souffre de brûlure!    , was hurt by its burn!,Not identified as a Gen I scene,n/a,,,No,,,no,,Faithfully identifies the burn as the source of this residual damage tick. Full-text review: Keeps burn damage intact on the engine-provided second row.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030364,MAIN,,Ordinary text,,,0x030364,混乱了攻击自己,is confused,000est confus, hurt itself!,Not identified as a Gen I scene,n/a,,,No,,,no,,Preserves the omitted old-English fact that confusion causes the Pokémon to attack itself. Full-text review: Uses the concise official battle sense without splitting a word.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030373,MAIN,,Ordinary text,,,0x030373,冰冻了不能动,is frozen,0000est gelé, is frozen solid!,Not identified as a Gen I scene,n/a,,,No,,,no,,Retains both facts in the Chinese: the Pokémon is frozen and therefore unable to move. Full-text review: Keeps the frozen/no-action state natural within one row.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030381,MAIN,,Ordinary text,,,0x030381,中剧毒了损伤,0000<B0DC><B7AE><B8D8><B0F8><BBA2><B9C7>,subit des dégâts du poison grave !, was hurt by poison!,Not identified as a Gen I scene,n/a,,,No,,,no,,Distinguishes the severe-poison damage tick expressed by the Chinese from ordinary poison damage. Full-text review: Keeps the severe-poison damage event clear without overflowing.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030392,MAIN,,Ordinary text,,,0x030392,害怕不能行动,<0A><B3EE><B8AC><B0CE><B0EC><B3A9><B0B2>,a trop peur pour agir !, flinched!,Not identified as a Gen I scene,n/a,,,No,,,no,,Uses the matching battle mechanic for fear while retaining the source's explicit inability to act. Full-text review: Uses the concise Gen I flinch formula on the engine-provided second row.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0303A1,MAIN,,Ordinary text,,,0x0303A1,上升了,Rose, Monte, rose!,Not identified as a Gen I scene,n/a,,,No,,,no,,"Supplies the stat-increase suffix after a separately printed stat label, with the required leading space.",high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0303A9,MAIN,,Ordinary text,,,0x0303A9,不能再上升了,can't go higher!,  ne monte plus! , won't rise!,Not identified as a Gen I scene,n/a,,,No,,,no,,Preserves the failed stat-increase limit and its suffix join after the stat label. Full-text review: Keeps the stat-limit result grammatical alongside the longest stat label.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0303BC,MAIN,,Ordinary text,,,0x0303BC,下降了,Fell,000000Chute, fell!,Not identified as a Gen I scene,n/a,,,No,,,no,,"Runtime order confirms this is the decrease suffix following a stat label, so its leading space is significant.",high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0303C8,MAIN,,Ordinary text,,,0x0303C8,迅速下降了,000<BBA4><B9D4><B0F9><BBA5><B0F8>,a fortement baissé !, fell sharply!,Not identified as a Gen I scene,n/a,,,No,,,no,,"Preserves the stronger, rapid stat decrease rather than flattening it to an ordinary fall.",high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0303D6,MAIN,,Ordinary text,,,0x0303D6,不能再下降了,can't go lower, ne baisse plus, won't fall!,Not identified as a Gen I scene,n/a,,,No,,,no,,Preserves the failed stat-decrease limit and its suffix join after the stat label. Full-text review: Keeps the stat-limit result grammatical alongside the longest stat label.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0303E6,MAIN,,Ordinary text,,,0x0303E6,谢谢,<B0D8><B0D8>,Merci,Thanks!,Not identified as a Gen I scene,n/a,,,No,,,no,,Directly translates this first distinct pointer's brief expression of thanks.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0303EB,MAIN,,Ordinary text,,,0x0303EB,谢谢,<B0D8><B0D8>,Merci,Thanks!,Not identified as a Gen I scene,n/a,,,No,,,no,,Directly translates this second distinct pointer's brief expression of thanks.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0303F0,MAIN,,Ordinary text,,,0x0303F0,谢谢,<0A><B0D8><B0D8>,Merci,Thanks!,Not identified as a Gen I scene,n/a,,,No,,,no,,Directly translates this third distinct pointer's brief expression of thanks.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0303F6,MAIN,,Ordinary text,,,0x0303F6,谢谢,<0A><B0D8><B0D8>,Merci,Thanks!,Not identified as a Gen I scene,n/a,,,No,,,no,,Directly translates this fourth distinct pointer's brief expression of thanks.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0303FC,MAIN,,Ordinary text,,,0x0303FC,谢谢,<0A><B0D8><B0D8>,Merci,Thanks!,Not identified as a Gen I scene,n/a,,,No,,,no,,Directly translates this fifth distinct pointer's brief expression of thanks.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030403,MAIN,,Ordinary text,,,0x030403,什么!?,What?,Quoi?,What!?,Not identified as a Gen I scene,n/a,,,No,,,no,,Preserves the startled question and the source's emphatic paired punctuation at evolution onset.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030409,MAIN,,Ordinary text,,,0x030409,的样子...!,is Evolving!, évolue!    , is evolving!,Not identified as a Gen I scene,n/a,,,No,,,no,,The pointer neighborhood identifies the changing appearance as evolution; the leading space joins it to the Pokémon name. Full-text review: Removes the contradictory ellipsis-plus-exclamation ending from the dynamic evolution suffix.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030417,MAIN,,Ordinary text,,,0x030417,恭喜!,Wow!,Ouah! ,Congrats! ,Not identified as a Gen I scene,n/a,,,No,,,no,,Restores the explicit congratulation following evolution rather than weakening it to surprise. Full-text review: Keeps the evolution result plus a ten-cell Pokémon name within the first physical row.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x03041D,MAIN,,Ordinary text,,,0x03041D,啊!野生的,Oh!A Wild,Oh!Sauvage ,Wild ,Not identified as a Gen I scene,n/a,,,No,,,no,,Uses the official Generation I wild-encounter lead-in and preserves the trailing join before the species name.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030428,MAIN,,Ordinary text,,,0x030428,学会了,learned, apprend,learned,Not identified as a Gen I scene,n/a,,,No,,,no,,Keeps the exact sequential source as the lowercase learned fragment used to complete a move-learning sentence.,medium,reviewed_source_adjudication,ai_source_reviewed,To review,,
MAIN:0x03043F,MAIN,,Ordinary text,,,0x03043F,四个技能已经满了!,more than 4 moves!,000000Déjà 4 attaques!,It knows four moves!,Not identified as a Gen I scene,n/a,,,No,,,no,,"Correctly states that all four move slots are occupied, not that the Pokémon knows more than four moves. Full-text review: Keeps the full move-slot warning natural within one artifact-free row.",high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030458,MAIN,,Ordinary text,,,0x030458,要学会,<B0C3><B4C3><B1F9>,veut apprendre, wants to learn ,Not identified as a Gen I scene,n/a,,,No,,,no,,"Forms the move-learning connector between the Pokémon and move names, preserving both joining spaces.",high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x03045F,MAIN,,Ordinary text,,,0x03045F,将,Forgot,Oublie ,The move ,Not identified as a Gen I scene,n/a,,,No,,,no,,"Restructures the Chinese object marker into a grammatical connector between the Pokémon and forgotten move names, preserving both joins. Full-text review: Starts a complete passive sentence with the forgotten move on row one; the verb is rendered alone on row two.",high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030467,MAIN,,Ordinary text,,,0x030467,是否,000000000000<B0C2><B1A1>,Oui / Non,Yes  No,Not identified as a Gen I scene,n/a,,,No,,,no,,Renders the binary whether-or-not choice as its executable Yes/No menu and retains the two-cell separation.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030479,MAIN,,Ordinary text,,,0x030479,忘记哪个技能?,Which move?,Quelle attaque?,"Which move should be
forgotten?",Not identified as a Gen I scene,n/a,,,No,,,no,,Preserves both the requested selection and the fact that the chosen move will be forgotten. Full-text review: Keeps the complete move-forgetting prompt across two bounded rows.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030485,MAIN,,Ordinary text,,,0x030485,用法完全忘记了!,And...,Et...,was forgotten!,Not identified as a Gen I scene,n/a,,,No,,,no,,Completes the restructured forgotten-move construction directly after the move name; the preceding fragment retains completely. Full-text review: Completes the forgotten-move sentence on the engine-provided second row instead of leaving an orphan exclamation mark.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x03048C,MAIN,,Ordinary text,,,0x03048C,迅速上升了,Greatly Rose, Monte bcp! , rose sharply!,Not identified as a Gen I scene,n/a,,,No,,,no,,"Preserves the stronger, rapid stat increase and the suffix join after its stat label.",high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x03049A,MAIN,,Ordinary text,,,0x03049A,而且学会了,Learned,000Apprend ,Learned move:,Not identified as a Gen I scene,n/a,,,No,,,no,,Retains the connective sense and both joins in the Pokémon-plus-new-move construction. Full-text review: Introduces the newly learned move as a complete standalone result before the engine renders its name on row two.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0304AB,MAIN,,Ordinary text,,,0x0304AB,没有学习,Did not learn,00000000 N'apprend pas, didn't learn,Not identified as a Gen I scene,n/a,,,No,,,no,,Forms the negative move-learning result between the Pokémon and move names with both structural spaces. Full-text review: Fits Pokémon plus result on row one; the move is rendered separately on row two.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0304C2,MAIN,,Ordinary text,,,0x0304C2,聚集了太阳光,<BAB7><B6B8><B0F8><B6C6><BBA7><B0E4>,concentre la lumière du soleil !, absorbed sunlight!,Not identified as a Gen I scene,n/a,,,No,,,no,,"The executable move-message sequence identifies this as the sunlight-gathering turn, rendered in standard battle language. Full-text review: Keeps the charging message intact on the engine-provided second row.",high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0304CF,MAIN,,Ordinary text,,,0x0304CF,太阳光射出,<0A><B6C6><BBA7><B0E4><BBA8><B0A4>,libère l'énergie solaire !, unleashed solar energy!,Not identified as a Gen I scene,n/a,,,No,,,no,,Preserves the second-stage release of the gathered sunlight rather than treating it as another charge. Full-text review: Uses the complete solar-release message within exactly 24 cells.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0304DB,MAIN,,Ordinary text,,,0x0304DB,钻到了地下,<0A><BBA9><B0DB><B0F8><B3BB><B0F9>,s'enfouit sous terre !, burrowed underground!,Not identified as a Gen I scene,n/a,,,No,,,no,,Faithfully describes the acting Pokémon going underground for the move's hidden turn. Full-text review: Keeps the underground message intact on the engine-provided second row.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0304E7,MAIN,,Ordinary text,,,0x0304E7,迅速攻击,<0A><BBA4><B9D4><B4AB><B4AC>,attaque rapidement !, attacked swiftly!,Not identified as a Gen I scene,n/a,,,No,,,no,,Preserves the source's defining fact that this attack is executed rapidly without assigning an unsupported move name. Full-text review: Keeps the swift-attack message intact on the engine-provided second row.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0304F1,MAIN,,Ordinary text,,,0x0304F1,蓄集力量,<0A><BBAA><B6B8><B0E3><B3EC>,accumule de l'énergie !, stored up power!,Not identified as a Gen I scene,n/a,,,No,,,no,,Renders the first power-storage battle state and keeps it as a suffix after the acting Pokémon. Full-text review: Keeps the stored-power message intact on the engine-provided second row.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0304FB,MAIN,,Ordinary text,,,0x0304FB,全力一击,<0A><B6C0><B0E3><B1D1><B4AC>,frappe de toutes ses forces !, struck with full force!,Not identified as a Gen I scene,n/a,,,No,,,no,,Preserves the corresponding all-out release attack without inventing a move identity. Full-text review: Uses exactly 24 artifact-free cells on the engine-provided second row.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030505,MAIN,,Ordinary text,,,0x030505,蓄集力量,<0A><BBAA><B6B8><B0E3><B3EC>,accumule de l'énergie !, stored up power!,Not identified as a Gen I scene,n/a,,,No,,,no,,Faithfully retains the duplicate executable pointer's power-storage state for the parallel battle path. Full-text review: Applies the same bounded stored-power formula to the duplicate state.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x03050F,MAIN,,Ordinary text,,,0x03050F,全力一击,<0A><B6C0><B0E3><B1D1><B4AC>,frappe de toutes ses forces !, struck with full force!,Not identified as a Gen I scene,n/a,,,No,,,no,,Faithfully retains the duplicate executable pointer's full-force release for the parallel battle path. Full-text review: Applies the same bounded full-force formula to the duplicate state.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030519,MAIN,,Ordinary text,,,0x030519,蓄集打消,<0A><BBAA><B6B8><B0CF><B4F1>,cesse d'accumuler de l'énergie !, stopped storing power!,Not identified as a Gen I scene,n/a,,,No,,,no,,Preserves cancellation of the stored-power state rather than describing an attack or ordinary failure. Full-text review: Keeps the release-cancel message intact on the engine-provided second row.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030523,MAIN,,Ordinary text,,,0x030523,飞上高空,<0A><B1AC><B1E5><B8AF><B1A2>,s'envole haut dans le ciel !, flew high into the sky!,Not identified as a Gen I scene,n/a,,,No,,,no,,Directly describes the airborne preparation state and retains the suffix join after the Pokémon name. Full-text review: Uses exactly 24 artifact-free cells on the engine-provided second row.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x03052D,MAIN,,Ordinary text,,,0x03052D,舍命一击,<0A><BBAB><B4B9><B1D1><B4AC>,frappe au péril de sa vie !, risked everything!,Not identified as a Gen I scene,n/a,,,No,,,no,,Keeps both the self-endangering commitment and the single all-out strike expressed by the Chinese. Full-text review: Keeps the one-strike risk in a natural compact formula.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030537,MAIN,,Ordinary text,,,0x030537,蓄集神力,<0A><BBAA><B6B8><B6DD><B0E3>,concentre une force mystique !, gathered mystical power!,Not identified as a Gen I scene,n/a,,,No,,,no,,Preserves the preparatory gathering of mystical power as a distinct first-stage action. Full-text review: Keeps the complete charge wording within the fully cleared 25-cell row.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030541,MAIN,,Ordinary text,,,0x030541,神力射出,<0A><B6DD><B0E3><BBA8><B0A4>,libère sa force mystique !, released mystic power!,Not identified as a Gen I scene,n/a,,,No,,,no,,Preserves the release stage paired with the preceding mystical-power charge. Full-text review: Keeps the release meaning within 22 second-row cells.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x03054B,MAIN,,Ordinary text,,,0x03054B,预知未来,<0A><B6EC><B2D7><B3E5><B0FC>,prévoit une attaque !, foresaw an attack!,Not identified as a Gen I scene,n/a,,,No,,,no,,Renders the Future Sight setup action while avoiding a premature claim that damage has already occurred. Full-text review: Keeps the foresight message intact on the engine-provided second row.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030555,MAIN,,Ordinary text,,,0x030555,受到预知未来攻击,<0A><B4A9><B0DB><B6EC><B2D7><B3E5><B0FC><B4AB><B4AC>,subit l'attaque Prescience !, hit by Future Sight!,Not identified as a Gen I scene,n/a,,,No,,,no,,Identifies the delayed Future Sight hit and keeps the leading join after the target Pokémon's name. Full-text review: Keeps the named move and result within one second row.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030567,MAIN,,Ordinary text,,,0x030567,吃掉了,<0A><B9B3><B8AB><B0F8>,dévore le rêve de, ate ,Not identified as a Gen I scene,n/a,,,No,,,no,,"Forms the verb between the acting Pokémon and target names in the dream-eating sentence, with both joins intact.",high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x03056F,MAIN,,Ordinary text,,,0x03056F,的梦,<0A><B0BC><B1D6>, !,'s dream!,Not identified as a Gen I scene,n/a,,,No,,,no,,Completes the dream-eating construction as a possessive suffix directly after the target's name.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030575,MAIN,,Ordinary text,,,0x030575,发怒了,<0A><B2F4><BAF0><B0F8>,entre en colère !, flew into a rage!,Not identified as a Gen I scene,n/a,,,No,,,no,,Conveys the acting Pokémon becoming enraged and retains the leading suffix join. Full-text review: Keeps the rage message intact on the engine-provided second row.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x03057D,MAIN,,Ordinary text,,,0x03057D,受到诅咒,<0A><B4A9><B0DB><B9BA><B9BB>,est maudit !, was cursed!,Not identified as a Gen I scene,n/a,,,No,,,no,,"Directly renders the curse applied to the named Pokémon, including its structural leading space.",high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030588,MAIN,,Ordinary text,,,0x030588,战斗,Fight,Att. ,Fight,Not identified as a Gen I scene,n/a,,,No,,,no,,Uses the standard battle command for the attack-selection branch of the executable menu.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x03058E,MAIN,,Ordinary text,,,0x03058E,背包,Item,Objet, Bag,Not identified as a Gen I scene,n/a,,,No,,,no,,Uses the official Pokémon interface term and preserves the leading separator required by the original 16-glyph battle-command renderer.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030594,MAIN,,Ordinary text,,,0x030594,精灵,PKMN,PKMN,PKMN,Not identified as a Gen I scene,n/a,,,No,,,yes,"The fixed battle menu provides four cells, so Pokémon is abbreviated to the conventional PKMN label.",Represents the party-Pokémon command in the fixed-width four-cell battle menu without the forbidden at-sign substitution.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030599,MAIN,,Ordinary text,,,0x030599,逃跑,Ru, Fu,Run,Not identified as a Gen I scene,n/a,,,No,,,no,,Restores the complete flee command in the executable battle menu.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x0305E8,MAIN,,Ordinary text,,,0x0305E8,战斗,Send,Envoi ,Battle,Not identified as a Gen I scene,n/a,,,No,,,no,,Corrects the party-menu command to Battle from the reviewed Chinese source; the old Send label expressed a different action.,medium,reviewed_source_adjudication,ai_source_reviewed,To review,,
MAIN:0x0305F5,MAIN,,Ordinary text,,,0x0305F5,普  通,00Item,   00Objet,Items,Not identified as a Gen I scene,n/a,,,No,,,no,,The executable inventory tabs show this general category as the ordinary-items pocket.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030602,MAIN,,Ordinary text,,,0x030602,精灵球,Balls,Balle,Balls,Not identified as a Gen I scene,n/a,,,No,,,yes,"The fixed pocket tab has five cells, so Poké Ball is shortened to the unambiguous Balls label.",Labels the Poké Ball pocket while keeping the fixed five-cell interface width.,high,pointer_table,ai_source_reviewed,To review,,
MAIN:0x030608,MAIN,,Ordinary text,,,0x030608,秘传技,TM/HMs,00CT/CS ,TM/HM,Not identified as a Gen I scene,n/a,,,No,,,yes,The compact inventory tab uses the standard TM/HM acronym for Technical and Hidden Machines.,Executable item grouping confirms this pocket contains the machines for teachable and hidden moves.,high,pointer_table,ai_source_reviewed,To review,,
