stable_key,entry_index,issue_kind,alignment_method,alignment_confidence,candidate_pointer_references,candidate_chinese_record_indexes,candidate_chinese_offsets,candidate_chinese_text,selected_source_method,selected_pointer_references,selected_chinese_record_indexes,selected_chinese_offsets,selected_chinese_text,resolution_status,review_status,note
MAIN:0x0315A6,321,medium_confidence_exact_offset,exact_offset,medium,,506,0x0315A6,尖角钻,ai_review_shadow_fragment_owner,0x0310D3,509,0x0315BE,恶魔之吻,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x0315A6: selected record(s) 509, offset(s) 0x0315BE, pointer reference(s) 0x0310D3. Proof: complete pointer-owned entry that covers the short shadow write. English wording was not translated or reviewed."
MAIN:0x0315DC,329,medium_confidence_exact_offset,exact_offset,medium,,513,0x0315DC,撒娇,ai_review_shadow_fragment_owner,0x0310E1,516,0x0315EE,摇尾巴,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x0315DC: selected record(s) 516, offset(s) 0x0315EE, pointer reference(s) 0x0310E1. Proof: complete pointer-owned entry that covers the short shadow write. English wording was not translated or reviewed."
MAIN:0x031624,336,medium_confidence_containing_offset,containing_offset,medium,,523,0x031620,吼叫,ai_review_recovered_pointer_owner,0x0310F3,525,0x03162C,变身,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x031624: selected record(s) 525, offset(s) 0x03162C, pointer reference(s) 0x0310F3. Proof: reviewed move-table pointer ownership, not physical byte overlap. English wording was not translated or reviewed."
MAIN:0x03162C,337,medium_confidence_exact_offset,exact_offset,medium,,525,0x03162C,变身,ai_review_recovered_pointer_owner,0x0310F5,526,0x031632,诅咒,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03162C: selected record(s) 526, offset(s) 0x031632, pointer reference(s) 0x0310F5. Proof: reviewed move-table pointer ownership, not physical byte overlap. English wording was not translated or reviewed."
MAIN:0x0316E9,339,low_confidence_single_physical_overlap,single_physical_overlap,low,,528,0x0316EC,精灵球,ai_review_direct_compact_payload,0x031649,,0x0316E9,无,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x0316E9: selected record(s) N/A (direct compact payload), offset(s) 0x0316E9, pointer reference(s) 0x031649. Proof: direct item-sentinel payload immediately before the Poké Ball table. English wording was not translated or reviewed."
MAIN:0x031A0F,414,unaligned_non_dialogue,unaligned,low,,,,,ai_review_direct_compact_payload,0x03196F,,0x031A0F,没有东西,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x031A0F: selected record(s) N/A (direct compact payload), offset(s) 0x031A0F, pointer reference(s) 0x03196F. Proof: direct empty-inventory payload and its table pointer. English wording was not translated or reviewed."
MAIN:0x031E6A,500,unaligned_non_dialogue,unaligned,low,,,,,ai_review_direct_compact_payload,0x031DF4,,0x031E6A,小茂,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x031E6A: selected record(s) N/A (direct compact payload), offset(s) 0x031E6A, pointer reference(s) 0x031DF4. Proof: direct rival-name payload and its table pointer. English wording was not translated or reviewed."
MAIN:0x0343EF,697,medium_confidence_containing_offset,containing_offset,medium,,1001,0x0343BF,"小次郎:我们现在跟了新的老大,已经不是从前的我们了!!",ai_review_dialogue_inventory_record,0x0331CB,1002,0x0343F3,"小次郎:居然又输了,有本事去挑战我们的新老大!!",source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x0343EF: selected record(s) 1002, offset(s) 0x0343F3, pointer reference(s) 0x0331CB. Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x034656,701,medium_confidence_exact_offset,exact_offset,medium,,1009,0x034656,"卡美优:小智,我知道你一定会来的!这一战应该没有任何遗憾吧!!来吧,准备好了吗?",ai_review_exact_record,0x0331D9,1009,0x034656,"卡美优:小智,我知道你一定会来的!这一战应该没有任何遗憾吧!!来吧,准备好了吗?",source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x034656: selected record(s) 1009, offset(s) 0x034656, pointer reference(s) 0x0331D9. Proof: exact storage offset and exact pinned Unicode record. English wording was not translated or reviewed."
MAIN:0x034927,711,unaligned_dialogue_resolved_by_inventory,unaligned,low,,,,,ai_review_direct_glyph_payload,0x0348DD,,0x034927,得到无,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x034927: selected record(s) N/A (direct compact payload), offset(s) 0x034927, pointer reference(s) 0x0348DD. Proof: exact pinned-glyph decode and preceding item-message pointer. English wording was not translated or reviewed."
MAIN:0x03499D,721,false_high_multi_source_restoration_split,pointer_table,high,0x0348F1 0x0348F3,1029 1030,0x03499C 0x0349A8,"得到解麻药
---

得到睡醒药",ai_review_restoration_split,0x0348F3,1030,0x0349A8,得到睡醒药,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03499D: selected record(s) 1030, offset(s) 0x0349A8, pointer reference(s) 0x0348F3. Proof: restoration topology leaves exactly this MAIN pointer owner. English wording was not translated or reviewed."
MAIN:0x034C03,747,unaligned_dialogue_resolved_by_inventory,unaligned,low,,,,,ai_review_direct_glyph_payload,0x034AE9,,0x034C03,欢迎!,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x034C03: selected record(s) N/A (direct compact payload), offset(s) 0x034C03, pointer reference(s) 0x034AE9. Proof: exact pinned-glyph decode and preceding service-message pointer. English wording was not translated or reviewed."
MAIN:0x035F75,881,unaligned_non_dialogue,unaligned,low,,,,,ai_review_manual_record,0x0300A1,59,0x030430,想学会,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x035F75: selected record(s) 59, offset(s) 0x030430, pointer reference(s) 0x0300A1. Proof: manual unaligned resolution rechecked against the pinned record. English wording was not translated or reviewed."
MAIN:0x03656D,1014,unaligned_non_dialogue,unaligned,low,,,,,ai_review_manual_record,0x034AF9,1063,0x034CD9,我相信科学的力量!现在电脑可以通信精灵和道具,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03656D: selected record(s) 1063, offset(s) 0x034CD9, pointer reference(s) 0x034AF9. Proof: manual unaligned resolution rechecked against the pinned record. English wording was not translated or reviewed."
MAIN:0x0368F1,1028,unaligned_non_dialogue,unaligned,low,,,,,ai_review_record_prefix,0x034B51,1107,0x03523F,最近幽灵塔里好象出现幽灵...,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x0368F1: selected record(s) 1107, offset(s) 0x03523F, pointer reference(s) 0x034B51. Proof: first proposition of pinned record 1107, as isolated by the source inventory. English wording was not translated or reviewed."
MAIN:0x037A51,1114,unaligned_dialogue_resolved_by_inventory,unaligned,low,,,,,ai_review_dialogue_inventory_record,0x0331CD,1003,0x034421,武藏:对!!他就在彩虹市的南晶科技开发部!!名字叫卡美优!,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x037A51: selected record(s) 1003, offset(s) 0x034421, pointer reference(s) 0x0331CD. Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x037AB1,1115,unaligned_dialogue_resolved_by_inventory,unaligned,low,,,,,ai_review_dialogue_inventory_record,0x0331CF,1004,0x034457,喵喵:喵...就是这样,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x037AB1: selected record(s) 1004, offset(s) 0x034457, pointer reference(s) 0x0331CF. Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x03804B,1118,unaligned_dialogue_resolved_by_inventory,unaligned,low,,,,,ai_review_direct_menu_payload,0x03801B,,0x03804B,精灵取出精灵存放,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03804B: selected record(s) N/A (direct compact payload), offset(s) 0x03804B, pointer reference(s) 0x03801B. Proof: direct PC-menu payload and its table pointer. English wording was not translated or reviewed."
MAIN:0x038445,1143,unaligned_dialogue_resolved_by_inventory,unaligned,low,,,,,ai_review_composite_dialogue_inventory,0x03018D 0x03018F 0x030191,175 176 177,0x03082B 0x03087F 0x0308BA,"你好!欢迎你光临宠物精灵的世界!大家都叫我大木博士,在这世界住着被称为宠物精灵的生物!这生物被视为宠物,或使用于对战等等.而我是研究这宠物精灵的!小智,一个将属于你的故事,梦想即将开始!",source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x038445: selected record(s) 175 176 177, offset(s) 0x03082B 0x03087F 0x0308BA, pointer reference(s) 0x03018D 0x03018F 0x030191. Proof: dialogue inventory concatenation of the three consecutive intro records. English wording was not translated or reviewed."
MAIN:0x0384F8,1144,medium_confidence_containing_offset,containing_offset,medium,,1218,0x0384F7,"妈妈:是嘛男孩子都是志在四方嘛!...嗯,电视上都是这么说的!对了,隔壁的大木博士在找你呢",ai_review_dialogue_inventory_record,,1219,0x03854C,"小茂:嗨!小智,你要找大木爷爷的话,他不在喔!我也是听他说要给宠物精灵才赶紧来的...",source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x0384F8: selected record(s) 1219, offset(s) 0x03854C, pointer reference(s) N/A (sequential/unpointed script segment). Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x038519,1145,medium_confidence_containing_offset,containing_offset,medium,,1218,0x0384F7,"妈妈:是嘛男孩子都是志在四方嘛!...嗯,电视上都是这么说的!对了,隔壁的大木博士在找你呢",ai_review_dialogue_inventory_record,,1220,0x03859D,大木:真是危险!野生精灵会从草丛中跳出来的!你如有宠物精灵是可与他对战...对了!跟我来一下吧!,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x038519: selected record(s) 1220, offset(s) 0x03859D, pointer reference(s) N/A (sequential/unpointed script segment). Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x0385A7,1146,medium_confidence_containing_offset,containing_offset,medium,,1220,0x03859D,大木:真是危险!野生精灵会从草丛中跳出来的!你如有宠物精灵是可与他对战...对了!跟我来一下吧!,ai_review_dialogue_inventory_record,,1221,0x0385F8,"小茂:爷爷,你回来了!",source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x0385A7: selected record(s) 1221, offset(s) 0x0385F8, pointer reference(s) N/A (sequential/unpointed script segment). Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x0385D6,1147,medium_confidence_containing_offset,containing_offset,medium,,1220,0x03859D,大木:真是危险!野生精灵会从草丛中跳出来的!你如有宠物精灵是可与他对战...对了!跟我来一下吧!,ai_review_dialogue_inventory_record,,1223,0x038690,小茂:啊!...啊!偏心!爷爷我也要!,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x0385D6: selected record(s) 1223, offset(s) 0x038690, pointer reference(s) N/A (sequential/unpointed script segment). Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x0385F3,1148,medium_confidence_containing_offset,containing_offset,medium,,1220,0x03859D,大木:真是危险!野生精灵会从草丛中跳出来的!你如有宠物精灵是可与他对战...对了!跟我来一下吧!,ai_review_dialogue_inventory_record,,1224,0x0386B1,大木:小茂你急什么!我等一下也会给你的,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x0385F3: selected record(s) 1224, offset(s) 0x0386B1, pointer reference(s) N/A (sequential/unpointed script segment). Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x038620,1149,medium_confidence_containing_offset,containing_offset,medium,,1222,0x03860E,"大木:喔?小茂你已经来啦?我不是叫你稍后再来嘛...既然来啦就再等一下吧!喔...小智在那有个圆圆的球吧,那里有宠物精灵是要给你的!拿去吧!",ai_review_dialogue_inventory_record,,1225,0x0386D8,小茂:哼!我一定能拿到比你好的!,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x038620: selected record(s) 1225, offset(s) 0x0386D8, pointer reference(s) N/A (sequential/unpointed script segment). Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x03864F,1150,medium_confidence_containing_offset,containing_offset,medium,,1222,0x03860E,"大木:喔?小茂你已经来啦?我不是叫你稍后再来嘛...既然来啦就再等一下吧!喔...小智在那有个圆圆的球吧,那里有宠物精灵是要给你的!拿去吧!",ai_review_dialogue_inventory_record,,1226,0x0386F8,"小茂:小智,这个可是我的!",source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03864F: selected record(s) 1226, offset(s) 0x0386F8, pointer reference(s) N/A (sequential/unpointed script segment). Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x039D60,1278,medium_confidence_containing_offset,containing_offset,medium,,1345,0x039D4D,谈判小子:第三人登场!我不会给你太好过,ai_review_glyph_record_fragment,0x038349,1345,0x039D60,我不会给你太好过,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x039D60: selected record(s) 1345, offset(s) 0x039D60, pointer reference(s) 0x038349. Proof: exact pinned-glyph suffix within pointer-owned record 1345. English wording was not translated or reviewed."
MAIN:0x039D74,1279,false_high_multi_source_restoration_split,pointer_table,high,0x03834B 0x038367,1346 1360,0x039D73 0x039F7C,"谈判小子:有两下子
---

得到小火龙",ai_review_restoration_split,0x038367,1360,0x039F7C,得到小火龙,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x039D74: selected record(s) 1360, offset(s) 0x039F7C, pointer reference(s) 0x038367. Proof: restoration topology leaves exactly this MAIN pointer owner. English wording was not translated or reviewed."
MAIN:0x039DA8,1281,false_high_multi_source_restoration_split,pointer_table,high,0x03834F 0x038377,1348 1368,0x039DB7 0x03A06F,"迷你裙:我今后就关注你吧
---

铁达尼号上可是有很多厉害的训练师哦!",ai_review_restoration_split,0x038377,1368,0x03A06F,铁达尼号上可是有很多厉害的训练师哦!,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x039DA8: selected record(s) 1368, offset(s) 0x03A06F, pointer reference(s) 0x038377. Proof: restoration topology leaves exactly this MAIN pointer owner. English wording was not translated or reviewed."
MAIN:0x039DE5,1283,false_high_multi_source_restoration_split,pointer_table,high,0x038353 0x03837D,1350 1371,0x039DF4 0x03A0BC,"侦察员:你是第一个打败我们的
---

大叔:想过去,先打败我",ai_review_restoration_split,0x03837D,1371,0x03A0BC,"大叔:想过去,先打败我",source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x039DE5: selected record(s) 1371, offset(s) 0x03A0BC, pointer reference(s) 0x03837D. Proof: restoration topology leaves exactly this MAIN pointer owner. English wording was not translated or reviewed."
MAIN:0x03A9A3,1371,medium_confidence_containing_offset,containing_offset,medium,,1439,0x03A98C,"小茂:听说居合斩的名人也在船上,看了一下竟然是会晕船的老头!你也去看看吧,再会了!",ai_review_dialogue_inventory_record,,1474,0x03B0C6,老爷爷:对精灵要有爱心,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03A9A3: selected record(s) 1474, offset(s) 0x03B0C6, pointer reference(s) N/A (sequential/unpointed script segment). Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x03A9BE,1372,medium_confidence_containing_offset,containing_offset,medium,,1439,0x03A98C,"小茂:听说居合斩的名人也在船上,看了一下竟然是会晕船的老头!你也去看看吧,再会了!",ai_review_dialogue_inventory_record,,1475,0x03B0DE,老爷爷:少年人不错,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03A9BE: selected record(s) 1475, offset(s) 0x03B0DE, pointer reference(s) N/A (sequential/unpointed script segment). Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x03A9D1,1373,medium_confidence_containing_offset,containing_offset,medium,,1439,0x03A98C,"小茂:听说居合斩的名人也在船上,看了一下竟然是会晕船的老头!你也去看看吧,再会了!",ai_review_dialogue_inventory_record,0x038405,1439,0x03A98C,"小茂:听说居合斩的名人也在船上,看了一下竟然是会晕船的老头!你也去看看吧,再会了!",source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03A9D1: selected record(s) 1439, offset(s) 0x03A98C, pointer reference(s) 0x038405. Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x03A9EA,1374,medium_confidence_containing_offset,containing_offset,medium,,1440,0x03A9DB,"名人:晕船,不行了...好难过",ai_review_dialogue_inventory_record,,1471,0x03B079,老爷爷:被打败了,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03A9EA: selected record(s) 1471, offset(s) 0x03B079, pointer reference(s) N/A (sequential/unpointed script segment). Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x03AA38,1378,medium_confidence_containing_offset,containing_offset,medium,,1442,0x03AA08,"名人:嗯,好多了...谢谢你!什么你想看我的居合斩?如果我的身体好点的话就可以表演给你看...对了,这个给你吧!只要教你的精灵那你就随时都可看到居合斩了!",ai_review_dialogue_inventory_record,,1476,0x03B0F2,谈判小子:你怎么可以这样?,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03AA38: selected record(s) 1476, offset(s) 0x03B0F2, pointer reference(s) N/A (sequential/unpointed script segment). Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x03AA55,1379,medium_confidence_containing_offset,containing_offset,medium,,1442,0x03AA08,"名人:嗯,好多了...谢谢你!什么你想看我的居合斩?如果我的身体好点的话就可以表演给你看...对了,这个给你吧!只要教你的精灵那你就随时都可看到居合斩了!",ai_review_dialogue_inventory_record,,1477,0x03B10D,谈判小子:我什么都没说,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03AA55: selected record(s) 1477, offset(s) 0x03B10D, pointer reference(s) N/A (sequential/unpointed script segment). Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x03AA6E,1380,medium_confidence_containing_offset,containing_offset,medium,,1442,0x03AA08,"名人:嗯,好多了...谢谢你!什么你想看我的居合斩?如果我的身体好点的话就可以表演给你看...对了,这个给你吧!只要教你的精灵那你就随时都可看到居合斩了!",ai_review_dialogue_inventory_record,,1472,0x03B08B,侦察员:无论如何都别想过我这关,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03AA6E: selected record(s) 1472, offset(s) 0x03B08B, pointer reference(s) N/A (sequential/unpointed script segment). Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x03AA91,1381,medium_confidence_containing_offset,containing_offset,medium,,1442,0x03AA08,"名人:嗯,好多了...谢谢你!什么你想看我的居合斩?如果我的身体好点的话就可以表演给你看...对了,这个给你吧!只要教你的精灵那你就随时都可看到居合斩了!",ai_review_dialogue_inventory_record,,1473,0x03B0AB,"侦察员:我当没看见,你走吧",source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03AA91: selected record(s) 1473, offset(s) 0x03B0AB, pointer reference(s) N/A (sequential/unpointed script segment). Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x03AAA1,1382,medium_confidence_containing_offset,containing_offset,medium,,1443,0x03AA97,得到特技01居合斩,ai_review_dialogue_inventory_record,,1478,0x03B125,老爷爷:今天来决一胜负吧,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03AAA1: selected record(s) 1478, offset(s) 0x03B125, pointer reference(s) N/A (sequential/unpointed script segment). Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x03AABA,1383,medium_confidence_containing_offset,containing_offset,medium,,1444,0x03AAA9,裁判:为来的冠军!马其斯少佐的外号叫闪电美国!使用电系精灵可称的上美国第一!飞行类和水类是不适用的...,ai_review_dialogue_inventory_record,,1479,0x03B13F,老爷爷:算你走运...,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03AABA: selected record(s) 1479, offset(s) 0x03B13F, pointer reference(s) N/A (sequential/unpointed script segment). Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x03BDDA,1529,medium_confidence_containing_offset,containing_offset,medium,,1583,0x03BDC6,"蓓蓓:没有我不知道的事,就连电玩里的世界也一样!这只依布就送给你吧!",ai_review_unpointed_physical_record_context,0x03AF42,1583,0x03BDC6,"蓓蓓:没有我不知道的事,就连电玩里的世界也一样!这只依布就送给你吧!",source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03BDDA: selected record(s) 1583, offset(s) 0x03BDC6, pointer reference(s) 0x03AF42. Proof: the unpointed short English residue lies inside pinned record 1583; the pointer-owned full record is retained as source context without claiming that the residue is a faithful translation. English wording was not translated or reviewed."
MAIN:0x03BEE1,1534,medium_confidence_containing_offset,containing_offset,medium,,1590,0x03BEC3,大姐姐:呀!这里都是女人真是无聊死了!,ai_review_dialogue_inventory_record,0x03AFAE,1637,0x03C4DD,小次郎:真是不要脸,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03BEE1: selected record(s) 1637, offset(s) 0x03C4DD, pointer reference(s) 0x03AFAE. Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x03C33F,1561,medium_confidence_containing_offset,containing_offset,medium,,1621,0x03C33D,大姐头:来的正好!,ai_review_dialogue_inventory_record,0x03B002,1679,0x03C979,小次郎:你给我记住,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03C33F: selected record(s) 1679, offset(s) 0x03C979, pointer reference(s) 0x03B002. Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
MAIN:0x03D088,1643,unaligned_dialogue_resolved_by_inventory,unaligned,low,,,,,ai_review_dialogue_inventory_record,0x03B056,1721,0x03CE69,捉鸟人:那里有很多珍贵的精灵...,source_text_resolved_ai_review,ai_source_reviewed,"AI Chinese-source review for MAIN:0x03D088: selected record(s) 1721, offset(s) 0x03CE69, pointer reference(s) 0x03B056. Proof: exact Unicode match in the exhaustive dialogue inventory. English wording was not translated or reviewed."
