surface,stable_key,domain,source_text,previous_english,reviewed_english,status,review_class,reason,encoded_length,layout
catalogue,MAIN:0x0302C5,fixed_or_dynamic,效果一般!,It was effective!,It was effective!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",17,
catalogue,MAIN:0x0302CF,fixed_or_dynamic,效果不好!,It wasn't very effective!,It's not very effective!,corrected,dynamic_layout_24,Uses the canonical effectiveness formula in exactly 24 artifact-free cells.,24,
catalogue,MAIN:0x0302E4,fixed_or_dynamic,没有效果!,It had no effect!,It had no effect!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",17,
catalogue,MAIN:0x0302EE,fixed_or_dynamic,中毒了, was poisoned!, was poisoned!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",14,
catalogue,MAIN:0x0302FA,fixed_or_dynamic,"中剧毒了
---

害怕了", was badly poisoned!, was badly poisoned!,corrected,dynamic_layout_24,Keeps the distinct bad-poison result natural on the engine-provided second row.,20,
catalogue,MAIN:0x030304,fixed_or_dynamic,被烧伤了, was burned!, was burned!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",12,
catalogue,MAIN:0x03030E,fixed_or_dynamic,混乱了, became confused!, became confused!,corrected,dynamic_layout_24,Keeps the normal confusion result natural on the engine-provided second row.,17,
catalogue,MAIN:0x03031A,fixed_or_dynamic,冰冻了, was frozen!, was frozen!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",12,
catalogue,MAIN:0x030324,fixed_or_dynamic,中毒了有损伤, was hurt by poison!, was hurt by poison!,corrected,dynamic_layout_24,Keeps poison damage intact on the engine-provided second row.,20,
catalogue,MAIN:0x030341,fixed_or_dynamic,睡着了, fell asleep!, fell asleep!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",13,
catalogue,MAIN:0x03034B,fixed_or_dynamic,烧伤了有损伤, was hurt by its burn!, was hurt by its burn!,corrected,dynamic_layout_24,Keeps burn damage intact on the engine-provided second row.,22,
catalogue,MAIN:0x030364,fixed_or_dynamic,混乱了攻击自己, hurt itself in confusion!, hurt itself!,corrected,dynamic_layout_24,Uses the concise official battle sense without splitting a word.,13,
catalogue,MAIN:0x030373,fixed_or_dynamic,冰冻了不能动, is frozen and can't move!, is frozen solid!,corrected,dynamic_layout_24,Keeps the frozen/no-action state natural within one row.,17,
catalogue,MAIN:0x030381,fixed_or_dynamic,中剧毒了损伤, was hurt by severe poisoning!, was hurt by poison!,corrected,dynamic_layout_24,Keeps the severe-poison damage event clear without overflowing.,20,
catalogue,MAIN:0x030392,fixed_or_dynamic,害怕不能行动, flinched and couldn't move!, flinched!,corrected,dynamic_layout_24,Uses the concise Gen I flinch formula on the engine-provided second row.,10,
catalogue,MAIN:0x0303A1,fixed_or_dynamic,上升了, rose!, rose!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",6,
catalogue,MAIN:0x0303A9,fixed_or_dynamic,不能再上升了, won't go any higher!, won't rise!,corrected,dynamic_layout_24,Keeps the stat-limit result grammatical alongside the longest stat label.,12,
catalogue,MAIN:0x0303BC,fixed_or_dynamic,下降了, fell!, fell!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",6,
catalogue,MAIN:0x0303C8,fixed_or_dynamic,迅速下降了, fell sharply!, fell sharply!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",14,
catalogue,MAIN:0x0303D6,fixed_or_dynamic,不能再下降了, won't go any lower!, won't fall!,corrected,dynamic_layout_24,Keeps the stat-limit result grammatical alongside the longest stat label.,12,
catalogue,MAIN:0x0303E6,fixed_or_dynamic,谢谢,Thanks!,Thanks!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",7,
catalogue,MAIN:0x0303EB,fixed_or_dynamic,谢谢,Thanks!,Thanks!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",7,
catalogue,MAIN:0x0303F0,fixed_or_dynamic,谢谢,Thanks!,Thanks!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",7,
catalogue,MAIN:0x0303F6,fixed_or_dynamic,谢谢,Thanks!,Thanks!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",7,
catalogue,MAIN:0x0303FC,fixed_or_dynamic,谢谢,Thanks!,Thanks!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",7,
catalogue,MAIN:0x030403,fixed_or_dynamic,什么!?,What!?,What!?,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",6,
catalogue,MAIN:0x030409,fixed_or_dynamic,的样子...!, is evolving...!, is evolving!,corrected,dynamic_boundary,Removes the contradictory ellipsis-plus-exclamation ending from the dynamic evolution suffix.,13,
catalogue,MAIN:0x030417,fixed_or_dynamic,恭喜!,Congratulations!,Congrats! ,corrected,dynamic_layout_24,Keeps the evolution result plus a ten-cell Pokémon name within the first physical row.,10,
catalogue,MAIN:0x03041D,fixed_or_dynamic,啊!野生的,Wild ,Wild ,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",5,
catalogue,MAIN:0x030428,fixed_or_dynamic,学会了,learned,learned,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",7,
catalogue,MAIN:0x03043F,fixed_or_dynamic,四个技能已经满了!,It already knows four moves!,It knows four moves!,corrected,dynamic_layout_24,Keeps the full move-slot warning natural within one artifact-free row.,20,
catalogue,MAIN:0x030458,fixed_or_dynamic,要学会, wants to learn , wants to learn ,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",16,
catalogue,MAIN:0x03045F,fixed_or_dynamic,将, completely forgot how to use ,The move ,corrected,dynamic_layout_25,Starts a complete passive sentence with the forgotten move on row one; the verb is rendered alone on row two.,9,
catalogue,MAIN:0x030467,fixed_or_dynamic,是否,Yes  No,Yes  No,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",7,
catalogue,MAIN:0x030479,fixed_or_dynamic,忘记哪个技能?,Which move should be forgotten?,"Which move should be
forgotten?",corrected,dynamic_layout_24,Keeps the complete move-forgetting prompt across two bounded rows.,31,
catalogue,MAIN:0x030485,fixed_or_dynamic,用法完全忘记了!,!,was forgotten!,corrected,dynamic_layout_25,Completes the forgotten-move sentence on the engine-provided second row instead of leaving an orphan exclamation mark.,14,
catalogue,MAIN:0x03048C,fixed_or_dynamic,迅速上升了, rose sharply!, rose sharply!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",14,
catalogue,MAIN:0x03049A,fixed_or_dynamic,而且学会了, and learned ,Learned move:,corrected,dynamic_layout_25,Introduces the newly learned move as a complete standalone result before the engine renders its name on row two.,13,
catalogue,MAIN:0x0304AB,fixed_or_dynamic,没有学习, did not learn , didn't learn,corrected,dynamic_layout_24,Fits Pokémon plus result on row one; the move is rendered separately on row two.,13,
catalogue,MAIN:0x0304C2,fixed_or_dynamic,聚集了太阳光, absorbed sunlight!, absorbed sunlight!,corrected,dynamic_layout_24,Keeps the charging message intact on the engine-provided second row.,19,
catalogue,MAIN:0x0304CF,fixed_or_dynamic,太阳光射出, unleashed solar energy!, unleashed solar energy!,corrected,dynamic_layout_24,Uses the complete solar-release message within exactly 24 cells.,24,
catalogue,MAIN:0x0304DB,fixed_or_dynamic,钻到了地下, burrowed underground!, burrowed underground!,corrected,dynamic_layout_24,Keeps the underground message intact on the engine-provided second row.,22,
catalogue,MAIN:0x0304E7,fixed_or_dynamic,迅速攻击, attacked swiftly!, attacked swiftly!,corrected,dynamic_layout_24,Keeps the swift-attack message intact on the engine-provided second row.,18,
catalogue,MAIN:0x0304F1,fixed_or_dynamic,蓄集力量, stored up power!, stored up power!,corrected,dynamic_layout_24,Keeps the stored-power message intact on the engine-provided second row.,17,
catalogue,MAIN:0x0304FB,fixed_or_dynamic,全力一击, struck with full force!, struck with full force!,corrected,dynamic_layout_24,Uses exactly 24 artifact-free cells on the engine-provided second row.,24,
catalogue,MAIN:0x030505,fixed_or_dynamic,蓄集力量, stored up power!, stored up power!,corrected,dynamic_layout_24,Applies the same bounded stored-power formula to the duplicate state.,17,
catalogue,MAIN:0x03050F,fixed_or_dynamic,全力一击, struck with full force!, struck with full force!,corrected,dynamic_layout_24,Applies the same bounded full-force formula to the duplicate state.,24,
catalogue,MAIN:0x030519,fixed_or_dynamic,蓄集打消, stopped storing power!, stopped storing power!,corrected,dynamic_layout_24,Keeps the release-cancel message intact on the engine-provided second row.,23,
catalogue,MAIN:0x030523,fixed_or_dynamic,飞上高空, flew high into the sky!, flew high into the sky!,corrected,dynamic_layout_24,Uses exactly 24 artifact-free cells on the engine-provided second row.,24,
catalogue,MAIN:0x03052D,fixed_or_dynamic,舍命一击, risked its life on one strike!, risked everything!,corrected,dynamic_layout_24,Keeps the one-strike risk in a natural compact formula.,19,
catalogue,MAIN:0x030537,fixed_or_dynamic,蓄集神力, gathered mystical power!, gathered mystical power!,corrected,dynamic_layout_25,Keeps the complete charge wording within the fully cleared 25-cell row.,25,
catalogue,MAIN:0x030541,fixed_or_dynamic,神力射出, unleashed mystical power!, released mystic power!,corrected,dynamic_layout_24,Keeps the release meaning within 22 second-row cells.,23,
catalogue,MAIN:0x03054B,fixed_or_dynamic,预知未来, foresaw an attack!, foresaw an attack!,corrected,dynamic_layout_24,Keeps the foresight message intact on the engine-provided second row.,19,
catalogue,MAIN:0x030555,fixed_or_dynamic,受到预知未来攻击, was struck by Future Sight!, hit by Future Sight!,corrected,dynamic_layout_24,Keeps the named move and result within one second row.,21,
catalogue,MAIN:0x030567,fixed_or_dynamic,吃掉了, ate , ate ,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",5,
catalogue,MAIN:0x03056F,fixed_or_dynamic,的梦,'s dream!,'s dream!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",9,
catalogue,MAIN:0x030575,fixed_or_dynamic,发怒了, flew into a rage!, flew into a rage!,corrected,dynamic_layout_24,Keeps the rage message intact on the engine-provided second row.,18,
catalogue,MAIN:0x03057D,fixed_or_dynamic,受到诅咒, was cursed!, was cursed!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",12,
catalogue,MAIN:0x030588,fixed_or_dynamic,战斗,Fight,Fight,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",5,
catalogue,MAIN:0x03058E,fixed_or_dynamic,背包, Bag, Bag,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",4,
catalogue,MAIN:0x030594,fixed_or_dynamic,精灵,PKMN,PKMN,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",4,
catalogue,MAIN:0x030599,fixed_or_dynamic,逃跑,Run,Run,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",3,
catalogue,MAIN:0x0305E8,fixed_or_dynamic,战斗,Battle,Battle,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",6,
catalogue,MAIN:0x0305F5,fixed_or_dynamic,普  通,Items,Items,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",5,
catalogue,MAIN:0x030602,fixed_or_dynamic,精灵球,Balls,Balls,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",5,
catalogue,MAIN:0x030608,fixed_or_dynamic,秘传技,TM/HM,TM/HM,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",5,
catalogue,MAIN:0x030611,fixed_or_dynamic,贵  重,Key,Key,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",3,
catalogue,MAIN:0x030618,fixed_or_dynamic,威力:,Power:,Power:,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",6,
catalogue,MAIN:0x030621,fixed_or_dynamic,命中:,Acc.:,Acc.:,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",5,
catalogue,MAIN:0x03062E,fixed_or_dynamic,野生,Wild ,Wild ,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",5,
catalogue,MAIN:0x030634,fixed_or_dynamic,对手,Enemy ,Enemy ,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",6,
catalogue,MAIN:0x03063B,fixed_or_dynamic,命中要害!,A critical hit!,A critical hit!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",15,
catalogue,MAIN:0x030646,fixed_or_dynamic,使用下一个怪兽吗?,Use next Pokémon?,Use next Pokémon?,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",17,
catalogue,MAIN:0x030659,fixed_or_dynamic,是  否,Yes  No,Yes  No,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",7,
catalogue,MAIN:0x030660,fixed_or_dynamic,小智要改变怪兽吗?,Will Ash change Pokémon?,Will Ash change Pokémon?,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",24,
catalogue,MAIN:0x03067D,fixed_or_dynamic,等级提升到了, grew to level , grew to level ,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",15,
catalogue,MAIN:0x03068E,fixed_or_dynamic,已经, already,Status unchanged!,corrected,dynamic_layout_24,Gives the already-affected branch a complete standalone result before its dedicated routine return.,17,
catalogue,MAIN:0x03069F,fixed_or_dynamic,攻击力,'s Attack,'s Attack,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",9,
catalogue,MAIN:0x0306A6,fixed_or_dynamic,防御力,'s Defense,'s Defense,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",10,
catalogue,MAIN:0x0306AF,fixed_or_dynamic,特攻,'s Sp. Atk,'s Sp. Atk,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",10,
catalogue,MAIN:0x0306B5,fixed_or_dynamic,特防,'s Sp. Def,'s Sp. Def,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",10,
catalogue,MAIN:0x0306BA,fixed_or_dynamic,速度,'s Speed,'s Speed,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",8,
catalogue,MAIN:0x0306C0,fixed_or_dynamic,命中率,'s Accuracy,'s Accuracy,corrected,dynamic_layout_25,Keeps the full stat name now that all 25 interior cells are cleared between messages.,11,
catalogue,MAIN:0x0306C9,fixed_or_dynamic,血值有所恢复, recovered some HP!, recovered some HP!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",19,
catalogue,MAIN:0x0306D7,fixed_or_dynamic,不能行动!, can't move!, can't move!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",12,
catalogue,MAIN:0x0306E1,fixed_or_dynamic,一击必杀!,One-hit KO!,One-hit KO!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",11,
catalogue,MAIN:0x0306EC,fixed_or_dynamic,逃跑了!, fled!, fled!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",6,
catalogue,MAIN:0x0306F5,fixed_or_dynamic,不能逃!,Can't escape!,Can't escape!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",13,
catalogue,MAIN:0x0306FE,fixed_or_dynamic,中毒解除了,No longer poisoned!,No longer poisoned!,corrected,dynamic_layout_24,Keeps the cured-status sentence on the engine-provided second row.,19,
catalogue,MAIN:0x03070B,fixed_or_dynamic,醒过来了,Woke up!,Woke up!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",8,
catalogue,MAIN:0x030714,fixed_or_dynamic,麻痹解除了,No longer paralyzed!,No longer paralyzed!,corrected,dynamic_layout_24,Keeps the cured-status sentence on the engine-provided second row.,20,
catalogue,MAIN:0x030720,fixed_or_dynamic,烧伤解除了,No longer burned!,No longer burned!,corrected,dynamic_layout_24,Keeps the cured-status sentence on the engine-provided second row.,17,
catalogue,MAIN:0x03072D,fixed_or_dynamic,混乱解除了,No longer confused!,No longer confused!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",19,
catalogue,MAIN:0x030738,fixed_or_dynamic,冰冻解除了,No longer frozen!,No longer frozen!,corrected,dynamic_layout_24,Keeps the cured-status sentence on the engine-provided second row.,17,
catalogue,MAIN:0x030744,fixed_or_dynamic,剧毒解除了,No longer badly poisoned!,No longer badly poisoned!,corrected,dynamic_layout_25,Keeps the complete severe-poison cure formula within the fully cleared 25-cell row.,25,
catalogue,MAIN:0x030750,fixed_or_dynamic,害怕解除了,No longer afraid!,No longer afraid!,corrected,dynamic_layout_24,Keeps the cured-flinch sentence on the engine-provided second row.,17,
catalogue,MAIN:0x03075C,fixed_or_dynamic,得到了,Got ,Got ,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",4,
catalogue,MAIN:0x030765,fixed_or_dynamic,支付了,Paid ,Paid ,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",5,
catalogue,MAIN:0x03076B,fixed_or_dynamic,和,Trainer ,Trainer ,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",8,
catalogue,MAIN:0x030775,fixed_or_dynamic,比试失败了,won!,won!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",4,
catalogue,MAIN:0x03077A,fixed_or_dynamic,需要,Requires ,Requires ,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",9,
catalogue,MAIN:0x030782,fixed_or_dynamic,蓝色徽章,Blue Badge,Cascade Badge,corrected,natural_english,Uses the official Badge name for the blue/Cut requirement.,13,
catalogue,MAIN:0x03078C,fixed_or_dynamic,橙色徽章,Orange Badge,Thunder Badge,corrected,natural_english,Uses the official Badge name for the orange requirement.,13,
catalogue,MAIN:0x030796,fixed_or_dynamic,粉红徽章,Pink Badge,Soul Badge,corrected,natural_english,Uses the official Badge name for the pink/Surf requirement.,10,
catalogue,MAIN:0x0307A0,fixed_or_dynamic,彩虹徽章,Rainbow Badge,Rainbow Badge,reviewed_no_change,natural_english,Retains the official Rainbow Badge name.,13,
catalogue,MAIN:0x0307AA,fixed_or_dynamic,灰色徽章,Gray Badge,Boulder Badge,corrected,natural_english,Uses the official Badge name for the gray/Flash requirement.,13,
catalogue,MAIN:0x0307B9,fixed_or_dynamic,不能中毒!,Can't be poisoned!,"
Can't be poisoned!",corrected,dynamic_layout_24,Moves the poison-immunity result to row two after the Pokémon name.,19,
catalogue,MAIN:0x0307C4,fixed_or_dynamic,不能烧伤!,Can't be burned!,"
Can't be burned!",corrected,dynamic_layout_24,Moves the burn-immunity result to row two after the Pokémon name.,17,
catalogue,MAIN:0x0307CF,fixed_or_dynamic,不能冰冻!,Can't be frozen!,"
Can't be frozen!",corrected,dynamic_layout_24,Moves the freeze-immunity result to row two after the Pokémon name.,17,
catalogue,MAIN:0x0307DA,fixed_or_dynamic,存放,Store,Store,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",5,
catalogue,MAIN:0x0307E1,fixed_or_dynamic,箱子一,Box 1,Box 1,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",5,
catalogue,MAIN:0x0307E9,fixed_or_dynamic,箱子二,Box 2,Box 2,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",5,
catalogue,MAIN:0x0307F1,fixed_or_dynamic,箱子三,Box 3,Box 3,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",5,
catalogue,MAIN:0x0307F9,fixed_or_dynamic,箱子四,Box 4,Box 4,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",5,
catalogue,MAIN:0x030801,fixed_or_dynamic,箱子五,Box 5,Box 5,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",5,
catalogue,MAIN:0x030809,fixed_or_dynamic,箱子六,Box 6,Box 6,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",5,
catalogue,MAIN:0x030811,fixed_or_dynamic,箱子七,Box 7,Box 7,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",5,
catalogue,MAIN:0x030819,fixed_or_dynamic,箱子八,Box 8,Box 8,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",5,
catalogue,MAIN:0x03081F,fixed_or_dynamic,携带已满!,Party full!,Party full!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",11,
catalogue,MAIN:0x03082C,dialogue,"你好!欢迎你光临宠物精灵的世界!大家都叫我大木博士,在这世界住着被称为宠物精灵的生物!","PROF. OAK: Hello there! Welcome to the world of Pokémon! I'm Oak, the Pokémon Prof.! Creatures called Pokémon live here!","PROF. OAK: Hello there! Welcome to the world of Pokémon! I'm Oak, the Pokémon Prof.! Creatures called Pokémon live here!",reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",130,dialogue_intro_17_19
catalogue,MAIN:0x030898,pokedex,在阳光的照耀下种子慢慢生长,Its seed grows slowly in sunlight.,Its seed grows slowly in sunlight.,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",38,pokedex_13x4
catalogue,MAIN:0x0308C7,fixed_or_dynamic,攻击, attacks!, attacks!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",9,
catalogue,MAIN:0x0308D3,fixed_or_dynamic,欢迎光临,Welcome!,Welcome!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",8,
catalogue,MAIN:0x0308E1,fixed_or_dynamic,买,Buy,Buy,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",3,
catalogue,MAIN:0x0308E5,fixed_or_dynamic,卖,Sell,Sell,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",4,
catalogue,MAIN:0x0308E9,fixed_or_dynamic,"买几个?
---

卖几个?",How many?,How many?,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",9,
catalogue,MAIN:0x0308F6,fixed_or_dynamic,交易成功,Transaction complete!,Transaction complete!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",21,
catalogue,MAIN:0x030902,fixed_or_dynamic,无法交易,Transaction failed!,Transaction failed!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",19,
catalogue,MAIN:0x030919,fixed_or_dynamic,未得到图鉴!,Pokédex not obtained!,No Pokédex!,corrected,natural_english,Replaces a noun-fragment error with a compact natural system message.,11,
catalogue,MAIN:0x03092D,fixed_or_dynamic,没有精灵,No Pokémon!,No Pokémon!,reviewed_no_change,full_corpus_review,"Reviewed against Chinese source, runtime role, and English style; no certain change required.",11,
