stable_key,record_type,entry_index,dialogue_id,category,source_offset_or_pointer,script_line,pointer_references,selected_pointer_references,layout,speaker,chinese_record_indexes,chinese_offsets,chinese_text,english_2015_storage,english_2015,french_v2_gloss,english_v2,editorial_origin,alignment_method,alignment_confidence,source_resolution,review_status,encoded_length,source_capacity_bytes,compression,compression_justification,fidelity_comment,secondary_french_provenance,multi_source_mode,pointer_variant_count,storage_overlap_group,storage_overlap_role
MAIN:0x03026D,MAIN,14,,Ordinary text,0x03026D,124,0x030049,0x030049,,,16,0x03026C,不行!胜负的关键不能逃!,ascii,Can't run from trainer,Fuite impossible!    ,"No! There's no running
from a Trainer battle!",translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,45,22,yes,"Uses complete, natural English while respecting dialogue pagination and ROM bank limits; no displayed word is truncated.",Preserves the prohibition on fleeing while using the natural official English battle phrasing. Full-text review: Keeps the complete Gen I Trainer-battle escape formula across two bounded rows.,French v2 secondary gloss only,,,,
MAIN:0x030290,MAIN,15,,Ordinary text,0x030290,125,0x030051,0x030051,,,20,0x03029E,不行!这是偷盗行为!,ascii,Trainer blocked the ball,Le Dresseur bloque la Poké Ball!,"No! That would be
stealing!",translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,27,24,no,,Directly preserves the warning that attempting this action would constitute theft. Full-text review: Keeps the complete Gen I stealing warning across two bounded rows.,French v2 secondary gloss only,,,,
MAIN:0x0302A9,MAIN,16,,Ordinary text,0x0302A9,126,0x030053,0x030053,,,21,0x0302B2,请准备应战,ascii,Your turn!,0000000000À ton tour,Your turn!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,10,20,yes,The left battle pane cannot safely render Prepare to battle!; the concise 2015 Luiga wording fits without overwriting the command menu.,Preserves the Chinese prompt to prepare for battle in the compact battle-screen voice used by the 2015 English build.,French v2 secondary gloss only,,,,
MAIN:0x0302BF,MAIN,17,,Ordinary text,0x0302BF,127,0x030055,0x030055,,,22,0x0302BE,使用,ascii,used, util, used ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,6,5,no,,"Preserves the move-use connector between the acting Pokémon and move names, including both structural spaces.",French v2 secondary gloss only,,,,
MAIN:0x0302C5,MAIN,18,,Ordinary text,0x0302C5,128,0x030057,0x030057,,,23,0x0302C4,效果一般!,ascii,Good Hit!,Bon coup!,It was effective!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,17,9,no,,"Conveys the Chinese assessment that the attack had an effective, ordinary result without importing the old unrelated hit-quality wording.",French v2 secondary gloss only,,,,
MAIN:0x0302CF,MAIN,19,,Ordinary text,0x0302CF,129,0x03005B,0x03005B,,,25,0x0302DA,效果不好!,ascii,Not very effective!,0Peu efficace!     ,It's not very effective!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,24,20,no,,Uses the standard Pokémon phrasing for the explicitly poor-effectiveness branch. Full-text review: Uses the canonical effectiveness formula in exactly 24 artifact-free cells.,French v2 secondary gloss only,,,,
MAIN:0x0302E4,MAIN,20,,Ordinary text,0x0302E4,5417,0x03005D,0x03005D,,,26,0x0302E5,没有效果!,ascii,Missed!,00Raté!,It had no effect!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,17,9,no,,Restores the explicit no-effect result instead of the mechanically different old message about missing.,French v2 secondary gloss only,,,,
MAIN:0x0302EE,MAIN,21,,Ordinary text,0x0302EE,130,0x03005F,0x03005F,,,27,0x0302F0,中毒了,ascii,is poisoned,est empoisonné, was poisoned!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,14,11,no,,Renders the poison-infliction suffix with the leading space needed after the affected Pokémon's name.,French v2 secondary gloss only,,,,
MAIN:0x0302FA,MAIN,22,,Ordinary text,0x0302FA,131,0x03006B 0x03006D,0x03006B 0x03006D,,,33 34,0x030322 0x03032C,"中剧毒了
---

害怕了",ascii,Flinched, Recule , was badly poisoned!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_variants_declared,ai_source_reviewed,20,9,no,,The primary pointer 0x03006B is the badly-poisoned infliction suffix and preserves its structural leading space; pointer 0x03006D is split to the distinct flinched suffix in pointer_variants.csv. Full-text review: Keeps the distinct bad-poison result natural on the engine-provided second row.,French v2 secondary gloss only,pointer_variant_split,2,,
MAIN:0x030304,MAIN,23,,Ordinary text,0x030304,132,0x030065,0x030065,,,30,0x030308,被烧伤了,ascii,is burned,est brûlé, was burned!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,12,9,no,,Renders the burn-infliction suffix and preserves its structural leading space.,French v2 secondary gloss only,,,,
MAIN:0x03030E,MAIN,24,,Ordinary text,0x03030E,133,0x030067,0x030067,,,31,0x030312,混乱了,ascii,is confused,est confus , became confused!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,17,11,no,,Conveys the transition into confusion rather than merely labeling a standing condition. Full-text review: Keeps the normal confusion result natural on the engine-provided second row.,French v2 secondary gloss only,,,,
MAIN:0x03031A,MAIN,25,,Ordinary text,0x03031A,134,0x030069,0x030069,,,32,0x03031A,冰冻了,ascii,is frozen,est gelé , was frozen!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,12,9,no,,Renders the freeze-infliction suffix with its required leading join.,French v2 secondary gloss only,,,,
MAIN:0x030324,MAIN,26,,Ordinary text,0x030324,135,0x03006F,0x03006F,,,35,0x030334,中毒了有损伤,ascii,is hurt due to poison!,000000souffre du poison!    , was hurt by poison!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,20,28,no,,"Preserves that poison, not the initial infliction, causes this damage tick. Full-text review: Keeps poison damage intact on the engine-provided second row.",French v2 secondary gloss only,,,,
MAIN:0x030341,MAIN,27,,Ordinary text,0x030341,136,0x030071,0x030071,,,36,0x030342,睡着了,ascii,is asleep,dort     , fell asleep!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,13,9,no,,Conveys entering sleep and retains the suffix join after the Pokémon name.,French v2 secondary gloss only,,,,
MAIN:0x03034B,MAIN,28,,Ordinary text,0x03034B,137,0x030075,0x030075,,,38,0x030358,烧伤了有损伤,ascii,is hurt from it's burn!,0souffre de brûlure!    , was hurt by its burn!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,22,24,no,,Faithfully identifies the burn as the source of this residual damage tick. Full-text review: Keeps burn damage intact on the engine-provided second row.,French v2 secondary gloss only,,,,
MAIN:0x030364,MAIN,29,,Ordinary text,0x030364,138,0x030077,0x030077,,,39,0x030366,混乱了攻击自己,ascii,is confused,000est confus, hurt itself!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,13,14,no,,Preserves the omitted old-English fact that confusion causes the Pokémon to attack itself. Full-text review: Uses the concise official battle sense without splitting a word.,French v2 secondary gloss only,,,,
MAIN:0x030373,MAIN,30,,Ordinary text,0x030373,139,0x030079,0x030079,,,40,0x030376,冰冻了不能动,ascii,is frozen,0000est gelé, is frozen solid!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,17,13,no,,Retains both facts in the Chinese: the Pokémon is frozen and therefore unable to move. Full-text review: Keeps the frozen/no-action state natural within one row.,French v2 secondary gloss only,,,,
MAIN:0x030381,MAIN,31,,Ordinary text,0x030381,6031,0x03007B,0x03007B,,,41,0x030384,中剧毒了损伤,graphical_codes,0000<B0DC><B7AE><B8D8><B0F8><BBA2><B9C7>,subit des dégâts du poison grave !, was hurt by poison!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,20,16,no,,Distinguishes the severe-poison damage tick expressed by the Chinese from ordinary poison damage. Full-text review: Keeps the severe-poison damage event clear without overflowing.,French v2 secondary gloss only,,,,
MAIN:0x030392,MAIN,32,,Ordinary text,0x030392,6032,0x03007D,0x03007D,,,42,0x030392,害怕不能行动,graphical_codes,<0A><B3EE><B8AC><B0CE><B0EC><B3A9><B0B2>,a trop peur pour agir !, flinched!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,10,13,no,,Uses the matching battle mechanic for fear while retaining the source's explicit inability to act. Full-text review: Uses the concise Gen I flinch formula on the engine-provided second row.,French v2 secondary gloss only,,,,
MAIN:0x0303A1,MAIN,33,,Ordinary text,0x0303A1,5820,0x03007F,0x03007F,,,43,0x0303A0,上升了,ascii,Rose, Monte, rose!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,6,5,no,,"Supplies the stat-increase suffix after a separately printed stat label, with the required leading space.",French v2 secondary gloss only,,,,
MAIN:0x0303A9,MAIN,34,,Ordinary text,0x0303A9,140,0x030083,0x030083,,,45,0x0303B4,不能再上升了,ascii,can't go higher!,  ne monte plus! , won't rise!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,12,18,no,,Preserves the failed stat-increase limit and its suffix join after the stat label. Full-text review: Keeps the stat-limit result grammatical alongside the longest stat label.,French v2 secondary gloss only,,,,
MAIN:0x0303BC,MAIN,35,,Ordinary text,0x0303BC,5418,0x030085,0x030085,,,46,0x0303C2,下降了,ascii,Fell,000000Chute, fell!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,6,11,no,,"Runtime order confirms this is the decrease suffix following a stat label, so its leading space is significant.",French v2 secondary gloss only,,,,
MAIN:0x0303C8,MAIN,36,,Ordinary text,0x0303C8,6033,0x030087,0x030087,,,47,0x0303CA,迅速下降了,graphical_codes,000<BBA4><B9D4><B0F9><BBA5><B0F8>,a fortement baissé !, fell sharply!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,14,13,no,,"Preserves the stronger, rapid stat decrease rather than flattening it to an ordinary fall.",French v2 secondary gloss only,,,,
MAIN:0x0303D6,MAIN,37,,Ordinary text,0x0303D6,141,0x030089,0x030089,,,48,0x0303D6,不能再下降了,ascii,can't go lower, ne baisse plus, won't fall!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,12,15,no,,Preserves the failed stat-decrease limit and its suffix join after the stat label. Full-text review: Keeps the stat-limit result grammatical alongside the longest stat label.,French v2 secondary gloss only,,,,
MAIN:0x0303E6,MAIN,38,,Ordinary text,0x0303E6,6034,0x03008B,0x03008B,,,49,0x0303E4,谢谢,graphical_codes,<B0D8><B0D8>,Merci,Thanks!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,4,no,,Directly translates this first distinct pointer's brief expression of thanks.,French v2 secondary gloss only,,,,
MAIN:0x0303EB,MAIN,39,,Ordinary text,0x0303EB,6035,0x03008D,0x03008D,,,50,0x0303EA,谢谢,graphical_codes,<B0D8><B0D8>,Merci,Thanks!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,4,no,,Directly translates this second distinct pointer's brief expression of thanks.,French v2 secondary gloss only,,,,
MAIN:0x0303F0,MAIN,40,,Ordinary text,0x0303F0,6036,0x03008F,0x03008F,,,51,0x0303F0,谢谢,graphical_codes,<0A><B0D8><B0D8>,Merci,Thanks!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,5,no,,Directly translates this third distinct pointer's brief expression of thanks.,French v2 secondary gloss only,,,,
MAIN:0x0303F6,MAIN,41,,Ordinary text,0x0303F6,6037,0x030091,0x030091,,,52,0x0303F6,谢谢,graphical_codes,<0A><B0D8><B0D8>,Merci,Thanks!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,5,no,,Directly translates this fourth distinct pointer's brief expression of thanks.,French v2 secondary gloss only,,,,
MAIN:0x0303FC,MAIN,42,,Ordinary text,0x0303FC,6038,0x030093,0x030093,,,53,0x0303FC,谢谢,graphical_codes,<0A><B0D8><B0D8>,Merci,Thanks!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,5,no,,Directly translates this fifth distinct pointer's brief expression of thanks.,French v2 secondary gloss only,,,,
MAIN:0x030403,MAIN,43,,Ordinary text,0x030403,5419,0x030095,0x030095,,,54,0x030402,什么!?,ascii,What?,Quoi?,What!?,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,6,5,no,,Preserves the startled question and the source's emphatic paired punctuation at evolution onset.,French v2 secondary gloss only,,,,
MAIN:0x030409,MAIN,44,,Ordinary text,0x030409,142,0x030097,0x030097,,,55,0x03040A,的样子...!,ascii,is Evolving!, évolue!    , is evolving!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,13,13,no,,The pointer neighborhood identifies the changing appearance as evolution; the leading space joins it to the Pokémon name. Full-text review: Removes the contradictory ellipsis-plus-exclamation ending from the dynamic evolution suffix.,French v2 secondary gloss only,,,,
MAIN:0x030417,MAIN,45,,Ordinary text,0x030417,5821,0x030099,0x030099,,,56,0x030416,恭喜!,ascii,Wow!,Ouah! ,Congrats! ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,10,5,no,,Restores the explicit congratulation following evolution rather than weakening it to surprise. Full-text review: Keeps the evolution result plus a ten-cell Pokémon name within the first physical row.,French v2 secondary gloss only,,,,
MAIN:0x03041D,MAIN,46,,Ordinary text,0x03041D,5420,0x03002D,0x03002D,,,2,0x0301D6,啊!野生的,ascii,Oh!A Wild,Oh!Sauvage ,Wild ,adapted_from_official_english_gen1_with_chinese_fidelity_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,5,10,no,,Uses the official Generation I wild-encounter lead-in and preserves the trailing join before the species name.,French v2 secondary gloss only,,,,
MAIN:0x030428,MAIN,47,,Ordinary text,0x030428,143,,,,,58,0x030428,学会了,ascii,learned, apprend,learned,translated_directly_from_reviewed_chinese_source_ai_review,exact_offset,medium,reviewed_source_adjudication,ai_source_reviewed,7,8,no,,Keeps the exact sequential source as the lowercase learned fragment used to complete a move-learning sentence.,French v2 secondary gloss only,,,,
MAIN:0x03043F,MAIN,48,,Ordinary text,0x03043F,144,0x0300A7,0x0300A7,,,61,0x030444,四个技能已经满了!,ascii,more than 4 moves!,000000Déjà 4 attaques!,It knows four moves!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,20,24,no,,"Correctly states that all four move slots are occupied, not that the Pokémon knows more than four moves. Full-text review: Keeps the full move-slot warning natural within one artifact-free row.",French v2 secondary gloss only,,,,
MAIN:0x030458,MAIN,49,,Ordinary text,0x030458,6039,0x0300A9,0x0300A9,,,62,0x030457,要学会,graphical_codes,<B0C3><B4C3><B1F9>,veut apprendre, wants to learn ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,16,6,no,,"Forms the move-learning connector between the Pokémon and move names, preserving both joining spaces.",French v2 secondary gloss only,,,,
MAIN:0x03045F,MAIN,50,,Ordinary text,0x03045F,145,0x0300B1,0x0300B1,,,66,0x030487,将,ascii,Forgot,Oublie ,The move ,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,9,7,no,,"Restructures the Chinese object marker into a grammatical connector between the Pokémon and forgotten move names, preserving both joins. Full-text review: Starts a complete passive sentence with the forgotten move on row one; the verb is rendered alone on row two.",French v2 secondary gloss only,,,,
MAIN:0x030467,MAIN,51,,Ordinary text,0x030467,6040,0x0300AD,0x0300AD,,,64,0x030472,是否,graphical_codes,000000000000<B0C2><B1A1>,Oui / Non,Yes  No,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,16,no,,Renders the binary whether-or-not choice as its executable Yes/No menu and retains the two-cell separation.,French v2 secondary gloss only,,,,
MAIN:0x030479,MAIN,52,,Ordinary text,0x030479,146,0x0300AF,0x0300AF,,,65,0x030478,忘记哪个技能?,ascii,Which move?,Quelle attaque?,"Which move should be
forgotten?",translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,31,11,no,,Preserves both the requested selection and the fact that the chosen move will be forgotten. Full-text review: Keeps the complete move-forgetting prompt across two bounded rows.,French v2 secondary gloss only,,,,
MAIN:0x030485,MAIN,53,,Ordinary text,0x030485,5822,0x0300B3,0x0300B3,,,67,0x03048B,用法完全忘记了!,ascii,And...,Et...,was forgotten!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,14,6,no,,Completes the restructured forgotten-move construction directly after the move name; the preceding fragment retains completely. Full-text review: Completes the forgotten-move sentence on the engine-provided second row instead of leaving an orphan exclamation mark.,French v2 secondary gloss only,,,,
MAIN:0x03048C,MAIN,54,,Ordinary text,0x03048C,147,0x030081,0x030081,,,44,0x0303A8,迅速上升了,ascii,Greatly Rose, Monte bcp! , rose sharply!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,14,13,no,,"Preserves the stronger, rapid stat increase and the suffix join after its stat label.",French v2 secondary gloss only,,,,
MAIN:0x03049A,MAIN,55,,Ordinary text,0x03049A,148,0x0300B5,0x0300B5,,,68,0x03049C,而且学会了,ascii,Learned,000Apprend ,Learned move:,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,13,11,no,,Retains the connective sense and both joins in the Pokémon-plus-new-move construction. Full-text review: Introduces the newly learned move as a complete standalone result before the engine renders its name on row two.,French v2 secondary gloss only,,,,
MAIN:0x0304AB,MAIN,56,,Ordinary text,0x0304AB,149,0x0300BB,0x0300BB,,,71,0x0304B7,没有学习,ascii,Did not learn,00000000 N'apprend pas, didn't learn,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,13,22,no,,Forms the negative move-learning result between the Pokémon and move names with both structural spaces. Full-text review: Fits Pokémon plus result on row one; the move is rendered separately on row two.,French v2 secondary gloss only,,,,
MAIN:0x0304C2,MAIN,57,,Ordinary text,0x0304C2,6042,0x0300BD,0x0300BD,,,72,0x0304C1,聚集了太阳光,graphical_codes,<BAB7><B6B8><B0F8><B6C6><BBA7><B0E4>,concentre la lumière du soleil !, absorbed sunlight!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,19,12,no,,"The executable move-message sequence identifies this as the sunlight-gathering turn, rendered in standard battle language. Full-text review: Keeps the charging message intact on the engine-provided second row.",French v2 secondary gloss only,,,,
MAIN:0x0304CF,MAIN,58,,Ordinary text,0x0304CF,6043,0x0300BF,0x0300BF,,,73,0x0304CF,太阳光射出,graphical_codes,<0A><B6C6><BBA7><B0E4><BBA8><B0A4>,libère l'énergie solaire !, unleashed solar energy!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,24,11,no,,Preserves the second-stage release of the gathered sunlight rather than treating it as another charge. Full-text review: Uses the complete solar-release message within exactly 24 cells.,French v2 secondary gloss only,,,,
MAIN:0x0304DB,MAIN,59,,Ordinary text,0x0304DB,6044,0x0300C1,0x0300C1,,,74,0x0304DB,钻到了地下,graphical_codes,<0A><BBA9><B0DB><B0F8><B3BB><B0F9>,s'enfouit sous terre !, burrowed underground!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,22,11,no,,Faithfully describes the acting Pokémon going underground for the move's hidden turn. Full-text review: Keeps the underground message intact on the engine-provided second row.,French v2 secondary gloss only,,,,
MAIN:0x0304E7,MAIN,60,,Ordinary text,0x0304E7,6045,0x0300C3,0x0300C3,,,75,0x0304E7,迅速攻击,graphical_codes,<0A><BBA4><B9D4><B4AB><B4AC>,attaque rapidement !, attacked swiftly!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,18,9,no,,Preserves the source's defining fact that this attack is executed rapidly without assigning an unsupported move name. Full-text review: Keeps the swift-attack message intact on the engine-provided second row.,French v2 secondary gloss only,,,,
MAIN:0x0304F1,MAIN,61,,Ordinary text,0x0304F1,6046,0x0300C5,0x0300C5,,,76,0x0304F1,蓄集力量,graphical_codes,<0A><BBAA><B6B8><B0E3><B3EC>,accumule de l'énergie !, stored up power!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,17,9,no,,Renders the first power-storage battle state and keeps it as a suffix after the acting Pokémon. Full-text review: Keeps the stored-power message intact on the engine-provided second row.,French v2 secondary gloss only,,,,
MAIN:0x0304FB,MAIN,62,,Ordinary text,0x0304FB,6047,0x0300C7,0x0300C7,,,77,0x0304FB,全力一击,graphical_codes,<0A><B6C0><B0E3><B1D1><B4AC>,frappe de toutes ses forces !, struck with full force!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,24,9,no,,Preserves the corresponding all-out release attack without inventing a move identity. Full-text review: Uses exactly 24 artifact-free cells on the engine-provided second row.,French v2 secondary gloss only,,,,
MAIN:0x030505,MAIN,63,,Ordinary text,0x030505,6048,0x0300C9,0x0300C9,,,78,0x030505,蓄集力量,graphical_codes,<0A><BBAA><B6B8><B0E3><B3EC>,accumule de l'énergie !, stored up power!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,17,9,no,,Faithfully retains the duplicate executable pointer's power-storage state for the parallel battle path. Full-text review: Applies the same bounded stored-power formula to the duplicate state.,French v2 secondary gloss only,,,,
MAIN:0x03050F,MAIN,64,,Ordinary text,0x03050F,6049,0x0300CB,0x0300CB,,,79,0x03050F,全力一击,graphical_codes,<0A><B6C0><B0E3><B1D1><B4AC>,frappe de toutes ses forces !, struck with full force!,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,24,9,no,,Faithfully retains the duplicate executable pointer's full-force release for the parallel battle path. Full-text review: Applies the same bounded full-force formula to the duplicate state.,French v2 secondary gloss only,,,,
